Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
GMA,Sarajevo BIH,2008.05.23,1,"Dominguez Perez,L","Predojevic,B",1-0,2695,2651,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 d1d2 b8d7 f2f3 b7b5 e1c1 f8e7 g2g4 b5b4 c3d5 e6d5 e4d5 d7b6 b3a5 b6d5 a5c4 h7h6 h2h4 d5e3 c4e3 d6d5 e3d5 f6d5 d2d5 d8d5 d1d5 e7f6 d5a5 e8e7 a5a6 a8a6 f1a6 h8d8 a6d3 e7d6 h4h5 f6g5 c1b1 g5e3 h1e1 e3d4 d3e4 d6e6 e1d1 d8b8 d1d3 b8b6 b1c1 e6f6 c2c3 b4c3 b2c3 d4c5 d3d7 f6e6 e4f5 e6f6 f5e4 f6e6 d7d8 e6f6 c1c2 g7g6 a2a4 g6h5 g4h5 c5f2 d8d5 f6e6 a4a5 b6a6 d5b5 f7f5 e4d3 a6c6 c2b3 e6f6 b5d5 c6e6 a5a6 f6g5 d5d7 e5e4 f3e4 f5e4 d3e2 g5f6 d7h7 f6g5 h7g7 g5f6 g7g6 f6e5 b3b4 e6d6 b4b5 d6d2 e2c4 d2c2 g6g2 e4e3
GMA,Sarajevo BIH,2008.05.23,1,"Sokolov,Iv NED","Morozevich,A",1/2-1/2,2690,2774,E91,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 c8g4 c1e3 f6d7 a1c1 c7c5 d4d5 a7a6 a2a4 d8b6 b2b3 d7e5 f3e5 g4e2 c3e2 g7e5 e2f4 b6a5 e3d2 a5d8 h2h4 b8d7 h4h5 g6g5 f4d3 f7f6 d1g4 g8h8 a4a5 e5d4 h1h3 a8b8 e1f1 d8e8 d2c3 d4c3 c1c3 b7b6 a5b6 b8b6 h3e3 b6b7 g2g3 e8f7 e3f3 h7h6 f1g2 f8b8 f3e3 f7g7 g4f5 g7h7 f5e6 d7f8 e6g4 h7g7 g4f5 a6a5 d3c1 f8d7 e3e2 g7f7 g3g4 d7e5 e2a2 b7a7 c1d3 e5d3 c3d3 h8g7 a2a3 g7g8 d3d2 f7h7 f5f3 b8b4 d2a2 a7b7 f3d3 h7f7 a2a1 f7e8 f2f3 e7e5 d5e6 e8e6 a3a5 b4b3 a5a8 g8g7 d3d5 b3b2 g2g3 e6d5 c4d5 b7b8 a8b8 b2b8 a1a6 b8d8 a6a7 g7g8 a7c7 d8a8 c7c6 a8d8 f3f4 d8d7 g3f3 g8f7 e4e5 d6e5 f4e5 d7d5 c6f6 f7g7 f6g6 g7h7 e5e6 d5e5 g6f6 h7g7 f6f7
GMA,Sarajevo BIH,2008.05.23,1,"Timofeev,Arty","Movsesian,S",1/2-1/2,2664,2695,D15,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6 f3e5 e7e6 c1f4 d5c4 e5c4 b7b5 c4e5 c8b7 e2e3 c6c5 d4c5 d8d1 a1d1 f8c5 f1e2 b8d7 e1g1 d7e5 f4e5 e8e7 g2g3 h8d8 a2a3 f6e8 c3b1 d8d1
GMA,Sarajevo BIH,2008.05.24,2,"Movsesian,S","Sokolov,Iv NED",1/2-1/2,2695,2690,C53,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 d7d6 e1g1 c5b6 a2a4 a7a6 b1d2 c6e7 c4b3 e7g6 d2c4 b6a7 h2h3 e8g8 f1e1 b7b5 c4e3 c7c6 e3f1 b5b4 c3b4 d8b6 d1d2 a8b8 b4b5 a6b5 a4a5 b6c7 d2c2 b8a8 c1g5 f6h5 e1c1 c8d7 c2d2 h5f4 d3d4 h7h6 g5f4 g6f4 f1e3 e5d4 e3f5 d7f5 e4f5 f4h5 f3d4 a7d4 d2d4 c6c5 d4d2 h5f6 b3d1 c7d7 d1f3 a8a6
GMA,Sarajevo BIH,2008.05.24,2,"Dominguez Perez,L","Timofeev,Arty",1/2-1/2,2695,2664,B45,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e6 b1c3 d7d6 c1e3 g8f6 d1d2 f8e7 f2f3 e8g8 e1c1 d6d5 f1b5 c6d4 d2d4 a7a6 b5a4 d5e4 d4e5 c8d7 a4d7 f6d7 e5e4 d8c8 c3a4 d7f6 e4e5 c8c6 a4b6 a8d8 h2h3 e7d6 e5d4 f6h5 d4c4 d6f4 e3f4 c6c4 b6c4 h5f4 c4e3 g7g5 c2c4 f7f5 c1c2 h7h5 b2b4 g8g7 c4c5 g7f6 c2b3 h5h4 b3c4 f4g6
GMA,Sarajevo BIH,2008.05.24,2,"Predojevic,B","Morozevich,A",0-1,2651,2774,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 a7a6 c3e2 d8b6 d1c1 g7g5 c2c3 c5d4 c3d4 f8b4 e1f2 f7f6 g2g3 g5g4 f3h4 f6e5 f4e5 d7e5 d4e5 d5d4 e3f4 h8f8 f2g2 c8d7 h2h3 d4d3 h3g4 d3e2 f1e2 c6d4 c1e3 b4c5 b2b4 b6b4 h1b1 b4a5 g2h3 d4e2 e3e2 c5d4 f4h6 f8f2 e2e4 d4a1 b1a1 e8c8 h6g5 d7c6 a1c1 a5d5 e4h7 d5a2 c1c6 b7c6 h4f3 f2f3 g5d8 c8d8
GMA,Sarajevo BIH,2008.05.25,3,"Morozevich,A","Movsesian,S",1-0,2774,2695,D15,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 a7a6 e2e3 b7b5 c4c5 b8d7 c1d2 a6a5 a1c1 c8a6 a2a3 d8c7 b2b4 a5b4 a3b4 g7g6 f1d3 f8g7 e1g1 e8g8 c3e2 a6b7 h2h3 a8a3 d2c3 f8a8 c3b2 a3a6 d1b3 f6e8 f1e1 e7e5 e3e4 d5e4 d3e4 d7f6 e2g3 e5d4 f3d4 a8d8 e4f3 a6a8 d4f5 g6f5 g3f5 d8d7 f5g7 g8g7 b3c3 c7f4 e1e4 f4d2 c3e5 a8a2 e4e2 d2h6 c1e1 a2b2 e5b2 e8c7 f3g4 d7d3 e2e7 c7d5 e7b7 d3d2 b2e5
GMA,Sarajevo BIH,2008.05.25,3,"Sokolov,Iv NED","Dominguez Perez,L",1/2-1/2,2690,2695,D16,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 e7e6 e2e3 c6c5 f1c4 b8c6 e1g1 c5d4 e3d4 f8e7 c1g5 e8g8 f1e1 c8d7 a1c1 a8c8 d1e2 c6b4 f3e5 d7e8 c1d1 f6d5 g5e7 d5e7 e2f3 e8c6 f3h3 e7d5 c4b3 b7b6 c3e4 d5f4 h3g3 c6d5 b3d5 b4d5 g3b3 d8c7 d1d2 f4g6 b3g3 f8d8 h2h4 d5e7 h4h5 g6e5 d4e5 d8d2 e4d2 c8d8 d2e4 h7h6 e4d6 e7f5 d6f5 e6f5 b2b3 c7c6 g3e3 c6e6 e3c3 a7a5 c3e3 d8d5 g1h2 d5c5 h2g1 c5d5 f2f4 g8h7 g1h2 h7g8 e3g3 d5d4 e1e3 e6d5 e5e6 f7e6 g3g6 d4f4 g6e8 g8h7 e8g6
GMA,Sarajevo BIH,2008.05.25,3,"Timofeev,Arty","Predojevic,B",1/2-1/2,2664,2651,D52,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 c1g5 b8d7 e2e3 d8a5 c4d5 f6d5 d1d2 f8b4 a1c1 h7h6 g5h4 c6c5 a2a3 b4c3 b2c3 b7b6 f1d3 c8a6 c3c4 a5d2 f3d2 c5d4 e3d4 d5f4 d3e4 a8c8 h4g3 g7g5 h2h4 e8e7 h4g5 h6g5 h1h8 c8h8 g3f4 g5f4 e1e2 h8d8 d2b3 e6e5 e2f3 e5d4 b3d4 d7e5 f3f4 d8d4 f4e5 d4c4 c1c4 a6c4 f2f4
GMA,Sarajevo BIH,2008.05.26,4,"Dominguez Perez,L","Morozevich,A",1/2-1/2,2695,2774,B48,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 c1e3 a7a6 d1d2 g8f6 e1c1 f8e7 f2f3 e8g8 g2g4 b7b5 g4g5 f6e8 h2h4 c6e5 h4h5 c8b7 g5g6 a8c8 c1b1 b5b4 c3a4 e5f3 d4f3 b7e4 a4b6 e4f3 b6c8 c7c8 d2d7 c8d7 d1d7 f3h1 g6h7 g8h7 f1d3 h7g8 d7e7 e8f6
