Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Scarborough,Scarborough,1930.??.??,1,"Sultan Khan, Mir","Sergeant, Edward G",1-0,,,B29,e2e4 c7c5 g1f3 g8f6 b1c3 g7g6 f1c4 f8g7 e1g1 d7d6 d2d3 b8c6 h2h3 e8g8 c1e3 f6d7 d3d4 c5d4 f3d4 d7e5 c4d5 c8d7 f2f4 c6d4 e3d4 e5c6 d4g7 g8g7 g1h2 a8c8 d5c6 c8c6 d1d4 f7f6 d4a7 d8b6 a7b6 c6b6 a1b1 d7e6 f4f5 e6c4 f1f3 f8c8 g2g4 c4f7 h2g3 g6g5 a2a3 h7h5 g4h5 g7h6 h3h4 c8g8 h4g5 g8g5 g3f2 g5h5 f2e3 h5h2 f3g3 b6c6 b1g1 c6c8 g3g7 c8f8 c3e2 f7h5 e2f4
Scarborough,Scarborough,1930.??.??,1,"Yates, Frederick","Colle, Edgar",0-1,,,B05,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 f1e2 e7e6 e1g1 b8c6 c2c4 d5b6 e5d6 c7d6 d4d5 e6d5 c4d5 g4f3 e2f3 c6e5 f3e2 f8e7 a2a4 e8g8 a1a3 f7f5 f2f4 e5g6 a3h3 e7f6 g2g4 d8c7 g4g5 f6d8 e2b5 a7a6 b5d3 b6d5 d1h5 c7c5 g1h1 c5c6 d3e4 f5e4 f4f5 h7h6 h5g6 e4e3 g6e6 f8f7 h1g1 d8g5 c1e3 d5e3 h3e3 c6c5
Scarborough,Scarborough,1930.??.??,1,"Menchik, Vera","Winter, William",1/2-1/2,,,E14,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 e2e3 c8b7 f1d3 f8e7 b1c3 d7d6 e1g1 e8g8 e3e4 c7c5 d4d5 b8a6 f1e1 e6e5 f3d2 a6c7 d2f1 b7c8 f1g3 f6e8 f2f4 e5f4 c1f4 e7g5 d1f3 g5f4 f3f4 d8f6 f4f6 e8f6 e4e5 d6e5 e1e5 f8e8 a1e1 c8d7 d3f5 g8f8 f5d7 f6d7 e5e8 a8e8 e1e8 c7e8 g3e4 f8e7 b2b3 e8f6 e4f6 e7f6 g1f2 f6e5 f2e3 f7f5 c3b5 a7a5 g2g3 g7g5 e3f3 d7f6 b5c3 e5d4 c3a4 f6d7 h2h4 h7h6 h4g5
Scarborough,Scarborough,1930.??.??,1,"Ahues, Carl Oscar","Gruenfeld, Ernst",1/2-1/2,,,D40,d2d4 g8f6 e2e3 d7d5 c2c4 e7e6 b1c3 c7c5 g1f3 b8c6 a2a3 a7a6 d4c5 f8c5 b2b4 c5e7 c1b2 d5c4 f1c4 d8d1 a1d1 e8g8 e1g1 f8d8 d1d8 c6d8 f1d1 b7b5 c4b3
Scarborough,Scarborough,1930.??.??,1,"Maroczy, Geza","Thomas, George Alan",1/2-1/2,,,C48,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 c6d4 f3d4 e5d4 e4e5 d4c3 e5f6 d8f6 d2c3 f6e5 d1e2 e5e2 b5e2 f8e7 c1e3 e7f6 e3d4 f6d4 c3d4 d7d5 e2d3 e8g8 e1d2 f8e8 a1e1 c8d7 c2c3 f7f6 e1e8 a8e8 h1e1 e8e1 d2e1 g8f7 e1d2 g7g6 d2e3 f7e6 h2h4 f6f5 g2g3 e6f6 e3f4
Scarborough,Scarborough,1930.??.??,1,"Rubinstein, Akiba","Michell, Reginald Pryce",1-0,,,E46,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2 d7d5 d1b3 b4e7 g2g3 c7c6 f1g2 b8d7 c4d5 e6d5 e1g1 f8e8 c1d2 e7d6 b3c2 d7f8 f2f3 d6c7 a1d1 f8e6 d2c1 d8e7 e3e4 d5e4 f3e4 c7b6 g1h1 e8d8 e4e5 f6d5 c3d5 c6d5 c1e3 e6c7 c2d2 h7h6 h2h3 c8e6 e2f4 c7e8 f4h5 g7g6 e3h6 d8c8 h5f6 e8f6 e5f6 e7d6 h6g7
Scarborough,Scarborough,1930.??.??,2,"Sultan Khan, Mir","Rubinstein, Akiba",0-1,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 h2h3 b7b5 a4b3 c6a5 b1c3 f8e7 c1e3 e8g8 d1e2 f8e8 g2g4 a5b3 a2b3 b5b4 c3a4 c7c5 f3d2 f6d7 e1c1 c8b7 h1f1 d6d5 e4d5 b7d5 f2f3 d8c7 e2f2 a8c8 d1e1 d7f8 h3h4 f8e6 g4g5 c7c6 f2g3 e7d6 g3g4 e6f4 d2e4 d5e4 f3e4 e8e6 h4h5 c8e8 c1b1 g8h8 g4g1 e8c8 g1h1 h8g8 h1f3 g8h8 e1c1 c6b5 f1d1 h8g8 c2c3 c8d8 e3f4 e5f4 d3d4 c5c4 c3b4 c4b3 f3b3 b5b4 b3b4 d6b4 c1c4 b4e7 d4d5 e7g5 a4c5 e6b6 e4e5 g8f8 c5e4 h7h6 d5d6 b6b5 c4c5 f4f3 d1f1 g5f4 c5b5 a6b5 e5e6 f4d6 f1f3 f7f6 e4c3 d6e5 c3b5 f8e7 b5c3 e7e6 b1c2 f6f5 c3e2 d8c8 c2b1 c8c4 f3h3 f5f4 b2b3 c4e4 e2c1 e6f5 b1c2 f5g4 h3h1 e5f6 c1d3 e4e2 c2d1 f4f3 h1g1 e2g2 g1f1 f6c3 d1c1 g2a2 f1g1 g4f5 g1g3 f5e4 d3c5 e4f4 g3g6 f3f2 c5d3 f4e3 d3f2 a2f2 b3b4 c3d4 g6g3 f2f3 g3g4 e3d3 c1b1 d3c3 b4b5 c3b3 b1c1 d4c3 c1d1 f3f2 g4g3 f2d2 d1c1 d2e2 g3g1 e2a2
Scarborough,Scarborough,1930.??.??,2,"Thomas, George Alan","Menchik, Vera",1/2-1/2,,,B13,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 f1d3 g8f6 c1f4 b8c6 c2c3 c8g4 g1e2 e7e6 d1b3 g4e2 d3e2 d8d7 b1d2 f8e7 d2f3 e8g8 e1g1 a7a6 a2a4 f8c8 f1e1 e7d6 f4d6 d7d6 e2d3 d6c7 b3d1 a8b8 d1e2 c7f4 h2h3 f6d7 g2g3 f4f6 f3h2 d7f8 f2f4 f6d8 h2f3 d8c7 g1h2 c6a5 f3e5 a5c4 e5c4 d5c4 d3e4 f8d7 e4f3 d7f6 e2e5 c7b6 e1e2 f6d7 e5e3 b6a5 e2e1 a5b6 e1e2 b6a5 e2e1 a5b6 e1e2 b6a5 e3d2 b7b5 d2d1 b5b4 d4d5 e6d5 f3d5 d7f6 e2e5 f6d5 e5d5
Scarborough,Scarborough,1930.??.??,2,"Sergeant, Edward G","Winter, William",1/2-1/2,,,B62,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 f1e2 f8e7 e1g1 e8g8 d1d2 c6d4 d2d4 f6e4 c3e4 e7g5 d4d6 d8d6 e4d6
Scarborough,Scarborough,1930.??.??,2,"Gruenfeld, Ernst","Maroczy, Geza",1/2-1/2,,,D30,d2d4 g8f6 g1f3 d7d5 c2c4 c7c6 e2e3 e7e6 f1d3 b8d7 b1d2 f8e7 e1g1 e8g8 d1c2 c6c5 c4d5 e6d5 b2b3 c5d4 e3d4 e7d6 c1b2 f8e8 f1e1 e8e1 a1e1 d7f8 f3e5 c8e6 e1c1 a8c8 c2b1 c8c1 b1c1 d8c7 c1c7 d6c7
Scarborough,Scarborough,1930.??.??,2,"Colle, Edgar","Ahues, Carl Oscar",1/2-1/2,,,D05,d2d4 g8f6 g1f3 e7e6 e2e3 d7d5 f1d3 c7c5 c2c3 b8c6 b1d2 d8c7 e1g1 f8e7 d4c5 e7c5 e3e4 e8g8 d1e2 c5d6 f1e1 f6g4 h2h3 g4e5 f3e5 c6e5 d3c2 d5d4 d2b1 e5c6 c2a4 d6c5 e4e5 f8d8 c1g5 c5e7 g5e7 c6e7 c3d4 e7f5 b1c3 f5d4 e2g4 d4f5 a1c1 c7e7 e1d1 c8d7 a4d7 d8d7 d1d7 e7d7 c1d1 d7c7 g4e4 a7a6
Scarborough,Scarborough,1930.??.??,2,"Michell, Reginald Pryce","Yates, Frederick",1-0,,,D63,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3 b8d7 g1f3 a7a6 c4d5 e6d5 a1c1 e8g8 f1d3 f8e8 e1g1 d7f8 f3e5 c7c6 g5f4 f8e6 f4g3 c6c5 d4c5 e6c5 d3b1 c8e6 e5f3 d8b6 d1e2 e7d6 g3d6 b6d6 f1d1 d6b6 h2h3 a8d8 f3d4 e6c8 e2c2 c5e6 a2a3 e6g5 b2b4 b6d6 d4f5 d6f8 f5g3 g7g6 b1a2 c8e6 h3h4 g5e4 g3e4 d5e4 d1d8 e8d8 a2e6 f7e6 c3e4 f6d5 e4c5 f8e7 c2e4 d8e8 e4e5 e7h4 c5e6 d5f6 g2g3 h4h2 g1h2 f6g4 h2g2 g4e5 e6d4 e8e7 c1c3 g8f7 f2f3 h7h5 g2f2 e7d7 f2e2 f7f6 a3a4 d7h7 f3f4 e5g4 e3e4 h7e7 e4e5 f6f7 e2f3 f7g7 b4b5 e7d7 c3c7 d7c7 d4e6 g7f7 e6c7 a6b5 c7b5 f7e6 b5d6 g6g5 d6b7 e6d5 a4a5 g5f4 g3f4 d5c6 b7d6
Scarborough,Scarborough,1930.??.??,3,"Winter, William","Thomas, George Alan",1/2-1/2,,,D68,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 c7c6 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 e1g1 d5c3 c1c3 e6e5 d4d5 d7b6 d5c6 b7c6 c4b3 c8b7 d1c2 g8h8 c2f5 f7f6 f3h4 g7g5 h4f3 a8d8 h2h4 b6d5 b3d5 d8d5 f5g4 g5h4 e3e4 f8g8 g4h4 d5d6 h4h5 b7c8 f3h2 c8e6 f1c1 e7d7 a2a3 e6f7 h5f3 f7g6 h2f1 g8f8 f1g3 h8g7 b2b4 f8d8 g1h2 d6d3 c3d3 d7d3 f3d3 d8d3 c1c6 d3a3 g3f5
