Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Vugar Gashimov Mem 2014,Shamkir AZE,2014.04.20,1.1,"Carlsen,M","Mamedyarov,S",1-0,2881,2760,D52,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 c1g5 b8d7 e2e3 d8a5 c4d5 f6d5 a1c1 d5c3 b2c3 f8a3 c1c2 b7b6 f1e2 c8a6 e1g1 a6e2 d1e2 e8g8 e3e4 a8c8 e4e5 a5a4 c3c4 f8e8 f1d1 c6c5 d4d5 e6d5 d1d5 d7f8 h2h4 h7h6 g5e3 f8g6 e2d3 e8e6 h4h5 g6e7 d5d6 a3b4 c2c1 c8e8 d6e6 f7e6 f3h4 a4c6 a2a3 b4a5 c1d1 c6c7 h4g6 e7g6 d3g6 c7f7 d1d3 a7a6 a3a4 e8f8 g2g4 f7e8 d3d6 e8a4 g6e6 g8h8 e3h6 a4a1 g1g2 f8f2 g2f2 a1e1 f2g2 e1e4 g2h3 e4h1 h3g3 h1e1 g3f4 a5d2 d6d2 e1d2 f4f5 g7h6 e6e8 h8g7 e8e7
Vugar Gashimov Mem 2014,Shamkir AZE,2014.04.20,1.3,"Karjakin,Sergey","Radjabov,T",1/2-1/2,2772,2713,C07,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d6 e1g1 g8f6 d2b3 b8c6 b3d4 c6d4 f3d4 a7a6 f1e1 d6c7 d1e2 f8c5 c2c3 b7b5 c4b3 e8g8 c1g5 c8b7 g5f6 g7f6 e2h5 c5d4 c3d4 c7f4 e1e3 b7e4 g2g3 f4f5 h5f5 e4f5 g3g4 f5g6 f2f4 f6f5 g4g5 g8g7 a1d1 h7h6 g5h6 g7h6 g1f2 h6g7 d4d5 e6d5 d1d5 a8e8 e3e8 f8e8 b3c2 e8h8 f2g3 h8e8 d5d2 e8e3 g3f2 e3h3 f2g2 h3e3 g2f2 e3h3 f2e1 g6h5 c2f5 h3e3 e1f1 b5b4 f5d3 e3f3 f1g2 f3f4 d3a6 f7f5 d2f2 f4g4 g2f1 g4h4 a6e2 h5f7 e2d3 f5f4 a2a4 b4a3 b2a3 h4h3 f2d2 f7e8 f1e1 g7f6 e1d1 f6e5 d2e2 e5d4 d3f5 e8a4 d1d2
Vugar Gashimov Mem 2014,Shamkir AZE,2014.04.20,1.2,"Nakamura,Hi","Caruana,F",1/2-1/2,2772,2783,A33,g1f3 g8f6 c2c4 c7c5 b1c3 b8c6 d2d4 c5d4 f3d4 e7e6 a2a3 f8c5 d4b3 c5e7 e2e4 e8g8 f1e2 b7b6 e1g1 c8a6 c1f4 d7d6 b3d2 a8c8 f1e1 f6d7 b2b4 a6b7 a1c1 a7a6 e2f1 f8e8 d1e2 c6e5 f4e3 d7f6 c3a4 e5d7 e3d4 d8c7 f2f3 b7c6 a4c3 c7b8 g1h1 e7d8 a3a4 d8c7 g2g3 b8a8 c1a1 c6b7 f1g2 h7h6 e1c1 a8b8 c1e1 b8a8 e1c1 a8b8 f3f4 e6e5 f4e5 d7e5 c3d5 f6d5 c4d5 c7d8 d2f3 e5d7 e2d3 d8f6 g2h3 f6d4 d3d4 c8c1 a1c1 b8d8 h1g1 e8e7 c1c3 a6a5 b4b5 d7c5 c3e3 b7c8 h3g2 c8g4 f3e1 g4h5 e1c2 h5g6 d4c4 e7e8 c2d4 d8f6 d4b3 c5b3 e3b3 f6a1 g1f2 f7f5 b3e3 f5e4 g2e4 a1e5 f2f3 g6e4 e3e4 e5f5 f3e3 e8c8 c4d3 c8f8 e3d2 f5g5 d2c2 f8f2 c2b3 g5f6 e4e2
Vugar Gashimov Mem 2014,Shamkir AZE,2014.04.21,2.1,"Caruana,F","Karjakin,Sergey",1/2-1/2,2783,2772,C67,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 e4d6 b5c6 d7c6 d4e5 d6f5 d1d8 e8d8 h2h3 d8e8 b1c3 h7h5 f1d1 f8e7 c3e2 f5h4 f3h4 e7h4 c1e3 h4e7 d1d2 h5h4 a1d1 h8h5 e3f4 a7a6 e2d4 c6c5 d4e2 c8e6 e2c3 a8d8 c3d5 d8d7 d5e7 d7d2 d1d2 e8e7 a2a3 h5f5 f4h2 f5g5 h2f4 g5f5 f4h2 f5g5 h2f4
Vugar Gashimov Mem 2014,Shamkir AZE,2014.04.21,2.2,"Carlsen,M","Nakamura,Hi",1-0,2881,2772,D12,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 b1c3 a7a6 f1e2 h7h6 e2d3 f5d3 d1d3 e7e6 e1g1 f8b4 c1d2 e8g8 f1d1 b4c3 d2c3 b8d7 b2b3 d8e7 a1c1 a8c8 d3e2 f6e4 c3b2 f8d8 f3e1 e4d6 b2a3 f7f5 e1d3 d7f6 a3b4 e7c7 e2f3 d5c4 b3c4 d6f7 a2a4 a6a5 b4e1 b7b6 f3g3 c7g3 h2g3 c8a8 f2f3 d8b8 c1c2 b6b5 d3c5 b5c4 c2c4 f6d5 e1d2 e6e5 e3e4 f5e4 c5e4 d5b6 c4c6 f7d8 c6g6 b6c4 d4e5 g8h7 g6g4 c4e5 g4h4 d8f7 d2c3 b8b3 d1d5 a8e8 h4f4 e8e7 c3a5 e5g6 f4f5 f7e5 d5d1 e5c4 d1c1 c4a5 f5a5 b3a3 c1c5 a3a2 g1h2 e7d7 a5a6 g6e7 g3g4 d7b7 c5b5 b7c7 e4c5 c7c6 a6c6 e7c6 b5b7 c6d4 h2h3 h7g8 b7b4 d4e2 g4g5 e2g1 h3g3 g1e2 g3g4 h6g5 g4g5 e2g1 b4g4
Vugar Gashimov Mem 2014,Shamkir AZE,2014.04.21,2.3,"Mamedyarov,S","Radjabov,T",1/2-1/2,2760,2713,D47,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 e7e6 g1f3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 b5b4 c3e4 f6e4 d3e4 c8b7 a2a3 b4a3 e1g1 f8d6 f3d2 a3b2 c1b2 e8g8 b2a3 d6a3 a1a3 d8c7 d1c2 h7h6 d2b3 c6c5 e4b7 c7b7 b3c5 d7c5 d4c5 f8c8 f1c1 a7a5 c5c6 b7b5 c6c7 a5a4 h2h3 b5a5 a3d3 a4a3 d3d7 a3a2 c1a1 a8a7 a1a2 a7c7 a2a5 c7c2 a5a7 c8f8 d7c7 c2c7 a7c7 g7g6 h3h4 g8g7 g2g3 h6h5 g1g2 g7f6 g2f3 f6g7 f3g2 g7f6 g2f3 f6g7 f3g2 g7f6
Vugar Gashimov Mem 2014,Shamkir AZE,2014.04.22,3.1,"Nakamura,Hi","Mamedyarov,S",1-0,2772,2760,B12,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6 f1e2 c6c5 c1e3 d8b6 b1c3 b8c6 d4c5 f8c5 e3c5 b6c5 c3b5 e8f8 b5d4 g8e7 e1g1 f5e4 f1e1 c5b4 a2a3 b4b2 a1b1 b2a3 b1b7 e4f3 d4f3 h7h6 d1d2 g7g5 h2h4 g5g4 f3d4 a3a5 c2c3 c6d4 d2d4 e7f5 d4d2 d5d4 e2g4 a5c3 d2e2 f5h4 g4h5 h8h7 e2e4 a8c8 e4h7 c3e1 g1h2 e1e5 g2g3 c8c7 b7b8 f8e7 h7f7 e7d6 f7f8 d6d5
Vugar Gashimov Mem 2014,Shamkir AZE,2014.04.22,3.2,"Karjakin,Sergey","Carlsen,M",1/2-1/2,2772,2881,E20,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 e8g8 a2a3 b4c3 b2c3 f6h5 g1h3 f7f5 e2e3 d7d6 f1e2 c7c5 e1g1 b8c6 g2g4 f5g4 f3g4 h5f6 h3f2 h7h6 e3e4 e6e5 d4d5 c6e7 g4g5 h6g5 c1g5 d8e8 d1d3 e8g6 d3g3 c8d7 g1h1 f8f7 g3h4 a8f8 a1e1 g6h7 h4h7 f6h7 g5e3 e7g6 f2d3 f7f1 e1f1 f8f1 e2f1 h7f6 d3f2 g6f4 h2h4 f4g6 e3g5 f6h7 g5d8 g8f7 h1h2 h7f6 h2g3 g6f4 g3f3 d7a4 f2h3 a4d1 f3e3 f4g6 h3g5 f7e8 g5e6 g6h4 d8c7 e8d7 c7b8 d1g4 e6g7 a7a6 f1d3 h4g2 e3d2 d7e7 a3a4 e7f7 b8d6 f7g7 d6e5 g2h4 e5g3 h4g6 e4e5 f6d7 e5e6 d7e5 d3g6 e5g6 g3d6 g7f6 d6c5 f6e5 d2e3 g4d1 c5b6 d1a4 b6c7 e5f6 e3d4 f6e7 c4c5 g6h4 c3c4 h4f3 d4c3 f3g5 c3b4 a4d1 c7g3 g5e6 d5e6 d1f3 g3h4
Vugar Gashimov Mem 2014,Shamkir AZE,2014.04.22,3.3,"Radjabov,T","Caruana,F",1/2-1/2,2713,2783,A34,g1f3 g8f6 c2c4 c7c5 b1c3 d7d5 c4d5 f6d5 d2d4 d5c3 b2c3 g7g6 e2e4 f8g7 a1b1 e8g8 f1e2 c5d4 c3d4 d8a5 c1d2 a5a2 e1g1 c8g4 b1b7 g4f3 e2f3 g7d4 d2b4 f8d8 d1c1 b8a6 b4e7 a8c8 c1g5 a6c5 e7c5 d4c5 f3g4 d8d2 b7f7 g8f7 g4c8 c5f2 g1h1 a2c4 g5f4 f7g7 f4e5 g7h6 e5f4 h6g7 f4e5 g7h6 e5f4
Vugar Gashimov Mem 2014,Shamkir AZE,2014.04.23,4.1,"Radjabov,T","Nakamura,Hi",1/2-1/2,2713,2772,D11,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8g4 d1b3 d8b6 b1c3 e7e6 f3h4 g4h5 h2h3 g7g5 h4f3 h7h6 f1d3 b8d7 g2g4 b6b3 a2b3 h5g6 d3g6 f7g6 e1e2 f8g7 c1d2 e8g8 d2e1 a7a6 h3h4 g5h4 g4g5 h6g5 f3g5 f8e8 h1h4 e6e5 c4d5 c6d5 a1d1 a8d8 g5f3 e5d4 h4d4 d7b6 d4b4 d8d6 c3a4 b6a4 b3a4 e8e7 e1c3 f6e4 c3g7 g8g7 f3d2 d6c6 d2e4 d5e4 d1d4 c6c2 d4d2 c2d2 e2d2 g7f6 b4b6 f6f5 d2e2 e7c7 e2f1 c7d7 f1g2 d7f7 b2b4 f5g5 a4a5 f7e7 g2g3 e7f7 b6e6 g5f5 e6d6 f7e7 d6b6 e7f7 b4b5 a6b5 b6b5 f5e6 g3g4 f7f2 b5b7 f2f5 a5a6 f5a5 b7b6 e6f7 g4f4 g6g5 f4e4 g5g4 e4f4 a5a4 f4g3 a4e4 b6b8 e4e3 g3g4 e3a3 b8a8 a3a5 g4f4 f7g7 f4e4 a5b5 a8a7 g7g6 e4d4 b5b6 d4e5 b6c6 a7a8 g6g7 a8a7 g7g6 a7e7 c6a6 e7e6 a6e6 e5e6
