Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
3rd Du Te Cup 2019,Shenzhen CHN,2019.04.17,1.1,Yu Yangyi,"Giri,A",1/2-1/2,2751,2797,E06,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 d5c4 d1c2 a7a6 c2c4 b7b5 c4c2 c8b7 c1d2 b7e4 c2c1 c7c6 f1d1 b8d7 b1c3 e4g6 a2a3 a8c8 b2b4 f6d5 d2e1 d8c7 e2e3 h7h6 c1b2 d5b6 b2e2 b6c4 e3e4 g6h5 h2h3 e6e5 d4d5 c6c5 d1c1 f8e8 g3g4 h5g6 c3d1 c7d8 f3d2 c4b6 d2b3 c5c4 b3a5 e7g5 e1d2 b6a4 d1c3 d7b6 d2e3
3rd Du Te Cup 2019,Shenzhen CHN,2019.04.17,1.2,Ding Liren,"Rapport,R",1/2-1/2,2809,2726,E00,d2d4 g8f6 c2c4 e7e6 g2g3 f8b4 c1d2 d8e7 g1f3 b8c6 b1c3 b4c3 d2c3 f6e4 a1c1 d7d6 d4d5 e4c3 c1c3 c6d8 f1g2 e8g8 d5e6 d8e6 e1g1 c8d7 f1e1 a8b8 e2e4 b7b5 c4b5 b8b5 b2b3 a7a5 g2f1 b5c5 c3c5 e6c5 e4e5 f8b8 d1d2 a5a4 b3b4 c5e6 a2a3 b8b6 e5d6 b6d6 d2c3 e7d8 f1c4 h7h6 h2h4 d7e8 c4e6 d6d3 c3c4 d3f3 c4e4 f3d3 e6d5 d3d5 e4e8 d8e8 e1e8 g8h7 e8a8 c7c5 a8a4 c5b4 a3b4 d5d4 g1g2 g7g5 h4g5 h6g5 g2f3 d4d2 f3e3 d2b2 e3d4 f7f5 f2f4 h7g6 d4c5 b2c2 c5d5 c2d2 d5c6 d2c2 c6d6 c2d2 d6c7 d2c2 c7d6 c2d2 d6c5 d2c2 c5d4 c2d2 d4c3 d2g2 b4b5 g2g3 c3c4 g3e3 b5b6 e3e8 c4c5 g5f4 a4f4 g6g5 f4b4 f5f4 b6b7 e8b8 c5c6 f4f3 c6c7 b8b7 c7b7 f3f2 b4b1 g5f4 b7c6 f4f3 c6d5 f3g2 d5e4 f2f1r b1f1 g2f1 e4d5
3rd Du Te Cup 2019,Shenzhen CHN,2019.04.17,1.3,"Jakovenko,D","Harikrishna,P",1/2-1/2,2719,2723,B48,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 c1e3 a7a6 f1d3 g8f6 e1g1 c6d4 e3d4 f8c5 d4c5 c7c5 c3a4 c5c7 c2c4 d7d6 a4c3 e8g8 d3e2 f8d8 d1d4 e6e5 d4e3 c8e6 b2b3 c7c5 e3d3 a8c8 a1c1 c8c6 a2a4 h7h6 f1d1 d8c8 h2h3 c5b4 c1b1 b4c5 b1a1 c5b6 d3d2 b6a5 d1b1 a5d8 d2d1 c6c5 b1b2 b7b5 a4b5 a6b5 c3b5 f6e4 e2f3 d6d5 f3e4 d5e4 b5d6 c8b8 d1d2 c5c6 d6e4
3rd Du Te Cup 2019,Shenzhen CHN,2019.04.18,2.3,Yu Yangyi,Ding Liren,1/2-1/2,2751,2809,E00,d2d4 g8f6 c2c4 e7e6 g2g3 f8b4 c1d2 b4e7 f1g2 d7d5 g1f3 e8g8 e1g1 c7c6 d1c2 b8d7 d2f4 b7b6 f1d1 c8a6 c4d5 c6d5 f3e5 d7e5 d4e5 f6g4 h2h3 g7g5 f4g5 g4e5 g5e7 d8e7 e2e4 d5e4 c2e4 e7f6 b1c3 a8d8 e4a4 a6d3 a4a7 e5c4 c3e4 d3e4 g2e4 c4b2 d1d8 f8d8 a1c1 f6d4 a7e7 b2d3 e7g5 g8f8 g5h6 f8e8 e4d3 d4d3 h6g7 d3f5 g3g4 f5f4 g7h8
3rd Du Te Cup 2019,Shenzhen CHN,2019.04.18,2.1,"Rapport,R","Jakovenko,D",1/2-1/2,2726,2719,D37,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 g2g3 e8g8 f1g2 d5c4 f3e5 c7c5 d4c5 d8d1 c3d1 e7c5 c1d2 b8c6 e5c4 c8d7 d1c3 c6d4 e1g1 d7c6 d2e3 c6g2 g1g2 f8c8 a1d1 d4f5 e3c5 c8c5 c4d6 f5d6 d1d6 g8f8 f1d1 f8e7 d6d4 a8c8 g3g4 h7h5 h2h3 h5g4 h3g4 c8c7 f2f3 c7d7 g2f2 d7d4 d1d4 f6d7 d4a4 a7a5 c3e4 c5b5 e4c3 b5c5 c3e4 c5b5
3rd Du Te Cup 2019,Shenzhen CHN,2019.04.18,2.2,"Giri,A","Harikrishna,P",1-0,2797,2723,C53,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 e8g8 e1g1 d7d5 e4d5 f6d5 f1e1 c8g4 b1d2 d5b6 h2h3 g4h5 c4b3 d8d3 f3e5 h5d1 e5d3 d1b3 a2b3 c5e7 b3b4 a7a6 d2e4 b6d7 c1f4 a8c8 a1d1 f8d8 g2g4 e7f8 g1g2 d8e8 f4g3 f7f6 f2f4 e8e7 f4f5 c8e8 d3f4 c6d8 d1d7 e7d7 e4f6 g7f6 e1e8 g8f7 e8e3 d7d2 e3e2 d2d1 f4e6 d8e6 f5e6 f7e8 g3c7 d1d3 c7f4 d3d5 g2f3 e8e7 e2e4 f8g7 f4e3 f6f5 e3g5 g7f6 g5f6 e7f6 g4g5 f6g5 e4e3
3rd Du Te Cup 2019,Shenzhen CHN,2019.04.19,3.3,Ding Liren,"Giri,A",1/2-1/2,2809,2797,A14,c2c4 g8f6 g2g3 e7e6 f1g2 d7d5 g1f3 f8e7 e1g1 e8g8 b2b3 d5d4 e2e3 c7c5 f3e5 d8c7 f2f4 f6d7 e5f3 b8c6 b1a3 a7a6 e3d4 c5d4 d2d3 b7b5 c1b2 c7b6 g1h1 c8b7 a3c2 e7f6 b2a3 b5b4 a3b2 a6a5 g3g4 g7g6 f3d2 d7c5 d2e4 c5e4 d3e4 e6e5 f4f5 c6b8 c2e1 b8d7 e1d3 d7c5 d3c5 b6c5 b2c1 g6g5 a2a4 g8g7 h2h4 h7h6 h4h5 f8d8
3rd Du Te Cup 2019,Shenzhen CHN,2019.04.19,3.2,"Harikrishna,P","Rapport,R",1-0,2723,2726,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5 e6d5 f1d3 g8e7 g1f3 e8g8 e1g1 b8c6 c3e2 c8f5 e2g3 f5g6 f3h4 g6d3 d1d3 d8d7 h2h3 e7g6 h4f5 c6e7 c2c3 e7f5 g3f5 b4d6 h3h4 g6e7 f5d6 d7d6 d3f3 c7c6 h4h5 f8e8 c1g5 h7h6 g5d2 a8d8 a1e1 d6d7 d2f4 e7f5 f3g4 e8e7 e1e7 f5e7 g4e2 d8e8 f1e1 g8f8 e2d3 e7f5 e1e8 f8e8 g2g4 f5e7 f2f3 d7e6 g1f2 f7f6 b2b3 e8f7 a2a4 f7g8 a4a5 a7a6 d3d2 g8f7 f4c7 e7c8 d2f4 e6e7 c7b6 c8b6 a5b6 c6c5 c3c4 d5c4 b3c4 c5d4 f4d4 e7e6 d4d8 f6f5 d8c7 f7f6 g4f5 e6f5 c4c5 f5c2 f2g3 c2d1 c7f4 f6e7 f4e5 e7f7 c5c6 b7c6 b6b7 d1g1 g3h3 g1f1 h3g4 f1g1 e5g3
3rd Du Te Cup 2019,Shenzhen CHN,2019.04.19,3.1,"Jakovenko,D",Yu Yangyi,1/2-1/2,2719,2751,C55,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 f8e7 e1g1 e8g8 f1e1 d7d6 a2a4 c6a5 c4a2 c7c5 c2c3 a5c6 b1d2 h7h6 d2f1 f8e8 h2h3 e7f8 f1e3 c8e6 a2e6 e8e6 e3d5 e6e8 d5f6 d8f6 d1b3 b7b6 b3b5 e8c8 f3d2 f8e7 d2c4 e7d8 c4e3 f6e6 b5c4 d8g5 e3d5 g5c1 e1c1 c6e7 d5e3 e6d7 c4b5 d7e6 b5c4 e6d7 c4b5 d7e6 b5c4 e6d7 c4b5 d7e6
3rd Du Te Cup 2019,Shenzhen CHN,2019.04.20,4.3,"Rapport,R",Yu Yangyi,1/2-1/2,2726,2751,A08,g1f3 d7d5 g2g3 c7c5 f1g2 b8c6 d2d4 e7e6 e1g1 g8f6 c2c4 d5c4 d4c5 d8d1 f1d1 f8c5 b1d2 c4c3 b2c3 e8g8 d2b3 c5e7 f3d4 c6d4 c3d4 f6d5 b3a5 e7b4 c1d2 d5c3 a5b7 c3e2 g1f1 e2c3 d2c3 b4c3 a1c1 c8b7 g2b7 a8b8 c1c3 b8b7 d4d5 e6d5 d1d5 f8e8 d5a5 g7g6 c3a3 e8e7 g3g4 g8g7 f1g2 h7h6 h2h4 b7c7 g2g3 c7b7 h4h5 g6g5 a3e3 e7d7
