Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Mtel - Blindfold,Sofia BUL,2007.05.08,1,"Brunetti,Alex","Topalov,V",0-1,,2772,D02,g1f3 d7d5 d2d4 c7c6 c2c3 c8f5 d1b3 d8c8 c1f4 e7e6 e2e3 g8f6 h2h3 f8e7 b1d2 a7a5 a2a4 e8g8 f3h4 f5e4 f2f3 e4g6 h4g6 h7g6 f1d3 f6h5 f4h2 e7h4 e1d1 h4g3 h2g1 b8d7 e3e4 c8c7 g1e3 h5f4 d3f1 e6e5 e3f4 g3f4 e4d5 c6d5 b3d5 d7b6 d5e4 e5d4 c3d4 f8e8 e4d3 b6d5 d2c4 a8d8 f1e2 c7c4 d3c4 d5e3 d1d2 e3c4 d2c3 e8e2
MTel,Sofia BUL,2007.05.10,1,"Topalov,V","Nisipeanu,LD",0-1,2772,2693,B01,e2e4 d7d5 e4d5 d8d5 b1c3 d5d6 g2g3 g8f6 f1g2 c7c6 d2d4 g7g6 c1f4 d6b4 g1e2 f8g7 d1c1 e8g8 e1g1 c8g4 a2a3 b4a5 h2h3 g4e2 c3e2 b8d7 c2c4 e7e5 b2b4 a5c7 d4e5 d7e5 c1c2 a7a5 a1e1 a5b4 a3b4 f8e8 c4c5 f6d5 f4d2 e5d7 c2c4 d7f6 g3g4 h7h5 e2g3 h5g4 h3g4 c7d7 g4g5 e8e1 f1e1 f6e8 g2f3 e8c7 f3g4 d7d8 g1g2 c7b5 e1d1 a8a1 d1a1 g7a1 g4f3 a1e5 g3e2 d5c7 d2e3 c7e6 f3g4 b5c7 c4e4 e5g7 f2f4 d8d1 g2f2 g7c3 b4b5 d1e1 f2g2 c7d5 b5c6 b7c6 e4d3 c3d4 g4e6 d5e3 g2h2 e1f2 h2h3 f2f3 e2g3 f3g2
MTel,Sofia BUL,2007.05.10,1,"Adams,Mi","Sasikiran,K",1/2-1/2,2734,2690,B14,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 e7e6 g1f3 f8b4 c4d5 f6d5 d1c2 b8c6 f1e2 c6e7 e1g1 c8d7 c3d5 e7d5 f3e5 b4d6 c2b3 d8b6 b3f3 d6e5 d4e5 d7b5 e2b5 b6b5 a2a4 b5b4 f3g3 g7g6 c1h6 e8c8 g3f3 d8d7 a1c1 c8b8 b2b3 h8c8 c1c8 b8c8 f1c1 c8b8 g2g3 b4a3 g1g2 a3b2 c1e1 d7c7 h6f8 b2c3 f3d1 b8c8 e1e4 h7h5 f8d6 c7c6 e4d4 c3b2 d4d5 e6d5 d1d5 b2c2 e5e6 c6d6 d5d6 c2e4 g2g1 f7e6 d6c5 c8d7 c5a7 e4b1 g1g2 b1b3 h2h4 b3d5 g2g1 d5d1 g1g2 d1d5 g2g1 d5d1 g1g2
MTel,Sofia BUL,2007.05.10,1,"Mamedyarov,S","Kamsky,G",1-0,2757,2705,D10,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 c8g4 f2f3 g4e6 g1e2 d5c4 e2f4 d8c8 e3e4 g7g6 g2g4 f8g7 h2h4 h7h6 b2b3 c4b3 a2b3 b8d7 f4e6 f7e6 e4e5 c8c7 e5f6 c7g3 e1e2 d7f6 d1d3 e8c8 a1a7 c8b8 a7a4 h8f8 h1h3 g3c7 c1e3 e6e5 d3c4 f6d5 c3d5 d8d5 c4d3 e5d4 e3d2 f8f6 e2d1 f6e6 f3f4 c7b6 f1g2 d5c5 a4c4 c5b5 f4f5 g6f5 g4f5 e6d6 d1c2 b6a7 c2b2 b5e5 c4a4 a7b6 d2f4 e5e2 b2b1 e2g2 h3g3 g2g3 d3g3
MTel,Sofia BUL,2007.05.11,2,"Sasikiran,K","Mamedyarov,S",1/2-1/2,2690,2757,A40,d2d4 g7g6 g1f3 f8g7 c2c3 d7d6 e2e4 g8f6 f1d3 e8g8 e1g1 b8d7 f1e1 e7e5 c1g5 h7h6 g5h4 g6g5 h4g3 f6h5 b1d2 e5d4 f3d4 h5g3 h2g3 d7e5 d3c2 f8e8 d2f1 c8g4 f2f3 c7c5 d4f5 g4f5 e4f5 d8b6 a1b1 e5d7 f1e3 c5c4 d1d2 d7f6 g1h2 b6c5 b2b3 c4b3 c2b3 e8e5 e3c4 e5d5 d2e3 c5c6 b1d1 d5d1 e1d1 d6d5 c4e5 c6c7 e5g4 h6h5 g4f6 g7f6 f3f4 g5f4 e3f4 c7f4 g3f4 a8d8 b3d5 b7b5 h2h3 g8f8 d5f3 d8d1 f3d1 h5h4 d1e2 a7a6 h3g4 f8g7 e2f3 f6c3 g4h4 b5b4 f3d1 a6a5 h4g4 f7f6 d1b3 c3d2 g4f3 d2c1 g2g3 c1d2 f3e4 d2e1 e4f3 e1d2 f3e4 d2e1 e4f3 e1d2 f3e4
MTel,Sofia BUL,2007.05.11,2,"Topalov,V","Adams,Mi",1/2-1/2,2772,2734,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4 c1d2 b4e7 f1g2 c7c6 d2c3 d7d5 f3e5 f6d7 e5d7 b8d7 b1d2 e8g8 e1g1 a8c8 f1e1 c6c5 c4d5 e6d5 e2e3 d7f6 d1b1 d8d7 b1b2 c5d4 c3d4 a6d3 a1c1 h7h5 d2f3 d3e4 f3e5 d7e6 f2f3 e4f5 b3b4 f8e8 b4b5 c8c1 e1c1 e7c5 b2c3 f5h3 c1e1 h5h4 e5c6 f6d7 d4g7 h4g3 h2g3 e6g6 g2h3 g6g3 h3g2 g3g7 c3g7 g8g7 g1f2 f7f5 f3f4 d7f6 g2f3 f6e4 f2e2 e4c3 e2d3 c3b5 c6e5 g7f6 a2a4 b5c7 e1h1 e8e5 f4e5 f6e5 h1h7 c7e6 h7a7 b6b5 a7a8 b5a4 a8a4 f5f4 e3f4 e6f4 a4f4 e5f4 f3d5 f4e5
MTel,Sofia BUL,2007.05.11,2,"Nisipeanu,LD","Kamsky,G",1/2-1/2,2693,2705,D15,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d8b6 e2e3 c8g4 h2h3 g4f3 d1f3 e7e6 f1d3 f8b4 e1g1 e8g8 f3e2 b8d7 c1d2 a7a5 f1d1 f8e8 a1b1 b4f8 d2e1 g7g6 e2c2 b6a7 d3f1 d7b6 b2b3 b6c8 c2b2 c8d6 c4c5 d6e4 a2a3 e4c3 e1c3 f6e4 c3e1 e6e5 b3b4 e5d4 e3d4 a5b4 a3b4 f8g7 h3h4 a7a3 b2a3 a8a3 b4b5 g7f6 g2g3 g6g5 b5c6 b7c6 b1b6 g5h4 g3h4 e8e6 f1d3 f6d4 d3e4 e6e4 b6c6 d4c3 e1c3 a3c3 d1d5 e4h4 d5g5 g8f8 g5f5 h4g4 g1f1 c3c1 f1e2 g4e4 e2d2 c1c4 c6c7 c4d4 d2c3 d4c4 c3d2 c4d4 d2c3 d4c4 c3d3
MTel,Sofia BUL,2007.05.12,3,"Mamedyarov,S","Topalov,V",1-0,2757,2772,D43,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 c1g5 h7h6 g5f6 d8f6 d1b3 b8d7 e2e4 d5e4 c3e4 f6f4 f1d3 e6e5 e1g1 e5d4 f3d4 d7c5 e4c5 f8c5 a1e1 e8f8 e1e4 f4f6 b3c3 a7a5 f1e1 c8d7 e1e3 c5b4 c3c2 f6d6 e3f3 h6h5 c4c5 b4c5 d3c4 f7f6 d4e6 d7e6 e4e6 d6d7 c2f5 d7d4 e6e4 d4d1 c4f1 c5d6 f3d3 d6h2 g1h2 d1f1 d3d7
MTel,Sofia BUL,2007.05.12,3,"Adams,Mi","Nisipeanu,LD",1-0,2734,2693,C07,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d6 e1g1 g8f6 d2b3 b8c6 b3d4 c6d4 f3d4 a7a6 f1e1 c8d7 c1g5 d6c5 c4e6 f7e6 g5f6 g7f6 d4e6 d7e6 e1e6 f8e7 b2b4 c5c3 e6e3 c3c7 d1h5 e8f8 a1e1 a8e8 h5h6 f8f7 h6h5 f7f8 h5h6 f8f7 c2c3 h8g8 h6h7 g8g7 h7h5 f7f8 g2g3 c7d7 e3e6 g7g5 h5h8 f8f7 h8h7 g5g7 h7h5 g7g6 c3c4 f7g7 h5d5 d7c7 d5e4 g7f7 c4c5 c7d7 e4f5 f7g7 f5e4 g7f7 e4f5 f7g7 f5h5
MTel,Sofia BUL,2007.05.12,3,"Kamsky,G","Sasikiran,K",0-1,2705,2690,D27,d2d4 g8f6 g1f3 d7d5 c2c4 d5c4 e2e3 a7a6 f1c4 e7e6 e1g1 c7c5 d4c5 d8d1 f1d1 f8c5 b2b3 b8d7 c1b2 b7b6 b1c3 c8b7 a1c1 c5e7 c3e2 a8c8 e2f4 b6b5 c4e2 e8g8 f3d4 d7c5 e2f3 c5e4 f4d3 e7d6 d4e2 f8d8 d3e5 d6b8 c1c8 d8c8 e2g3 b7d5 e5d3 a6a5 b3b4 a5a4 a2a3 e4c3 d1c1 d5f3 g2f3 b8g3 c1c3 c8c3 b2c3 f6d5 c3d4 g3d6 f3f4 f7f6 g1g2 g8f7 g2f3 h7h6 e3e4 d5f4 d3f4 e6e5 f4e2 e5d4 e2d4 d6h2 d4b5 h2e5 f3e3 g7g5 b5d4 h6h5 d4f5 h5h4 e3e2 f7e6 f5e3 h4h3 e2f1 e5d4 f1g1 d4e3 f2e3 g5g4
