Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-ch58,Moscow,1991.??.??,1,"Makarichev, Sergey","Aleksandrov, Aleksej",1/2-1/2,2535,2450,A13,c2c4 e7e6 g1f3 d7d5 e2e3 g8f6 b2b3 b7b6 c1b2 c8b7 b1c3 b8d7 a1c1 c7c5 c4d5 e6d5 d2d4 f8d6 f1d3 e8g8 e1g1 d8e7 d1e2 a8d8 d3a6 b7a8 f1d1 f6e4 d4c5 d7c5 a6b5 d6b8 b3b4 c5e6 a2a3 a7a5 c3a4 a5b4 a3b4 e7b4 a4b6 e4d6 b6a8 d6b5 c1b1 b4c4 e2f1 b8a7 b2e5 f7f6
URS-ch58,Moscow,1991.??.??,1,"Aseev, Konstantin N","Brodsky, Michail",1/2-1/2,2525,2415,E12,d2d4 g8f6 g1f3 e7e6 c2c4 b7b6 b1c3 c8b7 a2a3 d7d5 c4d5 f6d5 d1c2 d5c3 b2c3 f8e7 e2e4 e8g8 f1d3 c7c5 c1b2 d8c8 c2e2 b7a6 a1d1 a6d3 d1d3 b8d7 e1g1 f8e8 d3e3 e7f8 f1d1 c8c7 e4e5 f8e7 d4d5 e6d5 d1d5 d7f8 c3c4 f8e6 g2g3 c7c6 f3d2 e6c7 d5d3 a8d8 d2e4 d8d3 e3d3 c6e6 d3d2 e8d8 d2d8 e7d8 e2d3 d8e7 f2f4 g7g6 e4c3 g8f8 c3d5 e6d7 d3e4 e7d8 g1g2 d7c6 g2f3 c7e6 h2h4 c6a4 e4d3 a7a6 d5e3 b6b5 f3e2 b5c4 e3c4 d8e7 h4h5 a4c6 h5g6 c6g2 e2d1 h7g6 c4d2 c5c4 d3f3 g2f3 d2f3 e6c5 f3d2 c5d3 d1c2 d3b2 c2b2 c4c3 b2c3 e7a3 d2c4 a3c5 g3g4 f8e7 f4f5
URS-ch58,Moscow,1991.??.??,1,"Bagirov, Vladimir","Magerramov, Elmar",1/2-1/2,2485,2560,A30,g1f3 g8f6 c2c4 c7c5 b1c3 e7e6 g2g3 b8c6 f1g2 d7d5 c4d5 f6d5 e1g1 f8e7 b2b3 e8g8 c1b2 f8e8 c3d5 e6d5 d2d4 e7f6 d1d2 c5d4 f3d4 f6d4 b2d4 c8g4 e2e3 d8d7 f1c1 g4h3 g2h1 d7f5 c1c5 a8d8 d4b2 h7h6 a1c1 f5g4 c5d5 d8d5 h1d5 e8d8 c1c6 b7c6 d5f7 g8f7 d2d8 g4f3
URS-ch58,Moscow,1991.??.??,1,"Balashov, Yuri S","Kiselev, Sergey",0-1,2590,2510,B20,e2e4 c7c5 g2g3 b8c6 f1g2 g7g6 d2d3 f8g7 f2f4 d7d6 g1f3 e7e5 e1g1 g8e7 c2c3 e8g8 a2a4 e5f4 c1f4 h7h6 b1a3 c8e6 a3b5 a7a6 b5d6 g6g5 d6b7 d8b6 f4g5 b6b7 g5e7 b7e7 f3h4 a8d8 d1e2 d8d7 a1e1 c6e5 h4f5 e7d8 e2h5 e6f5 e4f5 d8f6
URS-ch58,Moscow,1991.??.??,1,"Budnikov, Alexandar","Epishin, Vladimir",1/2-1/2,2525,2615,A29,c2c4 e7e5 b1c3 g8f6 g2g3 f8b4 f1g2 e8g8 g1f3 f8e8 e1g1 e5e4 f3d4 b8c6 d4c2 b4c3 d2c3 h7h6 c2e3 b7b6 e3d5 c8b7 b2b3 c6e5 f2f3 e4f3 e2f3 f6d5 c4d5 d8e7 f3f4 e7c5 g1h1 e5g6 c1b2 b6b5 a1c1 c5e3 c3c4 b5c4 b3c4 d7d6 f1f3 e3e2 d1d4 f7f6 f3b3 b7c8 g2f3 e2e7 h1g1 c8f5 c4c5 a8b8 g1f2 a7a5 b2a3 e7d7 c5d6 b8b3 a2b3 c7d6 c1c6 d7e7 d4d2 e7a7 f2g2 f5e4 a3d6 e4f3 g2f3 a7g1 c6c1 g1b6 d6c7 b6b3 f3f2 g6f8 d5d6 f8d7 c7a5
URS-ch58,Moscow,1991.??.??,1,"Dokhoian, Yury","Nenashev, Alexander",1/2-1/2,2545,2475,D34,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 c1g5 c5c4 f3e5 c8e6 e5c6 b7c6 b2b3 d8a5 c3a4 a8d8 e2e3 c6c5 g5f6 g7f6 a4c5 e7c5 d4c5 a5c5 d1h5 c5d6 f1d1 d6e5 h5h4 a7a5 g2f1 d8b8 h4d4 f8c8 a1c1 e5d4 d1d4 g8g7 c1c3 c4b3 c3b3 b8b3 a2b3 c8b8 d4a4 b8b3 a4a5 d5d4 e3d4 b3b1 g1g2 b1d1
URS-ch58,Moscow,1991.??.??,1,"Dreev, Alexey","Malaniuk, Vladimir P",1-0,2610,2510,A87,d2d4 f7f5 g2g3 g8f6 f1g2 d7d6 g1f3 g7g6 b2b3 f8g7 c1b2 e8g8 e1g1 h7h6 c2c4 d8e8 d1c2 b8a6 b1d2 c7c6 a1e1 e8f7 b2c3 g6g5 e2e4 f5e4 d2e4 c8d7 e4f6 e7f6 d4d5 c6c5 e1e6 a6c7 e6d6 f7e7 d6d7 e7d7 f1d1 a8d8 b3b4 b7b6 b4c5 b6c5 d5d6 c7e8 c2g6 g8h8 f3g5 f6g5 g6h6 h8g8 g2d5 f8f7 h6g5 g8f8 d5f7 f8f7 c3g7 e8g7 g5c5 g7e8 c5h5 f7f8 h5h8 f8f7 h8h5 f7f8 c4c5 d7e6 d1d4 d8d7 h5h8 f8f7 h8h7 f7f8 d4f4
URS-ch58,Moscow,1991.??.??,1,"Dvoirys, Semen I","Meister, Yakov",1-0,2525,2430,C61,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 f8c5 d2d3 c7c6 b5c4 d7d6 d1h5 d8e7 b1d2 g8f6 h5h4 c8e6 c4e6 f7e6 a2a4 a7a6 e4e5 d6e5 d2c4 e5e4 d3e4 e8g8 a4a5 e6e5 g1h1 a8e8 b2b3 e7f7 c1d2 e8e6 f2f3 c5e7 h4e1 f7h5 e1e2 f6d7 a1d1 e6g6 b3b4 e7h4 g2g4
URS-ch58,Moscow,1991.??.??,1,"Ibragimov, Ildar","Krasenkow, Michal",1/2-1/2,2485,2550,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 c1e3 c7c5 d1d2 d8a5 a1b1 a7a6 b1c1 c5d4 c3d4 a5d2 e1d2 e8g8 g1f3 e7e6 f1e2 f7f5 e4f5 g6f5 g2g3 b8c6 h1d1 c8d7 d2e1 f8c8 f3g5 c6b4 e2c4 b4d5 c4d5 e6d5 c1c5 h7h6 g5h3 c8c5 d4c5 g7c3 e1f1 d7b5 f1g1 d5d4 e3h6 a8d8 h6g5 d8e8 h3f4 e8e1 d1e1 c3e1 f4g2 e1b4 g2h4 d4d3 h4f3 b4c5 g5d2 b5c4 a2a4 b7b5 f3e5 c5d6 f2f4 d6c5 g1f1 c5d4 e5c6 d4c5 c6e5 g8g7 f1e1 c5d4 e5c6 d4c5 a4a5 g7h6 d2b4 c4d5 b4c5 d5c6 e1d2 c6e4 d2e3 h6h5 h2h3 e4g2 h3h4 g2f1 c5b4 h5g4
URS-ch58,Moscow,1991.??.??,1,"Ionov, Sergey","Vyzmanavin, Alexey",1-0,2510,2590,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4 c1d2 b4e7 f1g2 c7c6 e1g1 d7d5 d2c3 f6e4 f3e5 e4c3 b1c3 e8g8 e2e4 d5c4 e5c4 b6b5 c4e3 b8d7 d1c2 a8c8 a1d1 d8b6 h2h4 f8d8 g2h3 c6c5 d4d5 e7f6 c3e2 c5c4 d5e6 f7e6 e2f4 c4b3 h3e6 g8h8 c2b1 b3a2 b1a2 d7c5 e6c8 d8c8 e3d5 b6b7 d5f6 g7f6 d1d6 b5b4 f1d1 b4b3 a2b2 c5e4 d6d8 c8d8 d1d8 h8g7 b2d4 a6b5 f4d5 b5c6 d4e4 b3b2 e4g4 g7h6 g4f4
URS-ch58,Moscow,1991.??.??,1,"Kanstler, Boris","Bologan, Viktor",0-1,2430,2535,E97,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 e8g8 g1f3 d7d6 f1e2 e7e5 e1g1 b8c6 c1e3 f6g4 e3g5 f7f6 g5c1 f6f5 c1g5 d8e8 e4f5 g6f5 d4e5 d6e5 h2h3 g4f6 c3d5 e8f7 g5e3 h7h6 f3h4 c8e6 f2f4 e5e4 d5c3 a8d8 d1a4 f6h5 g1h2 g7f6 h4f5 e6f5 g2g4 f6d4 e3c1 g8h8 g4f5 f8g8 c3e4 f7f5 e2h5 f5e4 h5f3 d4g1 h2h1 e4f5 f3g4 g8g4 h3g4 f5g4
URS-ch58,Moscow,1991.??.??,1,"Kramnik, Vladimir","Ulibin, Mikhail",1/2-1/2,2490,2565,C06,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 c2c3 c7c5 f1d3 b8c6 g1e2 c5d4 c3d4 f7f6 e5f6 d7f6 d2f3 f8d6 e1g1 e8g8 c1f4 d6f4 e2f4 f6e4 f4e2 f8f3 g2f3 e4g5 g1h1 e6e5 d4e5 g5f3 d3h7 g8h8 e2g1 c6d4 g1f3 c8g4 f3d4 g4d1 a1d1 h8h7 f2f4 d8b6 f4f5 b6b2 d1d3 a8c8 f5f6 c8c1 d3h3 h7g6 h3g3 g6h5
