Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
St Petersburg,St Petersburg,1913.??.??,?,"Bogoljubow, Efim","Nimzowitsch, Aaron ",0-1,,,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 d1g4 c7c5 g1f3 a7a6 d4c5 d8c7 g4g3 d7c5 f1d3 g7g6 c1f4 b8c6 e1g1 c6e7 a1c1 f8g7 b2b4 c5d7 c3e2 e8g8 e2d4 e7c6 d4c6 b7c6 c2c4 d5c4 d3c4 c7b8 c1b1 d7b6 f3d2 f8d8 f1c1 b6d5 c1e1 d5f4 g3f4 g7e5 e1e5 d8d2 f4g5 b8d6 b1e1 d6d4 c4f1 d4f2 g1h1 f7f6 g5e3 f6e5
St Petersburg exhibition,St Petersburg,1913.??.??,?,"Alekhine, Alexander","Capablanca, Jose Raul",0-1,,,C90,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 c6a5 b3c2 c7c5 d2d4 d8c7 a2a4 b5b4 b1d2 e8g8 d2f1 c5d4 c3d4 c8e6 f1e3 a8c8 c1d2 a5c4 e3c4 c7c4 a1c1 b4b3 c2b1 c4a4 d4e5 d6e5 f3e5 c8c1 d2c1 f8d8 d1e2 h7h6 h2h3 e7c5 c1f4 f6d7 e1d1 c5b6 e5f3 e6c4 e2e1 d7c5 f4d6 c5d3 b1d3 d8d6 d1a1 a4b5 d3c4 b5c4 a1c1 c4c2 g1h2 c2b2 e4e5 b6f2 e1f1 d6g6 c1c8 g8h7 c8f8 b2c2 f8f7 b3b2 f7b7 f2b6 f3d2 c2d2 e5e6 b2b1q
St Petersburg,St Petersburg,1913.??.??,?,"Duras, Oldrich","Loewenfisch, Grigori",1/2-1/2,,,D46,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 c7c6 e2e3 b8d7 f1d3 f8d6 e1g1 e8g8 e3e4 d5c4 d3c4 e6e5 c4b3 d8e7 f1e1 e5d4 f3d4 d7e5 c1g5 c8g4 d4f5 g4d1 f5e7 d6e7 e1d1 f8d8 h2h3 h7h6 g5e3 e5d3 a1b1 e7b4 b3c2 d3e5 d1d8 a8d8 e3a7 d8d2 b1c1 b4c3 b2c3 e5c4 c2b3 c4a5 b3c2 a5c4 a7d4 c4a3 d4f6 g7f6 c2b3 c6c5 c3c4 d2d4 f2f3 g8f8 g1f2 d4d2 f2g3 f8e7 f3f4 e7d6 g3f3 d6c7 g2g3 d2d3 f3g4 c7d6 g4f5 d6e7 b3a4 h6h5 g3g4 d3h3 c1d1 h5g4 d1d7 e7f8 f5g4 h3c3 g4f5 f8g7 a4b3 a3c4 b3c4 c3c4 d7b7
St Petersburg exhibition,St Petersburg,1913.??.??,?,"Capablanca, Jose Raul","Alekhine, Alexander",1-0,,,D30,d2d4 d7d5 c2c4 c7c6 e2e3 g8f6 g1f3 e7e6 b1d2 b8d7 f1d3 f8e7 e1g1 e8g8 d1c2 d5c4 d2c4 c6c5 c4e5 c5d4 e3d4 d7b6 f3g5 g7g6 g5f3 g8g7 c1g5 b6d5 a1c1 c8d7 c2d2 f6g8 g5e7 d8e7 d3e4 d7b5 f1e1 e7d6 e4d5 e6d5 d2a5 a7a6 a5c7 d6c7 c1c7 h7h6 c7b7 a8c8 b2b3 c8c2 a2a4 b5e2 f3h4 h6h5 h4g6 f8e8 b7f7 g7h6 f2f4 a6a5 g6h4 e8e5 f4e5 h6g5 g2g3 g5g4 f7g7 g4h3 h4g2
St Petersburg exhibition,St Petersburg,1913.??.??,?,"Capablanca, Jose Raul","Dus Chotimirsky, Fedor Ivanovich",1-0,,,C90,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 c6a5 b3c2 c7c5 d2d4 d8c7 b1d2 a5c6 d2f1 c5d4 c3d4 c8g4 d4d5 c6d4 c2d3 e8g8 c1e3 a8c8 e3d4 e5d4 a2a4 c7b6 a4b5 a6b5 h2h3 g4f3 d1f3 f6d7 e1c1 d7c5 b2b4 c5a4 c1c8 f8c8 e4e5 g7g6 e5e6 c8f8 f1g3 b6b7 g3f5 f7e6 d5e6 b7c7 f3c6 c7d8 d3b5 a4c3 f5e7 d8e7 c6d7 e7d7 b5d7 f8b8 e6e7 g8f7 a1e1 b8e8 d7e8 f7e8 e1e6
St Petersburg exhibition,St Petersburg,1913.??.??,?,"Capablanca, Jose Raul","Znosko Borovsky, Eugene ",0-1,,,C12,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4d5 d8d5 g5f6 g7f6 g1f3 b4c3 b2c3 b7b6 f1e2 c8b7 d1d2 b8d7 c3c4 d5f5 e1c1 e8c8 d2e3 h8g8 g2g3 f5a5 d1d3 c8b8 h1d1 a5f5 f3h4 f5g5 f2f4 g5g7 e2f3 g8e8 f3b7 b8b7 c4c5 c7c6 h4f3 g7f8 f3d2 b6c5 d2c4 d7b6 c4a5 b7a8 d4c5 b6d5 e3d4 d8c8 c2c4 e6e5 d4g1 e5e4 c4d5 e4d3 d5d6 e8e2 d6d7 e2c2 c1b1 c8b8 a5b3 f8e7 d1d3 c2e2 g1d4 b8d8 d4a4 e7e4 a4a6 a8b8 b1c1 d8d7 b3d4 e2e1 c1d2 d7d4
St Petersburg exhibition,St Petersburg,1913.??.??,?,"Dus Chotimirsky, Fedor Ivanovich","Capablanca, Jose Raul",0-1,,,D02,d2d4 d7d5 g1f3 g8f6 c1f4 c7c5 c2c3 d8b6 d1c2 c5d4 c3d4 b8c6 b1c3 c8d7 e2e3 a8c8 a1c1 e7e6 f1e2 f8e7 e1g1 e8g8 c2b1 b6a5 f3d2 a7a6 d2b3 a5b4 b3c5 c6d4 e3d4 e7c5 a2a3 b4d4 f4g3 c5e7 c1d1 d4b6 g3e5 d7c6 d1d3 f6d7 d3h3 f7f5 e5f4 d5d4 b1a2 f8f6 f4g5 d4c3 g5f6 c6d5 a2d5 e6d5
St Petersburg exhibition,St Petersburg,1913.??.??,?,"Znosko Borovsky, Eugene ","Capablanca, Jose Raul",0-1,,,C90,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 c6a5 b3c2 c7c5 d2d3 a5c6 b1d2 c8e6 d2f1 e8g8 d1e2 f6h5 f1g3 h5g3 f2g3 f7f5 e4f5 e6f5 c2b3 g8h8 b3d5 a8c8 a2a4 e7f6 a4b5 a6b5 c1d2 c6e7 d5e4 c5c4 f3g5 d6d5 e4f5 e7f5 e2h5 f6g5 d2g5 d8b6 g1h1 c8e8 g3g4 f5d6 g5e3 d5d4 e3g1 c4d3 e1e5 e8e5 h5e5 d6c4 a1f1 b6d8 e5d4 f8e8 d4a7 d3d2 g1d4 e8e7 a7c5 e7e1
St Petersburg,St Petersburg,1913.??.??,?,"Alekhine, Alexander","Bogoljubow, Efim",0-1,,,C64,e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 c2c3 g8e7 d2d4 e5d4 c3d4 c5b4 c1d2 b4d2 d1d2 a7a6 b5a4 d7d5 e4d5 d8d5 b1c3 d5e6 e1f1 e6c4 f1g1 e8g8 d4d5 f8d8 d2e1 c8g4 a4b3 c4f4 d5c6 g4f3 e1e7 f3c6 h2h4 d8d2 a1f1 a8e8 e7g5 d2f2 b3f7 g8h8 f1d1 f4f7 d1d2 h7h6 d2f2 e8e1 g1h2 f7f2 g5g4 c6g2
St Petersburg,St Petersburg,1913.??.??,?,"Nimzowitsch, Aaron ","Taubenhaus, Jean",1-0,,,D40,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 e2e3 c7c5 f1d3 b8c6 e1g1 d5c4 d3c4 c5d4 e3d4 f8e7 b1c3 e8g8 c1e3 b7b6 d1e2 c8b7 f1d1 c6b4 f3e5 a8c8 a1c1 b4d5 c3b5 a7a6 b5a7 c8a8 a7c6 d8d6 c6e7 d6e7 c4d3 d5e3 f2e3 b6b5 c1c5 f8c8 d1c1 g7g6 a2a3 f6e8 b2b4 e8d6 e2f2 f7f5 f2f4 d6e8 d3e2 e8d6 e2f3 c8c5 d4c5 d6e8 c1d1 e8f6 c5c6 b7c8 c6c7 a8a7 d1d8 g8g7 d8c8 a7c7 e5g6
St Petersburg,St Petersburg,1913.??.??,?,"Nimzowitsch, Aaron ","Freymann, S.",1-0,,,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 g1f3 c5d4 d1d4 b8c6 d4f4 d8c7 f1b5 g8e7 e1g1 e7g6 f4g3 c8d7 f1e1 e8c8 b5c6 b7c6 c1g5 d8e8 c2c4 f7f6 g5f4 f8b4 b1c3 h8f8 c4d5 f6e5 d5c6 d7c6 f4e5 g6e5 f3e5 b4c5 e1e2 c6b7 c3b5 c7b6 a1c1 b6b5 e2c2 c8b8 c2c5 e8c8 e5d3
St Petersburg,St Petersburg,1913.??.??,?,"Loewenfisch, Grigori","Znosko Borovsky, Eugene ",1/2-1/2,,,D33,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6 g2g3 g8f6 f1g2 c8e6 e1g1 h7h6 a2a3 c5c4 f3e5 f8d6 e2e4 d6e5 d4e5 f6e4 c3e4 d5e4 g2e4 d8d1 f1d1 c6e5 e4b7 a8b8 c1f4 b8b7 f4e5
St Petersburg,St Petersburg,1913.??.??,?,"Loewenfisch, Grigori","Alekhine, Alexander",1-0,,,A46,d2d4 g8f6 g1f3 d7d6 c1f4 c8g4 b1d2 b8d7 h2h3 g4h5 c2c3 c7c6 d1b3 d8c7 e2e3 e7e5 f4h2 e8c8 f1d3 h5f3 g2f3 d6d5 c3c4 c7a5 e1c1 e5d4 e3d4 g7g6 c1b1 f8h6 c4d5 h6d2 d5c6 d7b6 b3f7 f6d7 c6d7 d8d7 d1c1 a5c3 c1c3
St Petersburg,St Petersburg,1913.??.??,1,"Alekhine, Alexander","Duras, Oldrich",1-0,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d1e2 b7b5 a4b3 f8c5 a2a4 a8b8 a4b5 a6b5 d2d3 d7d6 c1e3 c8g4 h2h3 g4h5 b1d2 e8g8 e1g1 c6d4 e3d4 h5f3 d2f3 e5d4 e4e5 d8e7 f1e1 b8e8 e2d2 d6e5 e1e5 e7d6 d2g5 e8e5 f3e5 d6b6 g2g4 c5d6 e5f7 f8f7 g5f5 g7g6 f5e6 g8g7 e6f7 g7h6 b3e6
St Petersburg m,St Petersburg,1913.??.??,1,"Levitsky, Stepan M","Alekhine, Alexander",0-1,,,C33,e2e4 e7e5 f2f4 e5f4 f1c4 d7d5 c4d5 d8h4 e1f1 g7g5 d1f3 g8f6 f3c3 b8d7 g1f3 h4h5 c3c7 g5g4 f3e1 f6d5 e4d5 f4f3 c7f4 f8h6 f4g3 f3g2 g3g2 h5f5 g2f2 f5d5 h1g1 f7f5 b1c3 d5f7 d2d4 h6c1 a1c1 b7b6 e1d3 e8g8 c3b5 d7f6 b5d6 f7d5 f2f4 f6e4 d6c8 a8c8 f4e5 e4d2 f1e2 f8e8 e2d2 e8e5 d4e5 h7h5 h2h3 d5a5 c2c3 c8d8 h3g4 h5g4 d2c2 a5a4 b2b3 a4a2 d3b2 a2a6 c1e1 b6b5 g1g2 a6g6 c2c1 f5f4 e5e6 f4f3 e6e7 d8e8 g2g3 g6g5
St Petersburg,St Petersburg,1913.??.??,1,"Alekhine, Alexander","Lowcki, Moishe Leopoldowicz",0-1,,,A85,d2d4 e7e6 c2c4 f7f5 b1c3 g8f6 e2e3 b7b6 f1d3 c8b7 g1f3 f8b4 c1d2 e8g8 d1c2 b4c3 d2c3 f6e4 e1c1 d7d5 f3e5 b8d7 e5d7 d8d7 c3e1 d5c4 d3c4 e4d6 c4f1 b7e4 c2c3 a7a5 f2f3 e4d5 a2a3 f8b8 f1d3 b6b5 c3c2 b8b6 e3e4 b6c6 e1c3 d5c4 d4d5 e6d5 d3c4 c6c4 b2b3 c4c6 e4d5 c6c5 b3b4 a5b4 a3b4 c5c4 c1b2 c7c5 d5c6 d7c6 c2b3 g8h8 d1d3 c6b6 b2b1 c4c6 b3d5 d6c4 h1d1 c6c8 d5f5 b6a6 c3g7 h8g8 d1d2 c4d2 d3d2 a6g6 f5g6 h7g6 g7b2 c8d8 d2d8 a8d8 b1c2 g8f7 f3f4 f7e6 g2g4 d8c8 c2b3 c8c4 b2c3 c4f4 h2h3 g6g5 b3c2 f4f3 c3d2 e6f6 d2c3 f6g6 c3e1 f3h3 c2d2 h3f3
St Petersburg m,St Petersburg,1913.??.??,2,"Alekhine, Alexander","Levitsky, Stepan M",1-0,,,C33,e2e4 e7e5 f2f4 e5f4 f1c4 g8f6 b1c3 f8b4 g1e2 d7d5 e4d5 f4f3 g2f3 e8g8 d2d4 c8h3 c1g5 h3g2 h1g1 g2f3 d1d2 b4e7 e1c1 f3h5 d1e1 b8d7 e2f4 h5g6 h2h4 f8e8 d2g2 e7f8 h4h5 g6f5 f4e6 f7e6 d5e6 g8h8 e6d7 e8e1 g1e1 f5d7 h5h6 d7c6 d4d5 c6d7 e1f1 b7b5 c4b3 d8e8 d5d6 f6h5 b3f7 e8e5 g2a8
