Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
6th Norway Chess 2018,Stavanger NOR,2018.05.28,1.1,"Carlsen,M","Caruana,F",1-0,2843,2822,C24,e2e4 e7e5 f1c4 g8f6 d2d3 c7c6 g1f3 d7d5 c4b3 f8b4 c1d2 b4d2 b1d2 a7a5 c2c3 b8d7 e4d5 c6d5 e1g1 e8g8 f1e1 f8e8 d2f1 b7b5 a2a4 b5b4 c3b4 a5b4 f1e3 c8b7 d3d4 e5e4 f3e5 d7e5 d4e5 e8e5 d1d4 e5e7 a1c1 e7d7 e1d1 h7h6 c1c5 a8a5 c5a5 d8a5 h2h3 g8h7 d1c1 d7c7 c1c7 a5c7 d4b4 c7c1 b3d1 b7a6 b4d4 a6e2 g1h2 e2d1 e3d1 c1c7 h2g1 c7c1 b2b4 e4e3 f2e3 f6e4 d4d5 e4d2 d5f5 h7h8 f5g4 f7f5 g4e2 d2e4 e2e1 c1a1 a4a5 e4d6 e1d2 d6c4 d2d4 a1c1 g1f1 c4e3 d4e3 c1d1 f1f2 d1c2 f2g3 g7g5 e3e5 h8h7 g3h2 f5f4 e5d5 c2a4 d5f7 h7h8 f7g6 a4b4 g6h6 h8g8 h6g5 g8h7 g5h5 h7g7 h5g5 g7h7 h3h4 b4d6 g5h5 h7g7 h5g5 g7h7 h4h5 f4f3 g2g3 f3f2 g5g6 h7h8 g6d6 f2f1q d6h6 h8g8 h6e6 g8h8 e6e3 f1b5 e3c3 h8h7 g3g4 b5d5 c3c7 h7g8 h2g3 d5e6 c7d8 g8h7 d8d3 h7h8 a5a6 e6e5 g3h3 e5a1 d3d8 h8h7 d8e7 h7h6 e7e3 h6h7 a6a7
6th Norway Chess 2018,Stavanger NOR,2018.05.28,1.2,"Mamedyarov,S","Vachier Lagrave,M",1/2-1/2,2808,2789,D94,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 e2e3 e8g8 c1d2 d5c4 f1c4 b8d7 e3e4 c7c5 d4d5 f6e8 d1e2 a7a6 a2a4 e8d6 c4d3 d7e5 f3e5 g7e5 e1g1 e7e6 d2e3 e6d5 c3d5 c8e6 e3c5 e6d5 e4d5 f8e8 e2d2 a8c8 c5e3 d8f6 e3g5 f6g7 g5h6 g7f6 h6g5 f6g7 g5h6 g7f6 h6g5
6th Norway Chess 2018,Stavanger NOR,2018.05.28,1.5,"Anand,V","Aronian,L",1/2-1/2,2760,2764,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 c2c3 d7d5 b1d2 e8g8 e1g1 f8e8 e4d5 a7a6 b5c6 b7c6 d2e4 f6e4 d3e4 c6d5 d1d5 d8d5 e4d5 e5e4 f3d2 e4e3 f2e3 c5e3 g1h1 c8g4 d2f3 e3c1 a1c1 e8e2 b2b4 g4f3 f1f3 e2a2 h1g1 a2d2 c3c4 a8b8 b4b5 a6b5 c4b5 b8b5 c1c7 b5b1 f3f1 b1f1 g1f1 g8f8 c7c8 f8e7 c8c7 e7f8 c7c8 f8e7 c8c7
6th Norway Chess 2018,Stavanger NOR,2018.05.28,1.3,"Nakamura,Hi",Ding Liren,1/2-1/2,2769,2791,A18,c2c4 g8f6 b1c3 e7e6 e2e4 d7d5 c4d5 e6d5 e4e5 f6e4 g1f3 c8f5 d2d3 e4c3 b2c3 c7c5 d3d4 d8a5 c1d2 b8c6 f1e2 f8e7 e1g1 e8g8 a2a4 a8c8 a1a2 a7a6 a2b2 c5c4 f3e1 b7b5 a4b5 a6b5 e2g4 f5g4 d1g4 h7h5 g4h5 b5b4 h5g4 f8e8 e1f3 a5a3 b2c2 b4b3 c2c1 a3a2 g4f5 c8a8 d2g5 a2e2 f5d7 e7g5 f3g5 c6e7 e5e6 f7f6 g5f7 e7g6 f7h6 g7h6 d7f7 g8h8 f7f6 h8h7 f6f7 h7h8 f7f6 h8h7 f6f7 h7h8 f7f6
6th Norway Chess 2018,Stavanger NOR,2018.05.28,1.4,"So,W","Karjakin,Sergey",1/2-1/2,2778,2782,D02,g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 g2g3 f8b4 c1d2 b4e7 f1g2 e8g8 e1g1 b8d7 b2b4 c7c6 a2a4 e7d6 d1c2 e6e5 c4d5 c6d5 d4e5 d7e5 d2c3 f8e8 b1d2 e5f3 g2f3 c8h3 f1c1 d8e7 c2b2 a8d8 b4b5 f6e4 d2e4 d5e4 f3g2 h3g2 g1g2 f7f6 c3d4 e7e6 b2a2 d6b8 a2e6 e8e6 e2e3 g8f7 a1a2 b7b6 a2c2 h7h5 h2h3 d8h8 g2f1 h8d8 f1e2 e6e7 c2c6 e7e6 c6c4 e6e7 d4c3 e7e8 c3b4 d8d7 c1c2 f6f5 c2c1 b8e5 g3g4 h5g4 h3g4 g7g6 c1g1 e8d8 c4c6 d7c7 c6c7 e5c7 g1h1 d8d7 g4f5 g6f5 h1h6 c7e5 f2f3 e4f3 e2f3 d7d3 f3e2 d3b3 b4d6 e5d6 h6d6 b3b4 d6d7 f7e6 d7a7 f5f4 a7a6 e6d5 e3f4 b4f4 a6b6 f4a4 b6a6 a4a6 b5a6 d5c6 a6a7 c6b7 a7a8r b7a8
6th Norway Chess 2018,Stavanger NOR,2018.05.29,2.1,"Karjakin,Sergey","Carlsen,M",1/2-1/2,2782,2843,C78,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8c5 c2c3 e8g8 d2d4 c5a7 d4e5 f6e4 d1d5 e4c5 a4c2 c6e7 d5d1 d7d5 e5d6 d8d6 d1d6 c7d6 f1d1 c8g4 d1d6 g4f5 b1a3 c5e4 c2e4 f5e4 d6d1 e7f5 a3c4 f8e8 c1e3 a7e3 c4e3 f5e3 f2e3 e4f3 g2f3 e8e3 d1d7 a8b8 a1d1 g8f8 g1f2 e3e7 d7d8 e7e8 d8b8 e8b8 d1d7 f8e8 d7c7 b7b5 c7c6 b8a8 c3c4 e8d7 c4b5 a6b5 c6b6 a8a2 b6b5 a2a4 f2g3 a4d4 b5b7 d7e6 b7b6 e6f5 b6b5 f5e6 b5b6 e6f5 b6b5 f5e6
6th Norway Chess 2018,Stavanger NOR,2018.05.29,2.5,"Nakamura,Hi","Anand,V",1/2-1/2,2769,2760,D37,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c4d5 e6d5 h2h3 e8g8 c1f4 c7c5 d4c5 e7c5 e2e3 b8c6 f1e2 d5d4 e3d4 c5d4 e1g1 d4c3 b2c3 h7h6 d1b3 f6e4 b3c2 f8e8 e2d3 e4c5 d3h7 g8h8 f4e3 d8a5 f3d2 c5a4 d2c4 a5c3 c4d6 e8e7 c2a4 h8h7 a1c1 c3f6 d6c8 a8c8 e3a7 c6a7 c1c8 a7c8 a4c2 f6g6 c2c8 e7e2 c8b7 e2a2 b7b1 g6b1 f1b1 h6h5 h3h4 g7g6 g2g3 a2a3 g1g2 a3a2 b1b7 h7g7 b7c7 g7f6 c7b7 f6g7 b7c7 g7f6 c7b7 f6e5
6th Norway Chess 2018,Stavanger NOR,2018.05.29,2.2,"Caruana,F","Mamedyarov,S",1/2-1/2,2822,2808,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 b1c3 e4c3 d2c3 f8e7 c1e3 e8g8 d1d2 b7b6 e1c1 c8b7 h2h4 b8d7 f1d3 f8e8 c1b1 e7f6 h1h3 d7c5 e3c5 b6c5 g2g4 c5c4 d3c4 e8e4 d2d3 d6d5 c4d5 d8d5 d3d5 b7d5 d1d5 e4g4 d5a5 g4g2 a2a4 g2f2 h4h5 f2f1 b1a2 f1f2 a2b1 f2f1 b1a2 f1f2
6th Norway Chess 2018,Stavanger NOR,2018.05.29,2.3,Ding Liren,"Vachier Lagrave,M",1/2-1/2,2791,2789,E60,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 e2e3 e8g8 f1e2 d7d6 b1c3 c8f5 e1g1 a7a5 d4d5 b8a6 f3d4 f5d7 e3e4 a6c5 f2f3 e7e5 d5e6 f7e6 c1e3 f6h5 g2g3 e6e5 d4b5 d7h3 f1f2 f8f7 d1d2 d8f8 e2f1 h3f1 a1f1 a8d8 c3e2 c7c6 b5c3 h5f6 f1d1 f7d7 b2b3 f8f7 f2f1 g7f8 g1g2 d6d5 c4d5 c6d5 c3d5 f6d5 e4d5 d7d5 d2c2 d5d1 f1d1 e5e4 f3e4 d8d1 c2d1 c5e4 d1d3 e4c5 e3c5 f8c5 e2f4 a5a4 h2h4 a4b3 a2b3 b7b6 h4h5 g6h5 d3d8 g8g7 d8g5 g7f8 g5d8 f8g7 d8g5 g7f8 g5d8
6th Norway Chess 2018,Stavanger NOR,2018.05.29,2.4,"Aronian,L","So,W",1/2-1/2,2764,2778,E06,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 g2g3 f8e7 f1g2 e8g8 e1g1 d5c4 d1c2 a7a6 a2a4 c8d7 c2c4 d7c6 c1g5 c6d5 c4c2 d5e4 c2d1 h7h6 g5f6 e7f6 b1c3 e4f3 g2f3 d8d4 f3b7 a8a7 b7g2 b8d7 c3e4 c7c5 a1b1 d4d1 f1d1 f8b8 b2b3 f6e7 e2e3 c5c4 b3c4 b8b1 d1b1 a7c7 c4c5 d7c5 b1c1 f7f5 e4c5 c7c5 c1b1 g8f7 b1b6 a6a5 g2c6 e7d8 b6a6 f7e7 g1g2 g7g5 h2h3 d8c7 c6b5 c5c3 a6a8 c3c2 a8a6 h6h5 a6c6 c2c6 b5c6 h5h4 g3h4 g5h4 e3e4 e7d6 c6b7 d6e7 b7c6 e7d6 c6b7 d6e7
