Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Stockholm,Stockholm,1930.??.??,?,"Bogoljubow, Efim","Kashdan, Isaac",0-1,,,D37,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 g1f3 b8d7 c1f4 d5c4 e2e3 f6d5 f1c4 d5f4 e3f4 d7b6 e1g1 f8e7 c4b3 e8g8 f1e1 c7c5 d4c5 b6d7 c5c6 b7c6 f3d4 d7b8 c3a4 d8d6 g2g3 f8d8 d4f3 c8b7 f4f5 c6c5 f5e6 c5c4 e6f7 g8f8 b3c2 d6f6 f3d2 d8d2 d1d2 f6f3 c2e4 b7e4 e1e4 f3e4 a4c3 e4f5 d2e2 b8c6 a1d1 a8d8 d1d8 c6d8 e2c4 d8f7 f2f4 g7g5 f4g5 e7c5 g1g2 f5f2 g2h3 f7g5 h3g4 f2f3 g4h4 f3f5 g3g4 c5f2
Stockholm,Stockholm,1930.??.??,?,"Kashdan, Isaac","Spielmann, Rudolf",0-1,,,C14,d2d4 e7e6 e2e4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 d1d2 e8g8 f1d3 c7c5 c3b5 a7a6 b5d6 c5d4 f2f4 b8c6 g1f3 f7f6 d6c8 a8c8 e5f6 e7f6 e1g1 f6f4 d3h7 g8h8 d2f4 f8f4 h7d3 e6e5 f3g5 f4f1 a1f1 e5e4 d3e2 c6e5 e2d1 d7f6 g5e6 d4d3 c2d3 e5d3 g2g4 e4e3 g4g5 f6e4 f1f7 d3f2 d1e2 f2h3 g1g2 h3g5 e6g5 e4g5 f7b7 c8f8 e2a6 f8f2 g2g3 g5e4 g3g4 e3e2 a6e2 e4f6 g4g3 f2e2 a2a4 d5d4 b7b3 h8h7 h2h3 h7g6 g3f3 e2h2 f3f4 f6d7 a4a5 h2f2 f4g3 f2f6 b3a3 f6d6 a5a6 d4d3 a6a7 d3d2 a7a8q d2d1q a8e4 g6h6 e4h4 d1h5 h4f4 h5g5 f4g5 h6g5 a3a5 g5h6 a5b5 d6d3 g3g2 d7f6 b5f5 d3b3
Stockholm,Stockholm,1930.??.??,?,"Kashdan, Isaac","Lundin, Erik",1-0,,,C78,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 f8c5 e1g1 b7b5 a4b3 d7d6 c2c3 g8f6 d2d4 e5d4 c3d4 c5a7 c1g5 e8g8 b3d5 c8b7 b1c3 h7h6 g5f6 d8f6 a1c1 a7b6 c3b5 a6b5 d5c6 b7c6 c1c6 f6e6 d1e2 a8a2 d4d5 e6e7 f1e1 g7g5 h2h3 f7f5 e4e5 g5g4 e5d6 e7g7 e2e5 c7d6 e5g7 g8g7 c6b6 g4f3 b6b5 f3g2 g1g2 a2a7 g2f3 f8f6 e1g1 f6g6 g1g6 g7g6 f3f4 a7c7 b5b6 c7c4 f4e3 g6g5 b6d6 c4b4 f2f4 g5h5 d6f6 b4b2 d5d6 b2b1 f6f5 h5h4 f5d5 b1b8 d6d7 b8d8 e3f3 h6h5 d5d1
Stockholm,Stockholm,1930.??.??,?,"Stoltz, Goesta","Bogoljubow, Efim",1-0,,,A14,g1f3 d7d5 c2c4 e7e6 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 b2b3 c7c5 c4d5 f6d5 d2d4 b8c6 c1b2 b7b6 b1c3 c8a6 a1c1 d5c3 b2c3 a8c8 d4c5 e7c5 d1c2 c6d4 c3d4 c5d4 c2e4 c8c1 f1c1 d4b2 c1c2 b2f6 f3d2 g7g6 g2f1 d8d7 e4f4 f6g7 c2c7 d7d5 e2e4 d5d4 c7a7 g7e5 f4e3 d4e3 f2e3 a6c8 d2c4 e5b8 a7e7 b6b5 c4b6 b8d6 b6c8 f8c8 e7d7 d6c5 f1b5 c5e3 g1f1 c8c2 a2a4 c2h2 a4a5 h2f2 f1e1 f2a2 a5a6 h7h5 b5a4 g6g5 a6a7 e3a7 d7a7 h5h4 g3h4 g5h4 e1f1 h4h3 f1g1 a2b2 a4e8 f7f5 e8f7 g8h8 f7e6 f5e4 e6c4 b2d2 a7e7 h3h2 g1h1 d2b2 e7e4 h8g7 e4e2 b2b1 h1h2 g7f6 h2g2 b1c1 g2f3
Stockholm,Stockholm,1930.??.??,?,"Stoltz, Goesta","Kashdan, Isaac",0-1,,,D27,g1f3 g8f6 c2c4 c7c6 d2d4 d7d5 b1c3 e7e6 e2e3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 a7a6 e1g1 c6c5 d1e2 c8b7 f1d1 d8b6 d3c2 a8d8 e3e4 c5d4 f3d4 d7e5 d4f3 e5f3 e2f3 d8d1 f3d1 f8c5 d1e2 e8g8 e4e5 b6c6 e2f3 c6c7 f3g3 f6h5 g3d3 f7f5 e5f6 h5f6 c1e3 c5e3 d3e3 b5b4 e3e6 g8h8 c3e4 c7c2 e6d6 f8c8
Stockholm,Stockholm,1930.??.??,?,"Rellstab, Ludwig Sr","Spielmann, Rudolf",1/2-1/2,,,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d2d4 e5d4 e4e5 f6e4 f3d4 e8g8 d1g4 d7d5 d4c6 c8g4 c6d8 a8d8 c2c3 e7c5 b1d2 h7h6 a4c2 f7f5 d2b3 c5b6 b3d4 g4h5 f2f3 e4g5 c1e3 f5f4 e3f2 d8e8 f1e1 h5f7 a1d1 c7c6 d4b3 b6f2 g1f2 e8e7 d1d2 f8e8 b3c5 g5e6 c5e6 e7e6 d2e2 f7g6 c2g6 e6g6 g2g3 e8f8 e1d1 g6e6 d1d4 g7g5 c3c4 d5c4 d4c4 f8f5 c4e4 g8g7 e4b4 b7b5 b4e4 c6c5 g3g4 f5f7 e2d2 f7c7 d2d5 g7f7 f2e2 f7e7 h2h4
Stockholm,Stockholm,1930.??.??,?,"Rellstab, Ludwig Sr","Kashdan, Isaac",0-1,,,D63,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 f8e8 f1d3 d5c4 d3c4 a7a6 c4d3 c7c5 e1g1 c5d4 f3d4 d7e5 d3b1 d8a5 d1a4 a5a4 c3a4 e5d7 a4c3 d7b6 f1d1 c8d7 d4f3 e8d8 c3e4 a8c8 e4f6 g7f6 g5h6 b6a4 c1c8 d7c8 d1d8 e7d8 b2b3 a4c3 f3d2 c8d7 a2a3 b7b5 b1d3 a6a5 e3e4 d8e7 d2f3 e7a3 h6d2 a3b2 f3d4 a5a4 b3a4 b5a4 d4c2 c3b1 d2b4 a4a3 d3c4 d7a4 c2e1 b1c3 e1d3 a4c2 f2f3 c2d3 c4d3 a3a2
Stockholm,Stockholm,1930.??.??,?,"Lundin, Erik","Bogoljubow, Efim",0-1,,,D30,c2c4 g8f6 g1f3 c7c6 d2d4 d7d5 e2e3 e7e6 b1d2 f8e7 f1d3 b8d7 e1g1 e8g8 b2b3 b7b6 c1b2 c8b7 d1c2 c6c5 a1d1 c5d4 e3d4 g7g6 f3e5 a8c8 d2f3 d7e5 f3e5 f6d7 e5g4 d7f6 g4e5 c8c7 c2d2 d8a8 f2f4 d5c4 b3c4 b7e4 d1e1 f8d8 g2g4 e4d3 d2d3 f6d7 e5f7 g8f7 f4f5 e6f5 g4f5 d8g8 f5g6 f7e8 f1f7 d7e5 e1e5 g8g6 d3g6 h7g6 f7h7 a8f3 d4d5 f3g4 g1f2 g4f4 f2e1 f4e5
Stockholm,Stockholm,1930.??.??,?,"Kashdan, Isaac","Stahlberg, Gideon",1/2-1/2,,,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 f8e7 g5f6 e7f6 g1f3 b8d7 e4f6 d8f6 f1c4 e8g8 d1e2 f8d8 e1g1 b7b6 c4a6 c8a6 e2a6 c7c5
Stockholm,Stockholm,1930.??.??,?,"Spielmann, Rudolf","Stoltz, Goesta",0-1,,,C71,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 d2d4 c8d7 a4c6 d7c6 b1c3 f7f6 d1d3 g8e7 c1e3 d8d7 e1c1 b7b5 d4e5 f6e5 d3e2 e7g6 h2h4 d7g4 h4h5 g6f4 e3f4 g4f4 c1b1 f8e7 e2d3 f4f7 c3d5 c6d5 d3d5 f7d5 d1d5 h8f8 d5d3 f8f4 h1e1 e8c8 b2b3 d8f8 e1e3 g7g5 h5g6 h7g6 e3e2 g6g5 d3d2 g5g4 f3e1 e7g5 e1d3 f4e4 e2e4 g5d2 e4g4 d2c3 g4h4 d6d5 h4h3 e5e4 d3c1 b5b4 f2f3 f8g8 f3e4 g8g2 e4d5 g2g1 h3h2 g1d1 h2g2 c8d7 g2e2 d7d6 e2e6 d6d5 e6a6 c3d2 a2a3 c7c5 a3b4 c5b4 a6a8 d1c1 b1b2 c1d1 a8d8 d5e4 b2a2 e4e3 d8e8 e3f2 e8d8 f2e2 d8e8 d2e3 e8e4 d1d4 e4e8 e2f3 e8c8 d4d1 c2c3 f3e2 a2b2 b4c3
Stockholm,Stockholm,1930.??.??,?,"Bogoljubow, Efim","Spielmann, Rudolf",1-0,,,D37,d2d4 e7e6 c2c4 g8f6 b1c3 d7d5 g1f3 b8d7 c1f4 a7a6 e2e3 f8e7 a1c1 c7c5 d4c5 d7c5 a2a3 e8g8 c4d5 f6d5 c3d5 d8d5 d1d5 e6d5 f1e2 c8f5 f3d4 f5g6 e1g1 f8e8 f1d1 h7h5 h2h3 a8c8 g2g4 h5h4 d4f5 g6f5 g4f5 c5a4 c1c8 e8c8 d1d5 a4b2 d5d7 e7a3 d7b7 c8c1 g1g2 c1c2 e2h5 b2d3 b7b8 g8h7 h5f7 d3f4 e3f4 g7g6 f7g6 h7g7 b8b7 g7g8 g6f7 g8f8 f7b3 c2c6 b7f7 f8e8 f7h7 c6b6 b3a4 e8f8 h7h4 a3e7 h4h8 f8g7 h8a8 b6b4 a8a6 b4f4 a6g6 g7h8 a4c2 e7h4 f2f3 f4d4 c2e4 d4d2 g2f1 h4e7 f5f6 e7c5 g6g5
Stockholm,Stockholm,1930.??.??,?,"Bogoljubow, Efim","Rellstab, Ludwig Sr",1-0,,,D37,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 b1c3 b8d7 c1f4 c7c6 e2e3 f6h5 f4g3 h5g3 h2g3 f7f5 f1d3 d7f6 d1c2 f8d6 c3e2 d8a5 e1f1 c8d7 e2f4 e8g8 a2a3 a8e8 a1c1 b7b5 c4c5 d6b8 h1h4 f6e4 c2d1 a5d8 f3e5 b8e5 d4e5 g7g5 h4h7 e4d2 f1e1 d2f3 d1f3 g5g4 h7d7 d8d7 f3e2 d7c7 d3b1 f8f7 f4d3 f7h7 e1d2 g8f7 c1f1 e8h8 f2f3 g4f3 e2f3 f7e8 g3g4 h7f7 g4f5 f7f5 d3f4 f5f8 f3g4 c7e5 f4d3 e5e4 g4e4 d5e4 f1f8 h8f8 d3b4 f8f2 d2c3 f2g2 b1e4 g2e2 e4c6 e8e7 c6b5 e2e3 c3d2 e3h3 b4c6 e7d7 c6a7 d7c7 b5c4
Stockholm,Stockholm,1930.??.??,?,"Stoltz, Goesta","Rellstab, Ludwig Sr",0-1,,,A34,c2c4 c7c5 b1c3 g8f6 g1f3 d7d5 c4d5 f6d5 g2g3 b8c6 f1g2 d5b6 a2a4 c8d7 d2d4 c5d4 f3d4 a8c8 e1g1 c6d4 d1d4 d7c6 d4d8 e8d8 f1d1 d8e8 c1e3 c6g2 e3b6 a7b6 g1g2 e7e6 c3b5 c8d8 d1d8 e8d8 a1d1 d8e8 d1c1 f8c5 b2b4 c5e7 c1c7 h8f8 c7b7 e7b4 b7b6 e8e7 b6b7 e7f6 b5a7 b4c5 a7c6 f8c8 c6b8 c5d6 b8d7 f6g6 b7b6 d6e7 a4a5 e7d8 b6c6 c8a8 a5a6 d8e7 d7b6 a8a6 b6c8 a6a2 c8e7 g6f6 e7d5
Stockholm,Stockholm,1930.??.??,?,"Stoltz, Goesta","Lundin, Erik",1-0,,,C82,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8c5 d1d3 e8g8 b1d2 f7f5 e5f6 e4f6 b3c2 g7g6 d2b3 c5d6 c1h6 f8e8 a1e1 d8d7 b3d4 c6d4 d3d4 f6h5 f3e5 c7c5 d4h4 d7e7 h6g5 e7g7 f2f4 e8f8 e5g6 f8e8 h4h5 h7g6 c2g6 e6g4 g6h7
