Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Swinemuende,Swinemuende,1930.??.??,1,"Richter, Kurt","Wagner, Heinrich",1/2-1/2,,,D01,d2d4 g8f6 b1c3 d7d5 c1g5 c8f5 f2f3 c7c6 e2e3 b8d7 g1e2 d8b6 a1b1 e7e6 e2g3 f5g6 f1d3 f8d6 f3f4 g6d3 d1d3 h7h6 g5f6 d7f6 e1g1 e8g8 e3e4 d5e4 c3e4 f6e4 g3e4 a8d8 g1h1 c6c5 d4c5 d6c5 d3f3 d8d5 c2c4 d5d4 b2b3 c5e7 b1d1 d4d1 f1d1 f8d8 d1d8 b6d8 h2h3 d8d4 h1h2 e7f8 h2h1 f8e7 h1h2 e7f8 h2h1 f8e7 h1h2 e7f8
Swinemuende,Swinemuende,1930.??.??,1,"Flohr, Salo","Andersen, Erik Sr",1-0,,,A00,d2d4
Swinemuende,Swinemuende,1930.??.??,1,"Rellstab, Ludwig Sr","Stahlberg, Gideon",1/2-1/2,,,C00,e2e4 e7e6 d2d4 d7d5 f1d3 d5e4 d3e4 g8f6 e4d3 c7c5 d4c5 f8c5 g1f3 b8c6 e1g1 e8g8 d1e2 f8e8 b1c3 e6e5 c1g5 c8g4 g5f6 g7f6 d3b5 c6d4 e2c4 a8c8 b5e8 d4f3 g1h1 f6f5 c4f7 g8h8 c3d5 d8e8 f7f6 h8g8 f6h6 e8f7 d5f6 g8h8 f6g4 f5g4 a1d1 f3d4 h6g5 f7f4 g5h4 c8f8 c2c3 d4f5 h4h5 f5g7 h5h4 g7f5 h4h5 f5g7 h5h4 g7f5
Swinemuende,Swinemuende,1930.??.??,1,"Saemisch, Fritz","Koch, Berthold",1-0,,,D52,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 c7c6 e2e3 b8d7 g1f3 d8a5 f3d2 f8b4 d1c2 e8g8 f1e2 f6e4 d2e4 d5e4 g5h4 e6e5 e1g1 b4c3 b2c3 f7f5 c4c5 d7f6 e2c4 g8h8 h4g3 f5f4 e3f4 e5d4 c3d4 c8f5 g3h4 a8d8 c2b2 d8d7 h2h3 h7h5 f1d1 a5c7 b2d2 f6d5 h4g5 f8e8 d2e2 g7g6 c4d5 d7d5 g2g4 h5g4 h3g4 f5c8 f2f3 h8g7 e2h2 e4f3 h2h6 g7g8 h6g6
Swinemuende,Swinemuende,1930.??.??,1,"Stoltz, Goesta","Pahl, Kurt",1-0,,,C91,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 c8g4 d2d4 e8g8 d4d5 c6b8 b1d2 f6e8 h2h3 g4d7 d2f1 g7g6 c1h6 e8g7 f1e3 g8h8 g2g4 f7f5 e4f5 g6f5 b3c2 e5e4 f3d4 f5g4 c2e4 e7f6 h3g4 f6d4 d1d4 d8f6 d4f6 f8f6 h6g5 f6f7 g1g2 c7c6 e1h1 g7e8 h1h6 c6d5 e4g6 f7g7 a1h1 a8a7 g6e8 g7g5 h6h7 h8g8 h7h8 g8g7 h1h7 g7f6 h8f8
Swinemuende,Swinemuende,1930.??.??,2,"Koch, Berthold","Rellstab, Ludwig Sr",0-1,,,E10,d2d4 g8f6 g1f3 c7c5 d4d5 e7e6 c2c4 b7b5 c1g5 b5c4 b1c3 d7d6 e2e4 e6e5 h2h3 f8e7 f1c4 b8d7 e1g1 e8g8 d1e2 a8b8 b2b3 d7b6 g5e3 f6e8 f3d2 f7f5 e4f5 b6c4 d2c4 c8f5 f2f4 e5f4 e3f4 e7f6 a1c1 b8b7 g2g4 b7e7 e2f3 f5g6 f3g3 f6d4 g1h1 e7f7 c4d2 d8a8 h1h2 f7f4 f1f4 f8f4
Swinemuende,Swinemuende,1930.??.??,2,"Andersen, Erik Sr","Stahlberg, Gideon",1-0,,,D48,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1c3 b8d7 e2e3 c7c6 f1d3 d5c4 d3c4 b7b5 c4d3 a7a6 a2a4 b5b4 c3e4 c8b7 e4f6 d7f6 e3e4 c6c5 e4e5 f6d7 f3g5 f8e7 d3e4 b7e4 g5e4 c5d4 d1d4 e8g8 e1g1 d7b6 c1e3 d8d4 e3d4 b6d5 d4c5 e7c5 e4c5 f8c8 f1c1 c8c6 c5d3 a8c8 c1c6 c8c6 a1c1 c6c1 d3c1 d5b6 b2b3 a6a5 c1d3 b6d7 g1f1 g8f8 f1e2 f8e7 e2e3 e7d8 e3d4 d8c7 d3c5 d7f8 f2f4 c7c6 c5e4 c6b6 e4d6 f8d7 d6f7 d7c5 d4c4 c5e4 c4d3 e4c5 d3c2 b6c6 f7d6 c6d5 d6c4 c5b7 g2g4 g7g6 c2d2 b7c5 c4a5 d5e4 d2c2 e4f4 a5c6 f4g4 c6b4 g4h3 a4a5 h3h2 a5a6 c5d7 b4d5
Swinemuende,Swinemuende,1930.??.??,2,"Flohr, Salo","Richter, Kurt",1/2-1/2,,,D05,d2d4 e7e6 b1d2 d7d5 g1f3 g8f6 e2e3 c7c5 c2c3 b8c6 f1d3 f8d6 e1g1 e8g8 e3e4 c5d4 c3d4 e6e5 d4e5 c6e5 f3e5 d6e5 e4d5 d8d5 d2f3 c8g4 d3h7 g8h7 d1d5 f6d5 f3e5 g4e6 c1d2 f8d8 f1c1 d5b6 d2e3 f7f6 e5f3 b6c4 b2b3 c4e3 f2e3 d8d3 g1f2 a8d8 c1c7 e6d5 a1e1 a7a5 f3d4 d3d2 e1e2 d2e2 d4e2 d8a8 e2f4 d5c6 f4e6 a5a4 c7g7 h7h6 g7g3 a4b3 a2b3 a8a2 f2f1 a2b2 e6d4 b2b1 f1e2 b1b2 e2d3 c6g2 d3c4 g2e4 g3h3 h6g5 b3b4 f6f5 c4c5 g5g4 h3h7 b2b1 h7g7 g4h4 g7e7 h4g5 b4b5 b1e1 e7g7 g5h4 g7f7 h4g5 f7f5 g5g6 f5e5 e1e3 c5b6 g6f6 e5e6 f6g5 h2h4 g5f4 h4h5 e3d3 b6c5 d3h3 h5h6 h3h5 c5b4 e4d5 e6b6 f4e5 d4c2 d5e6 c2e3 h5h3 e3c4 e5f6 c4d6 h3h6 b6b7 h6h1 d6e8 f6e5 b7e7 e5d5 e7c7 h1b1 b4a5 e6h3 e8f6 d5e5 c7c3 h3f1 f6d7 e5d4
Swinemuende,Swinemuende,1930.??.??,2,"Wagner, Heinrich","Stoltz, Goesta",1/2-1/2,,,C97,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 c6a5 b3c2 c7c5 d2d4 d8c7 h2h3 e8g8 c1g5 a5c6 b1d2 f6e8 g5e7 c7e7 a2a4 e8c7 a4b5 a6b5 a1a8 c7a8 d2f1 a8c7 d4c5 d6c5 f1e3 c8e6 d1e2 f8d8 c2b1 d8d7 b1d3 c5c4 d3c2 e7d8 e3f1 f7f6 e2e3 d8e7 e3b6 c6d8 e1d1 d7d1 c2d1 d8f7 f3d2 e7d6 b6b8 d6d8 b8b6 d8d6 b6b8
Swinemuende,Swinemuende,1930.??.??,2,"Pahl, Kurt","Saemisch, Fritz",0-1,,,C20,e2e4 e7e5 g1e2 g8f6 f2f4 d7d5 f4e5 f6e4 d2d3 e4c5 d3d4 c5e4 b1d2 e4g5 e2f4 b8c6 c2c3 g5e6 d2f3 f8e7 f1d3 e6f4 c1f4 c8e6 d1b3 c6a5 b3a4 c7c6 a4c2 h7h6 f3d2 d8d7 a2a4 e7h4 g2g3 h4e7 h2h4 e8c8 h4h5 a5c4 d2f1 f7f6 a4a5 f6e5 d4e5 d7c7 b2b3 c4e5 d3f5 c7d7 f1e3 e7d6 e1g1 h8f8 c2f2 e6f5 e3f5 f8f5 f2a7 d6b8 a7d4 f5h5 a5a6 d7h3 a6a7 h3h2
