Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
FIDE GP Tashkent,Tashkent UZB,2012.11.22,1.1,"Morozevich, Alexander","Kamsky, Gata",1-0,2748,2762,A15,g1f3 g8f6 c2c4 c7c5 b1c3 b7b6 e2e3 g7g6 d2d4 f8g7 d4d5 e8g8 f1e2 e7e6 e3e4 e6d5 e4e5 f6e4 c3d5 b8c6 d1d3 f7f5 e5f6 e4f6 c1g5 c8b7 a1d1 d8e8 g5f6 g7f6 e1g1 a8d8 d3d2 e8f7 e2d3 c6b4 d3e4 b4d5 e4d5 b7d5 c4d5 f7g7 b2b3 g6g5 h2h3 h7h5 d5d6 g5g4 d2d5 f8f7 f3e1 g4h3 d1d3 h3g2 e1g2 h5h4 g1h1 g7g5 d5e4 f7g7 g2e3 h4h3 d3d1 g5e5 e4f3 d8f8 e3f5 g7g6 d1e1 e5c3 f3d5
FIDE GP Tashkent,Tashkent UZB,2012.11.22,1.2,"Caruana, Fabiano","Svidler, Peter",1/2-1/2,2786,2747,D70,d2d4 g8f6 c2c4 g7g6 f2f3 d7d5 c4d5 f6d5 e2e4 d5b6 b1c3 f8g7 c1e3 b8c6 d4d5 c6e5 e3d4 e8g8 f3f4 e5g4 d4g7 g8g7 d1d4 g7g8 f1e2 c7c6 e2g4 c8g4 h2h3 g4d7 g1f3 c6d5 e4d5 e7e6 d5d6 d7c6 e1g1 b6d5 c3d5 c6d5 f3e5 f7f6 e5g4 g8g7 g4e3 d8d6 a1d1 f8d8 e3d5 e6d5 f1f3 b7b6 f3d3 a8c8 d4d5 d6d5 d3d5 d8d5 d1d5 c8c2 d5d7 g7g8 d7a7 c2b2 a7b7 b2a2 b7b6 f6f5 b6b8 g8g7 b8b7 g7g8 b7b8 g8g7 b8b7 g7g8
FIDE GP Tashkent,Tashkent UZB,2012.11.22,1.3,"Gelfand, Boris","Leko, Peter",1/2-1/2,2751,2732,A37,c2c4 c7c5 g2g3 g7g6 f1g2 f8g7 b1c3 b8c6 g1f3 e7e6 d2d4 c5d4 c3b5 d7d5 c4d5 e6d5 f3d4 g8f6 e1g1 e8g8 c1e3 f6g4 e3f4 c6d4 b5d4 d8b6 d4b3 g7b2 a1b1 b2g7 d1d5 g4f6 d5d6 c8f5 b1c1 f5e4 f1d1 e4g2 g1g2 b6d6 d1d6 f8c8 b3a5 f6e4 d6d7 e4c5 d7d5 b7b6 f4e3 g7f8 a5b3 c5e6 c1c8 a8c8 d5d7 c8c7 d7c7 e6c7 g2f3 c7d5 e3d2 f7f5 e2e4 f5e4 f3e4 d5f6 e4d3 g8f7 b3d4 f8c5 f2f3 c5d4 d3d4 f7e6 g3g4 f6d5 h2h3 d5e7 f3f4 h7h5 f4f5 e6f6 f5g6 h5g4 h3g4 e7g6 d4d5 f6e7 d2e3 e7d7 e3g5 b6b5 g5d2 a7a6 d2c3 g6f4 d5e4 f4h3 c3d4 h3g5 e4d5 g5f3 d4f6 d7e8 f6c3 e8f7 d5c5 f3h2 g4g5 h2f3 c3f6 f3d2 c5b6 d2e4 b6a6 b5b4 a6a5 e4c3 a5b4 c3a2 b4c4
FIDE GP Tashkent,Tashkent UZB,2012.11.22,1.4,"Mamedyarov, Shakhriyar","Kasimdzhanov, Rustam",1/2-1/2,2764,2696,D31,c2c4 e7e6 b1c3 d7d5 d2d4 f8e7 c1f4 g8f6 e2e3 e8g8 a2a3 b8d7 c3b5 f6e8 g1f3 c7c6 b5c3 f7f5 h2h3 e8d6 c4d5 e6d5 f1d3 d7f6 f3e5 c8e6 e1g1 f6d7 c3e2 a7a5 d1c2 a5a4 f4h2 d7e5 d4e5 d6e4 e2d4 d8d7 a1d1 e4c5 d3e2 c5e4 f2f3 e4c5 g2g4 c5b3 d4b3 a4b3 c2b3 f8f7 b3c2 a8f8 e2d3 g7g6 h2g3 f5g4 f3g4 e7g5 c2e2 d5d4 f1f7 f8f7 e3d4 d7d4 g1h2 f7d7 d3c2 d4b2 d1d7 e6d7 e5e6 d7e8 a3a4 b2b4 e2f2 g5e7 f2e1 b4b2 e1b1 b2b1 c2b1 g8g7 g3e5 e7f6 e5d6 f6h4 h2g2 c6c5 d6c5 e8c6 g2f1 c6a4 f1e2 a4b3 b1e4 b3e6 e4b7 h7h5 g4h5 e6h3 c5d4 g7h6 h5g6 h6g6
FIDE GP Tashkent,Tashkent UZB,2012.11.22,1.5,"Ponomariov, Ruslan","Wang, Hao",1/2-1/2,2741,2737,B91,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 f1e1 c8g4 d4e2 b8c6 h2h3 g4d7 a2a4 a8c8 c1e3 c6e5 e3d4 e5c6 d4e3 c6e5 b2b3 d8a5 a1b1 b7b5 a4b5 d7b5 b1a1 a5c7 c3b5 a6b5 e2d4 f6d7 d4b5 c7c2 d1c2 c8c2 e1c1 c2c1 a1c1 f8b8 g2f1 d7c5 e3c5 d6c5 g1g2 e5d7 c1d1 d7b6 d1c1 b6d7 c1d1 d7b6 d1c1
FIDE GP Tashkent,Tashkent UZB,2012.11.22,1.6,"Dominguez Perez, Leinier","Karjakin, Sergey",0-1,2726,2775,C95,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 h2h3 d7d6 c2c3 c6b8 d2d4 b8d7 b1d2 c8b7 b3c2 f8e8 d2f1 e7f8 c1g5 h7h6 g5h4 d8c8 d4e5 d6e5 f3h2 a6a5 d1f3 a8a6 h2g4 f6g4 f3g4 d7c5 g4f3 c8a8 a1d1 b5b4 f1d2 a6d6 f3e3 c5e6 d2c4 d6d1 e1d1 b4c3 b2c3 f7f6 d1b1 a5a4 g1h1 b7a6 c4b2 a4a3 b2d3 a6c4 c2b3 c4b3 b1b3 e8d8 b3b1 a8a4 d3b4 e6f4 h4g3 c7c5 b4d5 f4d5 e4d5 a4c2 b1b7 c2a2 b7a7 a2b1
FIDE GP Tashkent,Tashkent UZB,2012.11.23,2.1,"Kamsky, Gata","Karjakin, Sergey",1/2-1/2,2762,2775,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c1g5 f8e7 e2e3 e8g8 f1d3 d5c4 d3c4 b8d7 e1g1 c7c5 d1e2 f6e4 c3e4 b7e4 g5e7 d8e7 f1d1 e4f3 e2f3 c5d4 c4b5 d7f6 d1d4 a8d8 d4d8 f8d8 a1c1 g7g6 f3e2 d8d5 c1d1 e7d6 d1d5 d6d5 h2h3 f6e4 b5d3 d5c6 d3e4 c6e4 e2d2 e4b1 g1h2 b1f5 h2g1 f5b1 g1h2 b1f5 h2g1
FIDE GP Tashkent,Tashkent UZB,2012.11.23,2.2,"Wang, Hao","Dominguez Perez, Leinier",1/2-1/2,2737,2726,D90,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1a4 c8d7 a4b3 d5c4 b3c4 e8g8 c1f4 c7c6 e2e4 b7b5 c4d3 d8a5 f1e2 c6c5 e1g1 b5b4 c3d1 c5d4 f3d4 f8d8 d1e3 d7a4 d4b3 a4b3 a2b3 d8d3 a1a5 b8c6 a5a6 d3d2 e2c4 c6d4 e3f5 d4e2 c4e2 d2e2 f5e7 g8h8 f2f3 f6h5 f4d6 e2b2 g2g4 g7d4 g1h1 h5g7 e7c6 d4c3 f1a1 b2b3 a6a7 a8a7 a1a7 g7e6 a7f7 b3b1 h1g2 b4b3 f7b7 b3b2 b7b8 h8g7 b8b7 g7h8 b7b8 h8g7 b8b7
FIDE GP Tashkent,Tashkent UZB,2012.11.23,2.3,"Kasimdzhanov, Rustam","Ponomariov, Ruslan",1/2-1/2,2696,2741,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d2d3 b7b5 a4b3 e8g8 a2a4 a8b8 a4b5 a6b5 b1c3 d7d6 c3d5 f6d5 e4d5 c6d4 f3d4 e5d4 c1d2 c8d7 a1a7 b8a8 d1a1 d8b8 a7a8 b8a8 a1a5 a8a5 d2a5 f8c8 f1a1 c8a8 a1a3 a8a7 a5d2 a7a3 b2a3 g8f8 d2a5 e7d8 g1f1 f8e7 f1e2 f7f6 f2f3 c7c5 d5c6 d8a5 c6d7 e7d7 a3a4 b5a4 b3a4 d7e6 a4b3 e6e5 g2g3 g7g5 b3f7
FIDE GP Tashkent,Tashkent UZB,2012.11.23,2.4,"Leko, Peter","Mamedyarov, Shakhriyar",1/2-1/2,2732,2764,B07,e2e4 d7d6 d2d4 g8f6 b1c3 c7c6 g1f3 c8g4 h2h3 g4h5 f1d3 e7e6 g2g4 h5g6 g4g5 f6d7 f3h4 d6d5 h4g6 h7g6 d1g4 d8b6 c3e2 b8a6 c2c3 d5e4 d3e4 a6c7 g4f3 c7b5 a2a4 b5d6 a4a5 b6b5 e4d3 b5d5 f3d5 c6d5 a5a6 b7b6 h3h4 a8c8 e2g3 f8e7 e1e2 e8f8 c1f4 d6c4 h4h5 g6h5 g3h5 f8g8 f4c1 g7g6 h5g3 h8h1 g3h1 e6e5 d4e5 c4e5 d3b5 d7c5 c1e3 c5e6 a1d1 e6c7 b5d3 c8e8 f2f4 e7g5 h1f2 e5d3 f2d3 g5e7 e2f3 f7f6 e3d4 g8f7 d1h1 c7a6 h1a1 a6c5 d4c5 b6c5 f4f5 g6g5 a1a7 f7f8 b2b4 c5c4 d3c5 e7c5 b4c5 e8c8 a7a6 f8f7 a6a7 f7g8 a7a5 c8e8 a5a7 e8c8 a7a5 c8e8 a5a7 e8c8 a7a5
