Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Teeside,Teeside,1975.??.??,1,"Timman, Jan H","Huebner, Robert",0-1,2510,2615,D68,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 f8e7 e2e3 e8g8 a1c1 b8d7 g1f3 c7c6 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 e1g1 d5c3 c1c3 e6e5 d1c2 e5e4 f3d2 d7f6 f1b1 c8d7 b2b4 f8c8 c4b3 f6d5 b3d5 c6d5 b1c1 g7g6 c2b3 e7d6 c3c8 a8c8 c1c8 d7c8 d2b1 c8e6 b1c3 g6g5 c3e2 d6a6 b4b5 a6a5 e2c3 g8g7 f2f3 e4f3 g2f3 h7h5 b3b2 f7f6 b2d2 a5b4 e3e4 d5e4 f3e4 g7g6 d2e3 e6c4 e4e5 f6e5 e3e4 g6h6 e4f3 b4e7 f3e3 e7f6 h2h4 e5d4 h4g5 f6g5 e3g5 h6g5
Teeside,Teeside,1975.??.??,1,"Geller, Efim P","Hort, Vlastimil",1/2-1/2,2600,2600,B83,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f1e2 f8e7 e1g1 b8c6 f2f4 e8g8 g1h1 c6d4 d1d4 c8d7 e4e5 f6e8 c1e3 d7c6 a1d1 a7a6 c3e4 d6e5 d4e5 d8c7 e2f3 a8c8 e5c7 c8c7
Teeside,Teeside,1975.??.??,1,"Gheorghiu, Florin","Lombardy, William James",1/2-1/2,2540,2515,A17,c2c4 g8f6 b1c3 e7e6 g1f3 f8b4 d1c2 d7d5 c2a4 b8c6 f3e5 a7a5 a2a3 b4e7 d2d4 e8g8 e5c6 b7c6 c4c5 c8d7 e2e3 e6e5 f1e2 e5d4 e3d4 f6e4 e1g1 f7f5 c3e4
Teeside,Teeside,1975.??.??,1,"Miles, Anthony J","Hartston, William R",1/2-1/2,2435,2475,A36,c2c4 c7c5 g2g3 g7g6 f1g2 f8g7 b1c3 b8c6 a2a3 e7e6 a1b1 a7a5 g1h3 g8e7 h3f4 d7d6 b2b3 e8g8 c1b2 a8b8 e1g1 f7f5 e2e3 e6e5 f4d5 e7d5 c3d5 c8e6 d2d3 g8h8 d1d2 d8d7 f2f4 b7b6 b2c3 c6e7 d2b2 e7c6 f4e5 c6e5 d5f4 b6b5 c4b5 b8b5 g2c6 d7c6 f4e6 f8e8 e6g7 h8g7 a3a4
Teeside,Teeside,1975.??.??,1,"Sax, Gyula","Olafsson, Fridrik",1/2-1/2,2510,2535,C53,e2e4 b8c6 g1f3 e7e5 f1c4 f8c5 c2c3 d8e7 d2d4 c5b6 c4b5 g8f6 e1g1 e8g8 b5c6 b7c6 f3e5 d7d6 e5c6 e7e4 c6b4 c7c5 b4c2 e4g6 c2e3 f8e8 b1a3 c5d4 c3d4 d6d5 a3b5 c8a6 a2a4 e8e4 d1f3 a6b5 a4b5 a8e8 e3f5 e4e6 c1e3 f6e4 f5h4 g6f6 f3f6 e6f6 a1c1 e4d6 c1c6 f6e6 f1c1 h7h6 h4f3 d6b5 c6e6 e8e6
Teeside,Teeside,1975.??.??,1,"Stean, Michael","Kavalek, Lubomir",1/2-1/2,2370,2555,B92,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 f8e7 e1g1 e8g8 f2f4 b8c6 c1e3 e6e5 d4b3 e5f4 e3f4 c8e6 g1h1 a7a6 d1e1 f6d7 a1d1 d7e5 e1d2 f8e8 c3d5 e7f8 f4g5 c6e7 d5e7 f8e7 g5e7 d8e7 d2d6 e5c4 d6e7 e8e7 d1d4 a8c8 e2c4 e6c4 f1d1 g7g6 c2c3 c4b3 a2b3 c8e8 d1e1 f7f5 h1g1 f5e4 e1e3 h7h5
Teeside,Teeside,1975.??.??,1,"Bronstein, David I","Keene, Raymond D",1-0,2590,2505,E17,c2c4 g8f6 d2d4 e7e6 g2g3 d7d5 f1g2 b8d7 b1d2 f8e7 g1f3 e8g8 e1g1 b7b6 b2b3 c8b7 c1b2 c7c5 e2e3 a8c8 a1c1 c8c7 d1e2 d8a8 f1e1 f8c8 c4d5 b7d5 e3e4 d5b7 d4d5 e6d5 e4d5 e7f8 d2e4 f6e4 e2e4 b7d5 e4f5 g7g6 f5f4 f7f6 c1d1 c5c4 f3g5 c7c5 d1d5 c5d5 b3c4 f6g5 f4g4 d5f5 g2a8 c8a8 g4e4 a8d8 e4d4 g8f7 g3g4
Teeside,Teeside,1975.??.??,2,"Hort, Vlastimil","Stean, Michael",1/2-1/2,2600,2370,B26,e2e4 c7c5 b1c3 d7d6 g2g3 b8c6 f1g2 g7g6 d2d3 f8g7 c1e3 a8b8 a2a4 e7e6 f2f4 g8e7 g1f3 e8g8 e1g1 b7b6 e3f2 d8d7 d1d2 c8b7 a1e1 c6d4 f3d4 c5d4 c3b5 e7c6 g3g4 a7a6 b5a3 f7f5 g4f5 g6f5 f2g3 g8h8 g1h1 b7a8 e1e2 b6b5 a4b5 a6b5 d2e1 c6e7 g3h4 e7g6 h4g3 g6e7 a3b1
Teeside,Teeside,1975.??.??,2,"Huebner, Robert","Gheorghiu, Florin",1/2-1/2,2615,2540,B84,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e6 c1e3 b8d7 f2f4 b7b5 e2f3 c8b7 f4f5 e6e5 d4b3 b5b4 c3d5 b7d5 e4d5 e5e4 f3e2 d7b6 a2a3 b6d5 e3d4 b4a3 a1a3 f8e7 a3a6 e8g8
Teeside,Teeside,1975.??.??,2,"Keene, Raymond D","Geller, Efim P",1/2-1/2,2505,2600,A11,g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8g4 c2c4 e7e6 c4d5 g4f3 g2f3 c6d5 b1c3 b8c6 d2d3 f8e7 a2a3 e8g8 b2b4 a7a5 b4b5 c6d4 f3g2 a5a4 a1b1 d4b3 c1b2 b3c5 e2e3 d8a5 f2f4 a8c8 f4f5 c5b3 d1e1 f6g4 f1f4 g4e3 f5e6 e7c5 e6f7 f8f7 f4f7 e3c2 g1h1 c2e1 g2d5 g8h8 b1e1 c5d4 f7e7 g7g6 e1f1 a5d8 f1f7 d8g8 f7f4 g8d8 f4f7 d8g8 f7f4 g8d8
Teeside,Teeside,1975.??.??,2,"Lombardy, William James","Sax, Gyula",0-1,2515,2510,A30,g1f3 g8f6 b2b3 g7g6 c1b2 f8g7 c2c4 c7c5 b1c3 e8g8 e2e3 b7b6 f1e2 c8b7 e1g1 d7d5 c3d5 f6d5 b2g7 g8g7 c4d5 d8d5 d1c2 b8c6 c2b2 e7e5 a2a3 f7f6 b3b4 e5e4 f3e1 c5c4 f2f3 a8d8 a1a2 c6e5 f3f4 c4c3 d2c3 e5c4 e2c4 d5c4 a3a4 d8d1 b2e2 c4e2 a2e2 b7d5 e1c2 d1f1 g1f1 d5c4 f1e1 c4e2 e1e2 a7a5 c2d4 f8c8 e2d2 a5b4 c3b4 c8a8 d2c3 a8a4 c3c4 a4a3 c4b5 a3e3 b5b6 e3e1 b6c6 e4e3 b4b5 e3e2 d4e6 g7g8
Teeside,Teeside,1975.??.??,2,"Olafsson, Fridrik","Bronstein, David I",1/2-1/2,2535,2590,E58,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8b4 e2e3 c7c5 f1d3 e8g8 e1g1 b8c6 a2a3 b4c3 b2c3 d8c7 h2h3 c6a5 c4d5 e6d5 a3a4 c5c4 d3c2 f6e4 c2e4 d5e4 f3d2 c8f5 c1a3 f8d8 d1h5 f5g6 h5c5 c7c5 a3c5 f7f5 f1b1
Teeside,Teeside,1975.??.??,2,"Hartston, William R","Timman, Jan H",1/2-1/2,2475,2510,C16,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 b7b6 c1d2 d8d7 g1f3 c7c6 f1e2 c8a6 e1g1 g8e7 e2a6 b8a6 c3e2 b4d2 d1d2 c6c5 e2g3 h7h5 d2g5 g7g6 f1d1 e8c8 d4c5 a6c5 a2a4 c5a4 a1a4 d7a4 g5e7 a4c2 d1d2 c2c1 g3f1 d8d7 e7a3 c8b8 d2d3 h8c8 d3c3 c8c3 a3c3 d7c7 c3b4 b8b7 h2h4 c1d1 b2b3 a7a5 b4b5 c7c5 b5d7 c5c7 d7b5 c7c5 b5d7 b7a6 f3d2 c5c2 b3b4 a5b4 d7a4 a6b7 a4b4 d1g4 b4g4 h5g4 g1h2 c2c3 f2f3 g4f3 g2g4 b6b5 h4h5 g6h5 g4h5 b5b4 h2g3 b4b3 d2f3 b3b2 f1d2 c3c1 h5h6 c1h1 f3h2 h1g1 g3h3 g1d1 h2f3 d1h1 f3h2 h1c1 h6h7 c1c8 h2f3 c8h8 f3g5 b7c6 h3g4 c6d7 g4h5 d7e7 h5h6 f7f6 g5f3 e7f7 e5f6 f7f6 f3e1 h8c8
