Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Kloosters,Ter Apel,1997.03.17,1,"Andersson, Ulf","Huebner, Robert",1-0,2655,2600,D14,d2d4 d7d5 g1f3 c7c6 c2c4 g8f6 c4d5 c6d5 b1c3 b8c6 c1f4 c8f5 e2e3 e7e6 d1b3 f8b4 f1b5 d8a5 e1g1 e8g8 b5c6 b7c6 f4c7 a5c7 b3b4 a8b8 b4a3 f6d7 f1c1 c6c5 d4c5 c7c5 a3c5 d7c5 c3d5 c5d3 d5e7 g8h8 c1c3 d3b2 f3e5 b8a8 e7f5 e6f5 a1b1 b2a4 c3c7 f7f6 e5f7 h8g8 f7d6 f8b8 b1b8 a8b8 g2g3 g7g6 c7a7 a4c3 a7a3 b8b1 g1g2 b1c1 a3a8 g8g7 a8a7 g7h6 d6f7 h6h5 f7d6 h5h6 h2h3 c3e4 d6e4 f5e4 g3g4 g6g5 a2a4 c1a1 a4a5 a1a2 a5a6 h6g6 a7a8 a2a1 a6a7 g6g7 g2g3 a1g1 g3h2 g1a1 h2g2 h7h6 g2h2 g7h7 a8f8 a1a7 f8f6 h7g7 f6e6 a7a4 h2g3 a4b4 h3h4 g5h4 g3h4 b4a4 h4g3 a4b4 e6e5 g7g6 e5f5 b4b8 g3f4 b8e8 f5e5 e8e5 f4e5 g6g5 e5e4 g5g4 e4d3
Kloosters,Ter Apel,1997.03.17,1,"Van Wely, Loek","Shirov, Alexei",0-1,2645,2690,E94,c2c4 g8f6 b1c3 g7g6 e2e4 d7d6 d2d4 f8g7 g1f3 e8g8 f1e2 e7e5 e1g1 b8a6 c1e3 f6g4 e3g5 d8e8 d4e5 d6e5 h2h3 h7h6 g5d2 g4f6 d2e3 e8e7 a2a3 f6h5 d1c2 c7c6 f1e1 a6c5 a1d1 c5e6 g2g3 c8d7 c4c5 a8d8 b2b4 d7c8 e2f1 d8d1 e1d1 f8d8 c3b1 e6d4 e3d4 e5d4 b1d2 d4d3 f1d3 c8h3 e4e5 e7d7 d2e4 h5f4 e4d6 h3g2 d3e4 d7g4 d1d4 g2f3 e4f3 f4h3 g1g2 g4d4 g2h3 g7e5 d6c4 e5c7 h3g2 d4d3 c2c1 h6h5 c4e3 c7e5 e3c4 d3c3 c1c3 e5c3 c4d6 d8d7 b4b5 g8f8
Kloosters,Ter Apel,1997.03.17,1,"Khalifman, Alexander","Jussupow, Artur",1/2-1/2,2650,2665,D58,g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 b1c3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3 b7b6 f1e2 c8b7 h4f6 e7f6 c4d5 e6d5 b2b4 c7c6 e1g1 a7a5 b4a5 a8a5 d1b3 b7c8 a2a4 c8e6 f1d1 b8d7 h2h3 d8e7 a1b1 f8c8 e2d3 g7g6 b1c1 f6g7 d1e1 e7f6 b3d1
Kloosters,Ter Apel,1997.03.18,2,"Andersson, Ulf","Khalifman, Alexander",1/2-1/2,2655,2650,D00,g1f3 d7d6 d2d4 g8f6 b1c3 d6d5 c1f4 c8f5 e2e3 c7c6 f1d3 e7e6 e1g1 f8e7 h2h3 e8g8 a1b1 b8d7 b2b4 f5g6 f3e5 d7e5 f4e5 f6d7 e5g3 e7f6 c3e2 b7b5 e2f4 d7b6 f4g6
Kloosters,Ter Apel,1997.03.18,2,"Huebner, Robert","Shirov, Alexei",0-1,2600,2690,E62,d2d4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 c2c4 c7c6 b1c3 b8a6 e2e4 e7e5 d4e5 d6e5 f3e5 c8e6 d1e2 d8d4 c1f4 f6h5 f1d1 h5f4 g3f4 d4b6 e5d7 e6d7 d1d7 a6c5 d7d2 c5e6 e2e3 a8d8 a1d1 g7d4 e3g3 d4c3 d2d8 f8d8 d1d8 b6d8 b2c3 d8d1 g2f1 e6c5 g3e3 d1g4 f1g2 c5e6 h2h3 g4f4 e3a7 f4c1 g1h2 g8g7 a7b7 e6f4 b7b6 f4e2 f2f3 c1c3 b6f2 c3e5 h2h1 e2f4 g2f1 g6g5 h3h4 h7h6 h4g5 h6g5 h1g1 g7g6 f2b6 e5c3 b6f2 f7f6 g1h2 c6c5 a2a4 c3a1 f1h3 a1a4 h3f5 g6g7 f2b2 a4c4 e4e5 c4e2 b2e2 f4e2 e5f6 g7f6 f5d3 e2f4 d3b1 c5c4 h2g3 f4d5 g3g4 d5e3 g4g3 f6e5 b1g6 e3d5 g3g4 e5f6 g6b1 d5e3 g4g3 f6e5 b1g6 c4c3 g6b1 e3d5 g3g4 e5f6 g4g3 d5f4 g3g4 f4d5 g4g3 f6g7 g3f2 g7h6 f2e2 d5b4 b1e4 h6g7 e2e3 g7f6 e4a8 f6e6 a8b7 e6e5 b7a8 e5d6 a8e4 d6c5 f3f4 g5g4 f4f5 b4d5 e3d3 d5f6 e4h1 c5b4 d3c2 b4c4 h1g2
Kloosters,Ter Apel,1997.03.18,2,"Jussupow, Artur","Van Wely, Loek",1-0,2665,2645,E61,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 e8g8 c1g5 d7d6 e2e3 a7a6 f1e2 c7c6 a1c1 b7b5 b2b3 b8d7 e1g1 d8a5 d1c2 c8b7 f1d1 f8e8 g5h4 a8c8 h2h3 h7h6 h4g3 b5b4 c3a4 c6c5 d4d5 d7b6 a4b6 a5b6 e2d3 e7e5 f3d2 b6c7 g3h4 f6h7 g2g4 c7d7 g1g2 c8a8 d1f1 a6a5 f2f4 e5f4 e3f4 h7f6 h4f6 g7f6 d2e4 f6d4 f4f5 g6g5 f5f6 a5a4 c2e2 a4b3 a2b3 a8a3 d3c2 e8e5 e2d3 g8f8 e4d2 f8e8 d2f3 e8d8 f3d4 c5d4 d3d4 d7c7 f1f2 a3a2 g2g1 c7a5 c2f5 a5a7 d4a7 a2a7 f2f3 a7a2 c1f1 b7c8 f5h7 c8d7 f1f2 a2a1 g1g2 d8c7 h7g6 d7e8 g6d3 c7b6 f2e2 b6c5 e2e5 d6e5 d3f5 c5d6 f3e3 a1a2 g2f3 a2a1 e3d3 a1a6 d3d2 a6a3 d2b2 e8a4 f5c2 a4d7 f3e4 a3a8 c2d3 d6c5 d3b1 h6h5 g4h5 a8h8 b2a2 h8h5 a2a7 g5g4 a7d7 g4h3 e4e3 h5h4 d7c7 c5b6 d5d6 h3h2 c4c5 b6a5 b1d3 h4h3 e3f2 h3d3 f2g2 d3d2 g2h1 a5b5 c7f7 b5c5 f7f8 d2d6 f8c8 c5d4 f6f7 d6f6 f7f8q f6f8 c8f8 e5e4 f8c8 e4e3 h1h2 e3e2 c8e8 d4c3 h2g2 e2e1q e8e1 c3b3 e1e8 b3c2 e8c8 c2d2 c8b8
Kloosters,Ter Apel,1997.03.19,3,"Khalifman, Alexander","Huebner, Robert",1-0,2650,2600,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 e6d5 d1a4 c7c6 c1g5 f8e7 e2e3 e8g8 f1d3 f6e4 g5f4 e4c3 b2c3 b8d7 e1g1 c6c5 f3e5 d7e5 d4e5 e7g5 f4g3 g7g6 h2h4 g5h6 h4h5 d8e7 h5g6 h7g6 a4g4 b7c8 g4e2 c8e6 f2f4 f7f5 a3a4 f8f7 g1f2 h6f8 f1h1 f7h7 e2d2 a8b8 d3e2 b8b7 e2b5 b7c7 h1h7 e7h7 a4a5 c5c4 a5b6 a7b6 a1a6 f8c5 a6a8 g8g7 f2g1 h7h5 b5a4 g6g5 g3f2 g7g6 a4e8 e6f7 d2d5 f7e8 a8e8 h5e2 d5g8
Kloosters,Ter Apel,1997.03.19,3,"Van Wely, Loek","Andersson, Ulf",1/2-1/2,2645,2655,E11,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 b4d2 d1d2 e8g8 g2g3 d7d5 f1g2 b8d7 e1g1 c7c6 d2c2 b7b6 b1d2 c8b7 b2b4 a7a5 a2a3 a5b4 a3b4 a8a1 f1a1 d8c7 e2e4 d5e4 d2e4 c6c5 e4f6 d7f6 d4c5 b6c5 b4b5 f8a8 a1a8 b7a8 f3d2 a8g2 g1g2 h7h6 c2d3 f6d7 d3e4 g8f8 g2f1 f8e7 f1e2 g7g5 h2h3 f7f5 e4e3 c7e5 e3e5 d7e5 f2f4 g5f4 g3f4 e5g6 e2e3 e7d6 d2f3 d6d7 f3e1 e6e5 e1d3 e5f4 e3d2 d7d6 d2c3 f4f3 c3d2 g6f8 d2e3 f8d7 e3f3 d7b6 f3f4 b6c4 f4f5 c4e3 f5e4
Kloosters,Ter Apel,1997.03.20,4,"Andersson, Ulf","Shirov, Alexei",1/2-1/2,2655,2690,B07,g1f3 g8f6 d2d4 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 b1c3 b8d7 e2e4 e7e5 h2h3 c7c6 a2a4 d8c7 c1e3 b7b6 d1d2 c8b7 e3h6 a7a6 h6g7 g8g7 a1d1 b6b5 d4e5
Kloosters,Ter Apel,1997.03.20,4,"Khalifman, Alexander","Van Wely, Loek",1-0,2650,2645,E69,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 g2g3 e8g8 f1g2 d7d6 e1g1 b8d7 b1c3 e7e5 h2h3 f8e8 e2e4 e5d4 f3d4 c7c6 f1e1 a7a5 a1b1 d7c5 b2b3 c8d7 c1f4 d8b6 f4d6 f6e4 g2e4 c5e4 e1e4 e8e4 c3e4 b6d4 d1d4 g7d4 b1d1 d4g7 d6b8 a8b8 d1d7 b7b5 e4d6 a5a4 c4b5 c6b5 d6f7 b8e8 g1f1 g7c3 f7h6 g8h8 g3g4 a4b3 a2b3 e8f8 g4g5 f8e8 h6f7 h8g8 f7h6 g8h8 h3h4 b5b4 h6f7 h8g8 f7h6 g8h8 f1g2 e8f8 h6f7 h8g8 f7h6 g8h8 f2f4 c3b2 h6f7 h8g8 f7h6 g8h8 g2f3 b2c3 h6f7 h8g8 f7h6 g8h8 f3g4 c3g7 d7b7 g7c3 h6f7 h8g8 f7h6 g8h8 f4f5 g6f5 h6f5 c3d2 b7d7 d2c1 d7d1 c1b2 h4h5 f8g8 f5h6 g8e8 d1d8 e8d8 h6f7 h8g7 f7d8 b2c3 g4f5 c3d2 d8e6 g7f7 e6f4 f7g7 f4d5 g7f7 h5h6 f7g8 d5f6 g8h8 f6e4 d2c1 f5g4 h8g8 e4f6 g8h8 f6d5 c1d2 g4h5 h8g8 g5g6
