Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Tilburg,Tilburg,1983.??.??,?,"Vaganian, Rafael A","Karpov, Anatoly",1/2-1/2,2620,2710,A36,c2c4 c7c5 b1c3 g7g6 g2g3 f8g7 f1g2 b8c6 e2e3 e7e6 g1e2 g8e7 d2d4 c5d4 e2d4 c6d4 e3d4 e8g8 e1g1 d7d5 c4d5 e7d5 c3d5 e6d5 c1e3
Tilburg,Tilburg,1983.??.??,?,"Portisch, Lajos","Timman, Jan H",1/2-1/2,2600,2605,E15,g1f3 g8f6 c2c4 b7b6 d2d4 e7e6 g2g3 c8a6 b2b3 f8b4 c1d2 b4e7 f1g2 d7d5 c4d5 f6d5 b1c3 b8d7 c3d5 e6d5 e1g1 e8g8 a1c1 f8e8 f1e1 c7c5 d2e3 a6b7 f3d2 a8c8 d2b1 d7f6 d4c5 b6c5 b1c3 h7h6 c3a4 d8a5 d1c2 c8c7 e1d1 e7f8 e3f4 c7c8 a4c3 a5a6 c3d5 f6d5 g2d5 b7d5 d1d5 e8e2 d5d2 e2d2 f4d2 c8d8 d2e3 d8d5 h2h4 d5d8 g1h2 d8d5 c2c4 a6e6 c4a4 a7a6 a4c4 e6d6 c4e2 g7g6 e2f3 f8g7 c1c4 h6h5 c4a4 g7d4 f3e2
Tilburg,Tilburg,1983.??.??,?,"Huebner, Robert","Van der Wiel, John TH",1-0,2620,2515,A37,g2g3 c7c5 f1g2 b8c6 g1f3 e7e5 c2c4 d7d6 b1c3 g7g6 e1g1 f8g7 f3e1 c8e6 c3d5 g8e7 a2a3 e8g8 d2d3 e6d5 c4d5 c6d4 e2e3 d4b5 a3a4 b5c7 e3e4 d8d7 e1c2 b7b5 b2b3 b5a4 b3a4 f8b8 h2h4 c7a6 c2a3 e7c8 g1h2 c8b6 g2h3 d7e8 h4h5 a6c7 h5g6 h7g6 a4a5 b6d7 a3c4 c7b5 h2g2 d7f8 c1e3 e8e7 d1d2 b5d4 a1b1 f8h7 a5a6 e7f6 e3d4 c5d4 b1b7 h7g5 h3g4 g7h6 d2b4 b8d8 c4a5 g5h7 a5c6 d8f8 f1h1 g8g7 b7a7 a8a7 c6a7 h6e3 f2e3 d4e3 h1f1 f6g5 g4e2
Tilburg,Tilburg,1983.??.??,?,"Huebner, Robert","Seirawan, Yasser",1-0,2620,2605,A41,e2e4 d7d6 d2d4 g7g6 c2c4 e7e5 b1c3 b8c6 d4d5 c6e7 f1d3 h7h5 f2f4 f8g7 g1f3 e5f4 c1f4 g8f6 e4e5 d6e5 f4e5 e8g8 e1g1 e7f5 f3d4 f6g4 e5g7 d8d6 g2g3 g8g7 d4f5 c8f5 d3f5 d6b6 g1h1 g4e3 c3a4 b6f6 f5c2 e3f1 d1f1 a8e8 f1f6 g7f6 a4c3 e8e5 h1g2 h5h4 a1d1 h4g3 h2g3 f8h8 c4c5 f6e7 c2a4 e7d8 d1d4 e5h5 g2f3 h5h1 c5c6 b7c6 d5c6 d8c8 a4b5 c8b8 b5a6 f7f6 c3e4 h1h5 e4f6
Tilburg,Tilburg,1983.??.??,?,"Huebner, Robert","Polugaevsky, Lev",1/2-1/2,2620,2620,A30,c2c4 c7c5 g1f3 g8f6 b1c3 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 d2d4 c5d4 d1d4 d7d6 e2e4 a7a6 d4e3 b8d7 f3d4 d8c7 b2b3 e8g8 c1b2 f8e8 f1e1 e7f8 h2h3 a8c8 e1e2 c7b8 a1e1 g7g6 e3d2 f8g7 g1h2 d7c5 d4c2 e8d8 c2b4 b6b5 c4b5 a6b5 b4d3 c5d3 d2d3 b5b4 c3d1 d6d5 e4d5 b7d5 g2d5 f6d5 b2g7 g8g7 d3f3 h7h5 h3h4 b8a7 e2d2 a7c5 e1e4 c5c1 e4d4 c8c2 f3e2 d8c8 d1e3 c2d2 d4d2 d5e3
Tilburg,Tilburg,1983.??.??,?,"Huebner, Robert","Ljubojevic, Ljubomir",1/2-1/2,2620,2645,D58,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 f8e7 e2e3 h7h6 g5h4 e8g8 g1f3 b7b6 d1b3 c8b7 h4f6 e7f6 c4d5 e6d5 a1d1 d8d6 f1d3 c7c5 d4c5 f6c3 b3c3 b6c5 e1g1 b8d7 d1d2 f8d8 d3b1 a8c8 f1d1 d7f8 a2a3 f8e6 c3e5 e6g5
Tilburg,Tilburg,1983.??.??,?,"Huebner, Robert","Karpov, Anatoly",1/2-1/2,2620,2710,D37,c2c4 e7e6 b1c3 d7d5 d2d4 g8f6 g1f3 f8e7 c1f4 e8g8 e2e3 c7c5 d4c5 e7c5 c4d5 f6d5 c3d5 e6d5 a2a3 b8c6 f1d3 c5b6 e1g1 c8g4 h2h3 g4h5 d3e2 h5f3 e2f3 d5d4 e3d4 b6d4 d1d2 d8b6 a1d1 a8d8 b2b4 d4f6 d2a2 c6d4 f3e4 b6b5 g1h1 d4e2 a3a4 b5h5 e4f3 h5f5 d1d8 f8d8 f4c7 e2c3 a2c4 f5d3 c4d3 d8d3 c7b8 d3d4 f1e1 h7h6 b8a7 d4b4 a4a5 b4b5 a7b6 c3a4 e1e8 g8h7 e8f8 a4b6 f3e4 g7g6 f8f7 f6g7 a5b6 b5b6 h1g1 h6h5 e4b7 h5h4 b7e4 b6f6 f7c7 h7h6 g1f1 f6f4 c7c4
Tilburg,Tilburg,1983.??.??,?,"Andersson, Ulf","Vaganian, Rafael A",1/2-1/2,2640,2620,A30,g1f3 g8f6 c2c4 c7c5 g2g3 b7b6 f1g2 c8b7 e1g1 g7g6 b2b3 f8g7 c1b2 e8g8 b1c3 e7e6 d2d4 d7d5 d4c5 b6c5 c4d5 e6d5 a1c1 b8a6 c3a4 d8e7 f3e1 a8c8 e1d3 f8d8 b2a3 f6e4 d1e1 g7h6 c1c2 d8e8 e1a5 h6f8 e2e3 a6b4 c2c5 b4c6 c5c6 e7a3 c6c8 e8c8 a5a7 b7c6 d3e5 c6e8 a7b7 e4d6 b7d5 a3a2 a4b6 c8d8 h2h4 f8e7 e5c6 e8c6 d5c6 a2b3 c6c7 d6e8 c7e7 b3b6 f1c1 b6f6 e7b4 h7h5 g2e4 g8g7 g1g2 f6e5 e4f3 d8b8 b4c4 e8d6 c4c6 d6f5 c1c5 e5f6 c6e4 b8b2 c5c2 b2c2 e4c2 f6e5 c2d3 f5h6 d3d7 h6f5 d7a7 f5h6 a7a4 h6f5 a4b3 f5h6 b3d3 h6g8 d3d4 e5f6 f3c6 g8h6 c6d7 h6g8 d7h3 g8e7 h3d7 e7g8 g2f1 g7f8 d7b5 f6f3 f1e1 g8f6 d4f4 f3h1 e1e2 f8g7 f4d4 h1b1 b5d3 b1a2 e2e1 a2e6 e1d2 g7g8 f2f3 e6a2 d3c2 a2a5 d4c3 a5a6 c2b3 a6b6 c3c4 b6b7 d2e2 g8g7 c4c3 b7d7 c3c4 d7e7 e3e4 f6g8 c4d4 g7h7 e2d2 g8h6 b3c2 e7b7 c2d3 b7a8 d2e3 a8a5 e3e2 a5a2 e2e1 a2a5 e1d1 a5a3 d3e2 a3a5 e2d3 a5a3 d1e2 a3a2 e2e3 a2a5 d3e2 a5e1 d4e5 e1g1 e3d2 g1f2 e5f4 h7g7 d2d3 g7h7 e2d1 f2f1 d3d2 f1f2 d2c1 f2e1 c1c2 h7g7 f4d6 e1e3 c2b2 g7h7 d6f4 e3d4 b2c1 d4g1 c1d2 g1f2 d1e2 h7g7 f4d6 g7h7 d6e5 h7g8 e5c7 g8h7 d2d3 f2e1 c7f4 h7g7 f4g5 g7h7 g5e5 h7g8 e5c7 g8h7 d3e3 h7g7 c7d6 g7g8 d6e5 g8h7 e5b8 h6g8 b8f4 g8h6 f4g5 h7g7 e3d3 e1b1 d3d2 b1b4 d2d1 b4d4 d1e1 d4g1 e2f1 g7h7
Tilburg,Tilburg,1983.??.??,?,"Andersson, Ulf","Timman, Jan H",1/2-1/2,2640,2605,A33,g1f3 c7c5 c2c4 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 d4b5 d7d5 c1f4 e6e5 c4d5 e5f4 d5c6 b7c6 d1d8 e8d8 b5d4 c8d7 g2g3 f8d6 f1g2 a8c8 e1g1 d8e7 a1d1 h7h5 d4f3 h8d8 d1d2 d6c7 f1c1 f6g4 c3a4 d7e8 d2c2 e7f8 h2h3 g4f6 g3f4 c7f4 e2e3 f4h6 a4c5 f6d5 g1h1 g7g6 a2a3 h6g7 b2b4 d5c7 c5b3 c7e6 f3d2 c8b8 d2c4 d8d3 c4a5 c6c5 g2e4 d3d8 b3c5 e6c5 b4c5 g7b2 c1b1 b2a3 b1b8 d8b8 c5c6 a3d6 a5b7 d6c7 h1g2 a7a5 b7c5 b8a8 c5a4 a8a6 a4c5 a6a7 c5a4 a7a6
Tilburg,Tilburg,1983.??.??,?,"Andersson, Ulf","Spassky, Boris V",1/2-1/2,2640,2605,E11,d2d4 g8f6 g1f3 e7e6 c2c4 f8b4 c1d2 b4d2 d1d2 d7d5 e2e3 e8g8 b1c3 d8e7 a1c1 f8d8 d2c2 d5c4 f1c4 c7c5 e1g1 c5d4 f3d4 c8d7 f1d1 b8c6 c4b5 a8c8 d4c6 d7c6 b5c6 c8c6 d1d8 e7d8 c1d1
