Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Trencianske Teplice,Trencianske Teplice,1941.??.??,1,"Potucek, Ludovit","Opocensky, Karel",1-0,,,C91,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 d2d4 e5d4 c3d4 c8g4 c1e3 d6d5 e4e5 f6e4 b1d2 e7b4 d1c2 g4f3 d2f3 c6a5 e1c1 a5c4 b3c4 b5c4 f3d2 b4d2 e3d2 c7c5 d2e3 c5d4 e3d4 d8a5 c1d1 a8c8 c2e2 f8e8 e2g4 a5c7
Trencianske Teplice,Trencianske Teplice,1941.??.??,1,"Szily, Jozsef","Rabar, Braslav",1-0,,,C10,e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 g1f3 f8e7 f1d3 g8f6 e4f6 e7f6 d1e2 d8e7 e1g1 e8g8 c2c3 c7c5 d4c5 d7c5 d3c2 b7b6 c1e3 c8a6 c3c4 g7g6 a1b1 e7c7 b2b3 f8d8 f1d1 a8c8 d1d8 c8d8 b1d1 d8d1 e2d1 c7d7 b3b4 d7d1 c2d1 c5d3 b4b5 a6b7 d1e2 d3c5 e3c5 b6c5 f3d2 g8f8 a2a4 f8e7 a4a5 e7d6 a5a6 b7a8 e2f3 a8f3 d2f3 d6c7 g1f1 h7h6 f1e2 f6d4 g2g4 d4c3 e2d3 c3b2 h2h3 b2g7 g4g5 f7f6 g5f6 g7f6 d3e4 f6b2 f3e5
Trencianske Teplice,Trencianske Teplice,1941.??.??,1,"Meyer, H.","Rohacek, Ivan Vladimir",1-0,,,E22,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 b8c6 e2e3 d7d6 f1d3 e6e5 d4d5 b4c3 b3c3 c6b8 g1e2 a7a5 a2a3 a5a4 d3c2 b8d7 e3e4 d7c5 f2f3 h7h6 c1e3 b7b6 c3d2 g7g5 e3c5 b6c5 e2c3 c8d7 d2d1 f6h5 c2a4 d7a4 c3a4 g5g4 e1g1 g4g3 h2h3 h5f4 a4c3 d8h4 d1d2 h8g8 f1d1 e8e7 a3a4 g8g5 a4a5 a8g8 a5a6 f4h3 g2h3 g3g2 c3e2 h4h3 g1f2 g2g1q d1g1 h3h4 f2e3 g5g1 e2g1 f7f5 g1e2 f5e4 f3e4 h4h3 e2g3
Trencianske Teplice,Trencianske Teplice,1941.??.??,1,"Fuster, Geza","Saemisch, Fritz",1-0,,,E32,g1f3 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d6 d2d4 d8e7 g2g3 b4c3 c2c3 b7b6 f1g2 c8b7 e1g1 b8d7 b2b3 e8g8 c1b2 b7e4 a1d1 c7c5 d1d2 f8d8 f1d1 a8c8 c3e3 d6d5 c4d5 e4d5 e3g5 h7h6 g5h4 c5c4 b3c4 c8c4 f3e1 d5g2 e1g2 d8c8 g2e3 c4a4 a2a3 e7d6 e3c2 d6d5 h4f4 d5e4 c2b4 a7a5 d2c2 e4a8 c2c8 a8c8 d1c1 c8a8 b4c6 a8a6 c1c2 a4c4 f4d2 c4c2 d2c2 f6e8 c6e7 g8h8 d4d5 e6d5 e7d5 b6b5 c2d3 a6c6 d5e7 c6d6 b2g7
Trencianske Teplice,Trencianske Teplice,1941.??.??,1,"Ahues, Carl Oscar","Milan, M.",1-0,,,D37,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 b8d7 c1f4 a7a6 c4d5 e6d5 e2e3 c7c5 d4c5 d7c5 f1e2 c8e6 e1g1 f8d6 d1d4 e8g8 f1d1 a8c8 a1c1 d8e7 f4d6 e7d6 b2b4 c5e4 c3e4 f6e4 c1c8 f8c8 d4e4 d5e4 d1d6 e4f3 e2f3 c8c1 f3d1 g8f8 g1f1 f8e7 d6d2 e6a2 d2a2 c1d1 f1e2 d1b1 a2a4 b1b2 e2f3 e7d6 e3e4 f7f6 h2h4
Trencianske Teplice,Trencianske Teplice,1941.??.??,1,"Foltys, Jan","Hucl, K.",1-0,,,E14,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 e2e3 d7d5 f1d3 b8d7 e1g1 f6e4 c4d5 e6d5 d1c2 f7f5 c2b3 c7c6 f3e5 d7e5 d4e5 e4c5 b3c2 g7g6 d3e2 f8g7 b2b4 c5e6 f2f4 e8g8 f1d1 d8e7 b4b5 e7c5 c2b3 e6f4 e2f1 g7e5 c3a4 c5d6 c1a3 c6c5 a4c3 e5c3 b3c3 f4h5 a3b2 h5f6 d1d2 d5d4 e3d4 f6e4 d4c5 d6c5 c3c5 e4c5 f1c4 f8f7 b2a3
Trencianske Teplice,Trencianske Teplice,1941.??.??,2,"Hucl, K.","Saemisch, Fritz",0-1,,,A00,d2d4
Trencianske Teplice,Trencianske Teplice,1941.??.??,2,"Milan, M.","Meyer, H.",1/2-1/2,,,A00,d2d4
Trencianske Teplice,Trencianske Teplice,1941.??.??,2,"Foltys, Jan","Potucek, Ludovit",1-0,,,A51,d2d4 g8f6 c2c4 e7e5 d4e5 f6e4 g1f3 f8b4 b1d2 b8c6 a2a3 e4d2 f3d2 b4e7 d2f3 d7d6 c1f4 c8f5 e2e3 g7g5 f4g3 d8d7 e5d6 c7d6 f3d4 c6d4 d1d4 e8g8 f1e2 d7e6 e1g1 f8d8 f1d1 e7f6 d4d2 a8c8 a1c1 g5g4 b2b4 h7h5 g3d6 f6e5 c4c5 e5d6 c5d6 c8c1 d2c1 d8d6 d1d6 e6d6 c1c3 f5e4 h2h4 d6d5 e2f1 d5d8 c3d4 d8e7 d4a7 e7h4 a7b8 g8h7 b8e5 e4g6 e5c7 h4f6 c7b7 h5h4 b7a6 f6a1 a6c4
Trencianske Teplice,Trencianske Teplice,1941.??.??,2,"Rohacek, Ivan Vladimir","Fuster, Geza",1/2-1/2,,,A00,d2d4
