Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Triberg,Triberg,1921.??.??,?,"Rubinstein, Akiba","Selezniev, Alexey Sergeevich",1-0,,,B08,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3 f8g7 h2h3 e8g8 c1e3 c7c6 d1d2 f8e8 f1d3 b7b5 e1g1 c8b7 a1d1 f6d7 f1e1 d7b6 e3h6 g7h8 e4e5 b8d7 d2f4 d7f8 c3e4 b6d5 f4h4 h8g7 a2a3 d8c7 c2c4 b5c4 d3c4 a8d8 h6g7 g8g7 c4d5 c6d5 e4f6 d6e5 f6e8 d8e8 f3e5 f7f6 e5d3 e7e5 d1c1 c7b8 d4e5 f6e5 e1e5
Triberg,Triberg,1921.??.??,?,"Selezniev, Alexey Sergeevich","Spielmann, Rudolf",0-1,,,D04,d2d4 g8f6 g1f3 c7c5 e2e3 e7e6 f1e2 b8c6 e1g1 d7d5 b2b3 c5d4 f3d4 f8d6 d4c6 b7c6 c1b2 e8g8 b1d2 e6e5 c2c4 c8f5 c4d5 c6d5 a1c1 d8b6 d2b1 a8d8 b1c3 d5d4 c3a4 b6b8 e3d4 e5d4 a4c5 d6h2 g1h1 b8f4 g2g3 f4h6 e2h5 f6h5 h1h2 h5g3
Triberg,Triberg,1921.??.??,?,"Bogoljubow, Efim","Rubinstein, Akiba",1-0,,,D37,d2d4 e7e6 c2c4 d7d5 g1f3 g8f6 b1c3 f8e7 c1f4 a7a6 c4c5 e8g8 e2e3 b8c6 f1d3 b7b6 c5b6 c7b6 a1c1 c8d7 h2h3 c6a5 e1g1 a5c4 d1e2 b6b5 b2b3 c4d6 f3e5 d7e8 c1c2 d6e4 c3b1 a8c8 f1c1 c8c2 e2c2 d8a5 f2f3 e4d6 e5g4 e8d7 g4f6 g7f6 c2f2 f8c8 f2g3 g8h8 c1c8 d7c8 f4d6
Triberg,Triberg,1921.??.??,?,"Selezniev, Alexey Sergeevich","Alekhine, Alexander",0-1,,,A05,d2d4 g8f6 g1f3 b7b6 g2g3 c8b7 f1g2 d7d6 e1g1 b8d7 c1f4 h7h6 b1c3 c7c5 d4d5 b6b5 f3e1 a7a6 a2a4 b5b4 c3e4 f6e4 g2e4 g7g6 c2c4 b4c3 b2c3 f8g7 a1b1 a8b8 c3c4 e8g8 d1c2 a6a5 e1f3 d8c7 f4d2 b7a6 e4d3 b8b4 d2b4 c5b4 f3d2 d7c5 d2b3 c5d7 c4c5 a6d3 e2d3 d6c5 f1e1 d7e5 e1e3 f8c8 b1c1 c7d7 d3d4 e5g4 e3e4 c5c4 b3c5 d7f5 c2e2 b4b3 e4g4 b3b2 e2b2 f5g4 c1c4 h6h5 b2c2 h5h4 c2d3 c8d8 f2f3 g4h5 d3e4 h4g3 h2g3 h5g5 g1g2 g5d2 g2h3 g7f6 c4c2 d2h6 h3g2 g8g7 g3g4 d8h8 g2f2 h8b8 f2e2 b8b4 c2d2 h6h2 e2e3 h2g1 e3e2 f6d4 c5d3 b4b1 d3c1 d4c3 e4b1 g1g2 e2d3 g2d2 d3c4 d2d4 c4b3 c3a1 b3a3 d4c5 a3a2 a1f6 g4g5 c5d5 c1b3 d5g5 b1e1 g5g2 e1d2 g2f3 d2a5 g6g5 a5e1 f3c3 e1c3 f6c3 a4a5 c3a5 b3a5 g5g4 a5c4 g4g3 c4d2 g7g6 a2b2 g6f5 d2f3 f5f4 f3g1 f4e3 b2c2 e3f2 g1h3 f2f1
Triberg,Triberg,1921.??.??,?,"Selezniev, Alexey Sergeevich","Rubinstein, Akiba",1-0,,,D63,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 b7b6 c4d5 e6d5 f1b5 c8b7 e1g1 a7a6 b5a4 c7c5 d4c5 d7c5 a4b3 c5e4 g5f4 a8c8 c3e2 e7c5 d1d3 d8e7 f4e5 f8d8 e5d4 e7e8 e2c3 e8e6 c1d1 e4c3 d4c3 f6e4 c3d4 e6e8 f3e5 c5d6 e5f3 e4c5 d3c3 b7c6 f1e1 c5e4 c3d3 c6b5 d3b1 e8c6 d4g7 b5c4 b3c4 c6c4 g7d4 d6b4 e1f1 c4e2 b1d3 e2d3 d1d3 b6b5 a2a3 b4f8 f3h4 c8c2 h4f5 h7h5 f2f3 e4d6 f5d6 d8d6 f1d1 f8g7 d4g7 g8g7 d3d2 d6c6 g1f2 g7g6 f2e2 h5h4 d2c2 c6c2 d1d2 c2c1 d2d5 h4h3 g2h3 c1h1 e2f2 h1h2 f2g3 h2b2 d5d6 g6g7 d6a6 b5b4 a3b4 b2b4 e3e4 b4b1 a6a5 b1g1 g3f2
Triberg,Triberg,1921.??.??,?,"Spielmann, Rudolf","Bogoljubow, Efim",1-0,,,C33,e2e4 e7e5 f2f4 e5f4 f1c4 g8f6 b1c3 b8c6 g1f3 f8b4 c3d5 f6e4 e1g1 e8g8 d2d4 e4f6 d5b4 c6b4 c1f4 d7d5 c4b3 f6e4 f3d2 e4g5 d1h5 g5e6 f4e3 b4c6 c2c3 c6e7 g2g4 g7g6 h5h4 f7f5 e3h6 f8f7 h2h3 g6g5 h6g5 e6g5 h4g5 f7g7 g5f6 d8d6 d2e4 d6c6 a1e1 g8h8 f6f8 e7g8 e4g3 f5g4 g3h5 g7g6 e1e7 g4h3 g1h1 c8g4 h5f6 c6f6 f1f6 a8f8 f6f8 g6g7 e7e5 c7c6 c3c4 g7d7 c4d5 c6d5 e5e8
Triberg,Triberg,1921.??.??,?,"Spielmann, Rudolf","Selezniev, Alexey Sergeevich",1/2-1/2,,,B57,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 c8d7 e1g1 g7g6 d4c6 d7c6 c1e3 f8g7 f2f3 e8g8 d1d2 a8c8 c4e2 f6d7 a1b1 a7a6 c3d5 b7b5 c2c3 d7e5 e3b6 d8d7 d5e3 d7b7 b6d4 g7h6 d2e1 e5c4 e3c4 b5c4 e2c4 e7e5 d4e3 h6e3 e1e3 c6e4 c4f7 b7f7 e3e4 f7a2 f1d1 f8d8 d1d5 a2b3 h2h3 c8c6 g1h2 d8c8 e4d3 b3b6 b1d1 b6b2 d5d6 c6d6 d3d6 b2b3 d1d5
Triberg,Triberg,1921.??.??,?,"Brinckmann, Alfred","Alekhine, Alexander",0-1,,,A05,d2d4 g8f6 g1f3 b7b6 g2g3 c8b7 f1g2 d7d6 b2b3 b8d7 c1b2 e7e5 d4e5 d6e5 e1g1 e5e4 f3e5 f8d6 e5d7 d8d7 b1d2 d7e6 e2e3 h7h5 d1e2 h5h4 d2c4 d6c5 f1d1 b7d5 c4a3 h4g3 h2g3 a7a6 c2c4 d5b7 a3c2 e6f5 b2a3 c5a3 c2a3 f6g4 a3c2 h8h2 e2d2 e8e7 c2b4 a8h8 d2e2 f5f3
Triberg,Triberg,1921.??.??,?,"Bogoljubow, Efim","Spielmann, Rudolf",1-0,,,D37,d2d4 e7e6 c2c4 d7d5 g1f3 g8f6 b1c3 f8e7 c1f4 a7a6 c4c5 e8g8 e2e3 b8c6 f1d3 b7b6 c5b6 c7b6 a1c1 c8d7 h2h3 c6a5 e1g1 a5c4 d1e2 b6b5 b2b3 c4d6 f3e5 d7e8 c1c2 d6e4 c3b1 a8c8 f1c1 c8c2 e2c2 d8a5 f2f3 e4d6 e5g4 e8d7 g4f6 g7f6 c2f2 f8c8 f2g3 g8h8 c1c8 d7c8 f4d6
Triberg,Triberg,1921.??.??,?,"Bogoljubow, Efim","Selezniev, Alexey Sergeevich",1-0,,,C16,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 g8e7 a2a3 b4a5 d1g4 e8f8 b2b4 a5b6 f1d3 a7a5 b4b5 a5a4 g1e2 b8d7 e1g1 c7c5 b5c6 b7c6 c1e3 c8a6 c3a4 a6d3 a4b6 d3f5 b6d7 d8d7 g4f3 f5c2 e3g5 e7c8 f1c1 c2f5 f3b3 h7h6 g5d2 f8g8 e2c3 g8h7 c3a4 h8e8 a4c5 d7c7 h2h3 c8b6 g2g4 f5g6 d2b4 b6c4 f2f4 f7f6 c1f1 f6e5 f4e5 c7b6 g1h2 a8b8 b3g3 b6b5 f1f2 c4b6 h3h4 b5c4 h4h5 g6e4 g3e3 h7g8 a1f1 g8h8 g4g5 h6g5 e3g5 e4f5 f2f4 e8g8 h5h6 g7g6 c5e6 b6d7 h6h7 g8e8 b4e7 b8b3 e7f6
