Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Turin,Turin,1982.??.??,1,"Kavalek, Lubomir","Portisch, Lajos",1/2-1/2,2590,2630,B51,e2e4 c7c5 g1f3 d7d6 f1b5 b8c6 e1g1 c8d7 f1e1 g8f6 b1c3 e7e6 d2d3 f8e7 c1f4 e8g8 e4e5 d6e5 f3e5 c6d4 e5d7 f6d7 a2a4 d7b6 a4a5 d4b5 c3b5 b6d5 f4e5 d8d7 b5c3 d5b4 c3e4 b4c6 e5c3 c6d4 e4d2 b7b5 a5b6 a7b6 a1a8 f8a8 d2f3 e7f6 h2h3 a8a2 f3d2 h7h6 d2c4 b6b5 c4e3 f6e7 d1b1 d7a7 c3d2 e7g5 c2c3 d4c6 e3f1 g5e7 d2e3 a7a6 f1d2 c5c4 d3c4 b5c4 b2b3 c4b3 b1b3 a2a3 b3c2 a3a2
Turin,Turin,1982.??.??,1,"Spassky, Boris V","Huebner, Robert",0-1,2625,2620,E24,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 c7c5 f2f3 b8c6 e2e4 d7d6 g1e2 b7b6 e2g3 c6a5 f3f4 e8g8 e4e5 f6e8 c1e3 c8a6 f1d3 a6c4 e1g1 f7f5 e5f6 e8f6 d1e2 c4d3 e2d3 d8d7 a1e1 a8e8 e3c1 a5c6 f4f5 e6f5 g3f5 e8e1 f1e1 c5d4 c3d4 d6d5 d3h3 g8h8 e1f1 f6e4 f1f3 f8f6 g2g4 c6e7 f5h4 d7a4 f3f6 a4d4 c1e3 d4f6 g4g5 e4g5 h3d7 g5e4 g1g2 e4c5 d7c7 c5e6 c7b8 e7g8 h4f3 f6g6 g2h3 g6e4
Turin,Turin,1982.??.??,1,"Karpov, Anatoly","Andersson, Ulf",1/2-1/2,2720,2605,B81,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 g2g4 h7h6 h1g1 b8c6 c1e3 f8e7 d1e2 c6d4 e3d4 e6e5 d4e3 c8e6 e1c1 f6d7 c1b1 a7a6 f2f4 e5f4 e3f4 e7f6 e2e3 f6e5 f4e5 d7e5 f1e2 a8c8 c3d5 c8c6 c2c3 e6d5 d1d5 d8h4 h2h3 e8g8 g1d1 h4e7 d1d4 f8e8 e3g3 e7f6 a2a3 e8e6 b1a2 c6c5 e2d1 c5d5 e4d5 e6e8 d4b4 f6f1 d1c2 b7b5 g3e3 f1g2 e3e4 g2e4 b4e4 g8f8 a3a4 e8c8 c2d1 c8c5 e4d4 f8e7 d1e2 e7d8 a2b3 d8c7 a4a5 c7b7 b3c2 c5c7 b2b4 c7e7 d4e4 e7e8 e2d3 e8c8 e4f4 c8e8 c2d2 e8c8 d3f1 c8c7 d2c2 c7c8 c2b3 c8c7 f1e2 c7c8 c3c4 b5c4 e2c4 g7g5 f4d4 f7f5 g4f5 c8f8 c4d3 e5d3 d4d3 f8f5 b3c4 h6h5 d3e3 f5f4 c4c3 f4f7 c3d4 b7c7 e3c3 c7b7
Turin,Turin,1982.??.??,2,"Andersson, Ulf","Spassky, Boris V",1/2-1/2,2605,2625,E08,g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 d2d4 f8e7 f1g2 e8g8 e1g1 b8d7 d1c2 c7c6 c1f4 a7a5 f1d1 a5a4 f3e5 d8a5 b1d2 d7e5 f4e5 f6g4 d2f3 g4e5 f3e5 f8d8 e2e3 c8d7 e5d7 d8d7
Turin,Turin,1982.??.??,2,"Huebner, Robert","Kavalek, Lubomir",1/2-1/2,2620,2590,B81,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 g2g4 h7h6 g4g5 h6g5 c1g5 b8c6 d1d2 d8b6 d4b3 a7a6 e1c1 c8d7 h2h4 c6e5 f1e2 a8c8 f2f4 c8c3 g5f6 c3c7 f6e5 d6e5 f4e5 f8b4 d2g5 h8h7 h4h5 b6f2 g5g4 f2e3 c1b1 b4e7 h1g1 d7c6 e2d3 e3h6
Turin,Turin,1982.??.??,2,"Ljubojevic, Ljubomir","Karpov, Anatoly",1-0,2600,2720,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d6 h2h3 c8b7 d2d4 f6d7 b1d2 e7f6 d2f1 f8e8 f1g3 g7g6 c1h6 c6a5 b3c2 c7c5 d4d5 a5c4 d1c1 f6g7 a2a4 c4b6 a4a5 b6c8 c3c4 g7h6 c1h6 d8f6 g3e2 c8e7 e2c3 b5b4 c2a4 b7c8 a4c6 e7c6 d5c6 b4c3 c6d7 c8d7 b2c3 f6e7 e1d1 e8d8 a1b1 d7a4 d1d2 a8b8 d2b2 b8b2 b1b2 f7f6 b2b6 e7c7 f3h2 a4c6 h2g4 d8f8 f2f3 f6f5 e4f5 f8f5 h6d2 g8g7 b6a6 e5e4 f3e4 f5f7 e4e5 c7c8 d2h6 g7h8 e5e6 f7g7 a6b6
Turin,Turin,1982.??.??,3,"Portisch, Lajos","Huebner, Robert",1/2-1/2,2630,2620,E03,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 d1a4 b8d7 g1f3 a7a6 a4c4 b7b5 c4c6 a8b8 c1f4 f6d5 f4g5 f8e7 g5e7 d8e7 e1g1 c8b7 c6c2 c7c5 d4c5 d7c5 b1c3 e8g8 c3d5 b7d5 f1c1 c5a4 f3e5 d5g2 g1g2 e7b7 g2g1 b8c8 c2d2 h7h6 e5d3 b7d5 c1c2 a4b6 c2c8 f8c8 b2b3 d5d6 a1c1 c8c1 d2c1 g8f8 d3c5 b6d5 c5e4 d6b6 a2a3 b6c7 e4c5 f8g8 b3b4 a6a5 e2e4 d5f6 c1f1 a5b4 a3b4 c7b8 f1d3 f6g4 g1g2
Turin,Turin,1982.??.??,3,"Spassky, Boris V","Ljubojevic, Ljubomir",1/2-1/2,2625,2600,B24,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 a8b8 g1h3 e7e6 e1g1 g8e7 c1e3 b7b6 d1d2 d7d5 e4d5 e6d5 e3h6 e8g8 h6g7 g8g7 h3f4 d5d4 c3d5 c8b7 f1e1 e7d5 f4d5 d8d6 e1e2 f8e8 a1e1 e8e5 c2c4 b8e8 f2f4 e5e2 e1e2 e8e2 d2e2 b7c8 a2a3
Turin,Turin,1982.??.??,3,"Kavalek, Lubomir","Andersson, Ulf",0-1,2590,2605,B82,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f2f4 b8c6 d4f3 f8e7 f1d3 c6b4 e1g1 b4d3 c2d3 e8g8 g1h1 b7b6 f3d4 c8b7 d1f3 g7g6 f3h3 e6e5 d4f3 e5f4 h3h6 f6h5 c1f4 h5f4 h6f4 a8c8 f3d4 e7g5 f4f3 d8d7 f3g3 g5e7 c3d5 b7d5 e4d5 f8e8 d4c6 e7f8 f1f2 f8g7 a1f1 e8f8 f2e2 c8e8 f1e1 e8e2 e1e2 f8e8 g3e1 e8e2 e1e2 g7f6 g2g4 g8g7 b2b4 b6b5 h1g2 h7h5 h2h3 h5g4 h3g4 a7a6 g2f3 d7c8 e2h2 c8e8 h2g1 e8h8 f3e2 h8h6 g1e3 h6h2 e3f2 h2h1 f2f3 h1a1
Turin,Turin,1982.??.??,4,"Karpov, Anatoly","Spassky, Boris V",1/2-1/2,2720,2625,B81,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 g2g4 h7h6 h1g1 b8c6 c1e3 g7g5 d1d2 c6e5 f1e2 e5g6 e1c1 a7a6 a2a3 c8d7 c1b1 d8c7 d4b3 f8e7 h2h4 g6h4 f2f4 g5f4 e3f4 d7c6 f4d6 e7d6 d2d6 c7d6 d1d6 e8e7 d6d4 h4g6 b3a5 g6e5 g4g5 h6g5 g1g5 f6d7
