Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Vrbas,Vrbas,1980.??.??,?,"Ivanovic, Bozidar","Bukic, Enver",1-0,2440,2500,B46,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 a7a6 f1e2 g8e7 d4b3 c6a5 b3a5 d8a5 e1g1 e7c6 a2a3 d7d6 c1e3 f8e7 f2f4 e8g8 d1e1 b7b5 e1g3 a5c7 a1d1 g8h8 f4f5 c6e5 g3h3 c8d7 g2g4 a8e8 f1f2 c7b7 g4g5 e6f5 e4f5 g7g6 c3d5 d7f5 h3h6 f7f6 g5f6 f8f6 d5f6 e7f6 f2f5 e5f7 f5f6 f7h6 e3h6 b7a7 g1h1 a7b7 e2f3 b7e7 f6d6 e7h4 h6d2 h8g7 d6d7 e8e7 d2b4 e7d7 d1d7 g7h8 f3d5
Vrbas,Vrbas,1980.??.??,?,"Gligoric, Svetozar","Petrosian, Tigran V",1/2-1/2,2565,2615,D27,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 e7e6 f1c4 c7c5 e1g1 a7a6 a2a4 b8c6 d1e2 c5d4 f1d1 f8e7 e3d4 e8g8 b1c3 f6d5 e2e4 d5f6 e4e2 f6d5 e2e4 d5f6 e4e2
Vrbas,Vrbas,1980.??.??,?,"Gligoric, Svetozar","Jussupow, Artur",0-1,2565,2485,D48,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 e2e3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 a7a6 e3e4 c6c5 d4d5 c5c4 d5e6 f7e6 d3c2 c8b7 e1g1 d8c7 f3g5 d7c5 f2f4 h7h6 e4e5 c5d3 c2d3 e8c8 g5f3 d8d3 d1e2 f8c5 g1h1 f6d5 c3e4 h8f8 f3e1 d3d4 e4c5 c7c5 e2g4 c5e7 e1f3 d4f4 c1f4 f8f4 g4g3 g7g5 a1e1 e7b4 f1f2 d5e7 a2a3 b4c5 f2d2 e7f5 g3h3 g5g4 h3h5 c8b8 f3h4 c5e5 h5e8 b8a7 d2d1 f4e4 e1e4 e5e4 e8f8 e4c6 d1d2 c4c3 b2c3 c6c3 d2d1 c3c2 f8d8 c2f2
Vrbas,Vrbas,1980.??.??,?,"Gligoric, Svetozar","Bukic, Enver",1-0,2565,2500,E43,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 f1d3 c8b7 g1f3 f6e4 e1g1 f7f5 d4d5 b4c3 b2c3 b8a6 f3d4 a6c5 d3e4 f5e4 c1a3 e8g8 a1b1 a8b8 a3c5 b6c5 d4e2 b7a6 b1b8 d8b8 d1a4 b8b6 e2f4 e6e5 f4h5 a6c8 h5g3 d7d6 g3e4 b6a6 a4b3 c8f5 e4d2 f5d3 f1a1 e5e4 a2a4 a6c8 a1a2 c8f5 d2f1 h7h5 h2h3 g8h7 a2b2 a7a6 f1g3 f5e5 g3e2 d3e2 b2e2 h5h4 e2b2 f8f5 b3c2 g7g6 b2b7 f5f7 b7a7 h7g7 a7a6 g6g5 a6a8 e5f5 c2e2 f5f6 e2c2 f6f5 a8e8 g5g4 h3g4 f5g4 e8e4
Vrbas,Vrbas,1980.??.??,?,"Ivanovic, Bozidar","Jussupow, Artur",1/2-1/2,2440,2485,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 b1c3 e4c3 d2c3 f8e7 c1f4 e8g8 d1d2 b8d7 e1c1 d7c5 f3d4 f8e8 f2f3 c5e6 f4e3 e7g5 e3g5 d8g5 d2g5 e6g5 d4b5 g5e6 d1e1 c8d7 e1e6 d7b5 e6e8 b5e8 f1d3 e8c6 h1e1 g8f8 c1d2 h7h6 d3e4 d6d5 e4d3 a8e8 e1e8 c6e8 c3c4 d5c4 d3c4 f8e7
Vrbas,Vrbas,1980.??.??,?,"Adorjan, Andras","Kurajica, Bojan",1/2-1/2,2550,2505,B85,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f1e2 f8e7 f2f4 b8c6 c1e3 c8d7 e1g1 a7a6 d1e1 e8g8 e1g3 d8b8 g1h1 b7b5 e4e5 d6e5 f4e5 c6e5 f1f6 e7f6 e3f4 b8b6 f4e5 f6e5 g3e5 f7f6 e5e4 b5b4 c3d1 e6e5 e4d5
Vrbas,Vrbas,1980.??.??,?,"Gligoric, Svetozar","Adorjan, Andras",1/2-1/2,2565,2550,E43,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 f1d3 c8b7 g1f3 e8g8 e1g1 c7c5 c3a4 c5d4 a2a3 b4e7 e3d4 d7d6 f1e1 b8d7 a4c3 a7a6 d4d5 e6d5 c4d5 d7e5 f3e5 d6e5 e1e5 e7d6 e5e3 f6d5 c3d5 b7d5 d3h7 g8h7 d1h5 h7g8 e3h3 f7f5 h5h7 g8f7 h7f5 f7e8 h3e3 d6e7 f5g6 f8f7 c1d2 a8a7 a1e1 d5e4 e3e4 d8d2 g6b6 a7d7 h2h3 e8f8 e4e2 d2d6 b6a5 f8g8 b2b4 e7d8 e2e8 f7f8 e8f8 g8f8 a5h5 g7g6 h5h8 f8f7 h8h7 f7f8 h7h8
Vrbas,Vrbas,1980.??.??,?,"Bukic, Enver","Petrosian, Tigran V",1/2-1/2,2500,2615,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 d7d5 f1g2 f8b4 c1d2 b4e7 f3e5 c7c6 d2c3 f6d7 e5d7 b8d7 b1d2 f7f5 e1g1 e8g8 a2a4 a8c8 f1e1 d7f6 a4a5 b6b5 c4c5 g8h8 b3b4 d8c7 a1a3 c8e8 c3b2 f6d7 d2f3 g7g5 f3e5 e7f6 d1a1 a6c8 f2f3 d7e5
Vrbas,Vrbas,1980.??.??,?,"Adorjan, Andras","Popovic, Petar",1-0,2550,2490,A16,c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5c3 b2c3 f8g7 a1b1 b8d7 g1f3 e8g8 e1g1 d7b6 f3g5 a8b8 d1c2 c8d7 d2d3 d7a4 c2d2 d8d7 c3c4 f8d8 c4c5 b6d5 g5f7 g8f7 g2d5 d7d5 d2f4 g7f6 f4a4 d5c5 c1e3 c5h5 f1e1 f7g7 e3a7 b8a8 b1b7 d8d5 a4c4 c7c6 c4c6 a8d8 a7b6 d8d6 c6c8
Vrbas,Vrbas,1980.??.??,?,"Adorjan, Andras","Petrosian, Tigran V",1/2-1/2,2550,2615,C95,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d6 h2h3 c6b8 d2d4 b8d7 b1d2 c8b7 b3c2 f8e8 d2f1 e7f8 f1g3 g7g6 a2a4 c7c5 d4d5 c5c4 c1g5 f8g7 a1a3 d7c5 d1e2 d8c7 e1a1 f6d7 a4b5 a6b5
