Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Waddinxveen,Waddinxveen,1979.??.??,1,"Kavalek, Lubomir","Hort, Vlastimil",1/2-1/2,2590,2600,C19,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 g8e7 a2a3 b4c3 b2c3 c7c5 a3a4 d8a5 c1d2 b8c6 g1f3 c8d7 g2g3 e8c8 f1h3 f7f5 h3g2 h7h6 h2h4 a5c7 d2c1 c5d4 c3d4 c6b4 e1d2 d7e8 c1a3 b4c6 a3d6 d8d6 e5d6 c7d6 d2c1 f5f4 f3e5 c6e5 d4e5 d6e5 a1a3 e7c6 h1e1 e5d6 a3c3 d6b4 d1d2 b4a4 d2f4 d5d4 c3b3 a4a1 c1d2 a1a5 d2d1 a5a1 d1d2 a1a5 d2d1
Waddinxveen,Waddinxveen,1979.??.??,1,"Sosonko, Gennadi","Karpov, Anatoly",0-1,2535,2705,E05,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 d5c4 d1c2 a7a6 c2c4 b7b5 c4c2 c8b7 c1d2 b7e4 c2c1 b5b4 d2g5 h7h6 g5f6 e7f6 b1d2 e4d5 c1c2 b8d7 e2e4 d5b7 f1d1 f6e7 d2c4 c7c5 d4c5 d8c7 d1d7 c7d7 c4b6 d7b5 b6a8 f8a8 a1c1 a8c8 f3d4 b5c5 c2c5 e7c5 d4b3 c5b6 e4e5 c8c1 b3c1 b7c8 g2e4 a6a5 g1g2 b6d4 c1d3 f7f5 e5f6 g7f6 g3g4 g8f8 b2b3 f8e7 g2g3 e7d6 g3f4 c8d7 h2h3 d7b5 f2f3 b5d7 f4g3 f6f5 g4f5 e6f5 e4b7 d7b5 d3e1 d4c3 e1c2
Waddinxveen,Waddinxveen,1979.??.??,2,"Hort, Vlastimil","Karpov, Anatoly",1/2-1/2,2600,2705,B19,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 h2h4 h7h6 g1f3 b8d7 h4h5 g6h7 f1d3 h7d3 d1d3 e7e6 c1f4 d8a5 f4d2 a5c7 e1c1 e8c8 c2c4 g8f6 c1b1 c6c5 d2c3 c5d4 f3d4 a7a6 d4f3 f8e7 d3e2 e7d6 g3e4 f6e4 e2e4 d7f6 e4e2 c7c5 f3e5 d6e5
Waddinxveen,Waddinxveen,1979.??.??,2,"Kavalek, Lubomir","Sosonko, Gennadi",1/2-1/2,2590,2535,B70,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f1e2 f8g7 e1g1 b8c6 d4b3 e8g8 g1h1 c8e6 f2f4 d8c8 e2f3 e6g4 c3d5 g4f3 d1f3 b7b5 c2c3 b5b4 c1d2 c8b7 a1e1 a7a5 d5f6 e7f6 b3c1 f8e8 c1d3 b7b5 f4f5 g6g5 h2h4
Waddinxveen,Waddinxveen,1979.??.??,3,"Karpov, Anatoly","Kavalek, Lubomir",1-0,2705,2590,B92,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e5 d4b3 f8e7 e1g1 e8g8 c1g5 c8e6 f2f4 e5f4 g5f4 b8c6 g1h1 f8e8 d1e1 f6d7 a1d1 d7e5 c3d5 e7f8 e1f2 e5d7 f4g3 c6e5 g3h4 d8c8 c2c3 b7b5 h4g5 c8b7 b3a5 b7c8 f2d4 e5c6 a5c6 c8c6 c3c4 e6d5 c4b5 a6b5 d4d5 c6d5 d1d5 e8e4 e2b5 d7e5 a2a4 e4b4 g5c1 f8e7 h2h3 a8b8 f1f4 b4b3 f4f2 e7h4 f2c2 h4g3 c1d2 h7h5 c2c3 b3c3 d2c3 h5h4 d5d6 e5c4 d6d5 c4d6 b5d3 b8e8 a4a5 d6e4 d3e4 e8e4 h1g1 e4a4 g1f1 f7f6 f1e2 g8f7 d5d7 f7g6 b2b4 g3e5 c3d2 g6f5 d7g7
Waddinxveen,Waddinxveen,1979.??.??,3,"Sosonko, Gennadi","Hort, Vlastimil",1/2-1/2,2535,2600,D34,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 g2g3 c7c5 c4d5 e6d5 f1g2 b8c6 e1g1 f8e7 b1c3 e8g8 c1g5 c8e6 d4c5 e7c5 g5f6 d8f6 c3d5 f6b2 d5c7 a8d8 d1c1 b2c1 a1c1 b7b6 c7e6 f7e6 g2h3 f8f6 f3g5 c6d4 g1g2 f6g6 e2e3 g6g5 e3d4 d8d4
Waddinxveen,Waddinxveen,1979.??.??,4,"Hort, Vlastimil","Kavalek, Lubomir",1/2-1/2,2600,2590,A20,c2c4 e7e5 b1c3 g8f6 g2g3 c7c6 d2d4 e5d4 d1d4 d7d5 g1f3 f8e7 c4d5 c6d5 f1g2 b8c6 d4a4 e8g8 c1e3 f6g4 e3d4 c6d4 f3d4 g4f6 e1g1 e7c5 a1d1 d8b6 d1d2 c8d7 a4d1 c5d4 d2d4 b6b2 c3d5 f6d5 g2d5 d7h3 d4d2
Waddinxveen,Waddinxveen,1979.??.??,4,"Karpov, Anatoly","Sosonko, Gennadi",1-0,2705,2535,B63,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 f8e7 e1c1 e8g8 d4b3 d8b6 g5e3 b6c7 f2f3 a7a6 g2g4 b7b5 c1b1 f6d7 f3f4 d7b6 d2f2 b6a4 c3e2 c8b7 f1g2 a8c8 e2c1 b5b4 g4g5 f8e8 h2h4 c6a5 b3a5 c7a5 c1b3 a5c7 h4h5 a6a5 h1e1 e7f8 g2f3 e8d8 g5g6 h7g6 h5g6 f7g6 e1g1 a4c5 b3c5 d6c5 d1d8 c8d8 g1g6 c7f7 g6g1 c5c4 g1h1 f8e7 f2h2 g8f8 h2e2 f8g8 e2c4 d8c8 c4b5 e7d6 b5g5 f7c7 g5g6 c7c2 b1a1
Waddinxveen,Waddinxveen,1979.??.??,5,"Kavalek, Lubomir","Karpov, Anatoly",1/2-1/2,2590,2705,B19,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 h2h4 h7h6 g1f3 b8d7 h4h5 g6h7 f1d3 h7d3 d1d3 g8f6 c1f4 d8a5 f4d2 a5c7 e1c1 e7e6 d3e2 c6c5 c1b1 e8c8 c2c4 f8d6 g3e4 f6e4 e2e4 d7f6 e4e2 h8e8 d2c3 e8e7 f3e5 c5d4 c3d4 d6e5 d4e5 c7a5 d1d8 c8d8 f2f3 e7d7 g2g4 d8e7 h1h2 f6e8 a2a3 a5a4 h2h1 a4b3 e5c3 e8d6 h1c1 d6c4 c3b4 c4d6 c1c3
Waddinxveen,Waddinxveen,1979.??.??,5,"Hort, Vlastimil","Sosonko, Gennadi",1/2-1/2,2600,2535,A28,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e3 f8b4 d1c2 b4c3 c2c3 d8e7 a2a3 a7a5 f1e2 e8g8 e1g1 d7d5 d2d3 f8d8 c4d5 f6d5 c3c2 a5a4 c1d2 c8e6 f1e1 f7f6 d3d4 e5d4 e2d3 g7g6 f3d4 c6d4 e3d4 e7d7 d3g6 h7g6 c2g6 g8h8 g6h6 h8g8 h6g6 g8h8
Waddinxveen,Waddinxveen,1979.??.??,6,"Sosonko, Gennadi","Kavalek, Lubomir",0-1,2535,2590,E97,d2d4 g7g6 c2c4 f8g7 b1c3 d7d6 e2e4 g8f6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 b2b4 f6h5 g2g3 f7f5 f3d2 h5f6 c4c5 f5f4 d2c4 c8h3 f1e1 e7c8 a2a4 h7h5 d1d3 f6g4 c3d1 g4h6 a1a3 h3g4 e2f1 c8e7 h2h3 g4c8 a3b3 g6g5 c1a3 h6f7 b4b5 b7b6 c5d6 c7d6 a3b4 e7g6 b3a3 g5g4 h3h4 a7a5 b5a6 c8a6 d3b1 g6h4 g3h4 d8h4 c4d6 f7g5 f1a6 f4f3 a6f1 g5h3 f1h3 h4h3 d1e3 g4g3
Waddinxveen,Waddinxveen,1979.??.??,6,"Karpov, Anatoly","Hort, Vlastimil",1-0,2705,2600,A30,c2c4 g8f6 g1f3 e7e6 b1c3 c7c5 g2g3 b7b6 f1g2 c8b7 e1g1 d7d5 c4d5 f6d5 d2d4 d5c3 b2c3 b8d7 f1e1 c5d4 c3d4 f8b4 c1g5 f7f6 g5d2 b4d2 d1d2 a8c8 d2d3 d8e7 a1c1 e8g8 f3g5 f6g5 g2b7 d7c5 d4c5 e7b7 d3e3 c8c5 c1c5 b6c5 e1c1 b7d5 c1c5 d5a2 c5g5 a2b1 g1g2 b1b6 g5e5 b6e3 e5e3 f8e8 e3a3 e8e7 a3a5 g8f7 h2h4 h7h6 g3g4 f7f6 f2f4 e7b7 g2f3 b7c7 a5a6 g7g6 a6a5 c7d7 e2e3 d7b7 h4h5 g6g5 a5a6 g5f4 e3f4 b7b3 f3g2 b3b7 g2g3 f6f7 a6a4 f7g7 g4g5 b7c7 a4a5 g7g8 a5b5 g8f7 g3g4 a7a6 b5b8 c7c1 g5g6 f7g7 b8b7 g7f8 b7b6 c1g1 g4f3 g1f1 f3e4 f1e1 e4d4 f8e7 b6a6 e7f6 a6a7 e6e5 f4e5 e1e5 a7a6
