Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Hoogovens,Wijk aan Zee,1976.??.??,1,"Sosonko, Gennadi","Browne, Walter S",1/2-1/2,2505,2585,E18,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3 f6e4 c3e4 b7e4 f3e1 d7d5 c4d5
Hoogovens,Wijk aan Zee,1976.??.??,1,"Dvorietzky, Mark I","Ljubojevic, Ljubomir",0-1,2540,2620,B51,e2e4 c7c5 g1f3 d7d6 f1b5 b8d7 d2d4 g8f6 b1c3 a7a6 b5d7 f6d7 c1g5 h7h6 g5h4 g7g5 h4g3 f8g7 e1g1 g5g4 f3h4 c5d4 h4f5 d4c3 f5g7 e8f8 g7f5 c3b2 a1b1 d7f6 g3h4 c8f5 e4f5 d8b6 f1e1 a8c8 e1e3 b6b5 h4f6 e7f6 e3b3 b5f5 b1b2 b7b5 h2h3 h6h5 b3b4 d6d5 h3g4 h5g4 d1g4 c8c2 b2c2 f5c2 b4d4 f6f5 g4f3 c2a2 d4d5 a2a1 d5d1 a1e5 g2g3 f8g7 f3a3 h8h6 a3c1 e5e4 c1g5 g7h7
Hoogovens,Wijk aan Zee,1976.??.??,1,"Kurajica, Bojan","Bohm, Hans",1-0,2525,2425,B10,e2e4 c7c6 d2d3 d7d5 b1d2 g7g6 f2f4 g8f6 g1f3 f8h6 e4e5 f6h5 g2g3 f7f6 d3d4 e8g8 d2b3 b7b6 c1e3 c8g4 f1e2 b8d7 f3h4 g4e2 d1e2 f6e5 d4e5 c6c5 c2c4 d5d4 e3d2 d8c7 e1g1 a7a5 a2a4 e7e6 e2e4 h5g7 g3g4 c7d8 g4g5 g7f5 h4f5 g6f5 e4c6 h6g7 c6e6 g8h8 e6d5 a8c8 b3c1 d7b8 a1a3 b8c6 a3h3 d8e8 c1e2 c8d8 d5f3 e8e6 e2g3 c6e7 b2b3 f8f7 g3h5 d8g8 g1f2 e6c6 f1e1 c6f3 f2f3 e7g6 e5e6 f7e7 h5f6 g7f8 f6g8 h8g8 f3f2 g8g7 h3d3 e7e8 d3h3 f8d6 f2f3 d6e7 e1e2 g7g8 h3g3 e8d8 g3g1 g8f8 g1h1 d4d3 e2f2 d8d4 h2h4 e7d6 f3g3 f8e7 h1e1 g6f8 h4h5 f8e6 g5g6 h7g6 h5h6 g6g5 h6h7 d6f4 d2f4 g5f4 g3f3
Hoogovens,Wijk aan Zee,1976.??.??,1,"Langeweg, Kick","Ree, Hans",1/2-1/2,2450,2420,A09,g1f3 d7d5 c2c4 d5d4 g2g3 b8c6 d2d3 e7e5 f1g2 g8f6 e1g1 f6d7 b1a3 f8e7 a3c2 e8g8 c1d2 a7a5 a2a3 f7f5 b2b4 e7f6 a1b1 d7b6 b4a5 c6a5 f3e5 f6e5 b1b5 a5c4 d3c4 e5f6 d2b4 f8e8 b4c5 b6c4 g2b7 c8b7 b5b7 d8d5 b7c7 a8d8 c5b4 c4e5 c2e1 f5f4 g3f4 e5g6 e1d3 d5e4 f2f3 e4e3 g1h1 e3e2 d1e2
Hoogovens,Wijk aan Zee,1976.??.??,1,"Smejkal, Jan","Olafsson, Fridrik",1/2-1/2,2615,2550,D76,g1f3 g8f6 g2g3 g7g6 c2c4 f8g7 f1g2 d7d5 c4d5 f6d5 d2d4 d5b6 e1g1 b8c6 e2e3 e7e5 b1c3 e8g8 d4d5 c6e7 e3e4 c8g4 a2a4 c7c6 a4a5 b6c8 h2h3 g4f3 d1f3 c6d5 c3d5 e7d5 f1d1 c8e7 f3b3 d8d6 e4d5 e7f5
Hoogovens,Wijk aan Zee,1976.??.??,1,"Tal, Mihail","Andersson, Ulf",1/2-1/2,2615,2585,B84,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f2f4 a7a6 f1e2 f8e7 e1g1 e8g8 g1h1 d8c7 d1e1 b8d7 e2f3 f8e8 g2g4 d7b6 a2a4 e7f8 e1g3 b6c4 g4g5 f6d7 d4e2 a8b8 b2b3 c4a5 c1b2 a5c6 g3h4 b7b5 a4b5 a6b5 f1g1 g7g6 g1g3 f8g7 g3h3 d7f8 e4e5 d6d5 c3d1 c6e7 d1e3 e7f5 e3f5 e6f5 e2c3 c8e6 h4f2 e8d8 c3a2 b5b4 b2d4 d8c8 f3d1 e6d7 a2c1
Hoogovens,Wijk aan Zee,1976.??.??,2,"Bohm, Hans","Ljubojevic, Ljubomir",0-1,2425,2620,A46,d2d4 g8f6 c2c3 d7d6 g1f3 b8d7 c1g5 h7h6 g5h4 g7g5 h4g3 f6h5 e2e3 f8g7 f1d3 e7e6 b1d2 f7f5 f3g1 d7f6 f2f3 h5g3 h2g3 d6d5 g1e2 d8d6 d1b3 c7c5 b3b5 f6d7 e3e4 a7a6 b5a4 c5d4 c3d4 d5e4 f3e4 e8g8 a4b3 f5e4 d2e4 d6d5 b3c2 b7b5 e4c3 d5d6 d3h7 g8h8 h7e4 a8a7 e4f3 e6e5 e1c1 a7c7 c1b1 d7b6 g3g4 b5b4 c3e4 d6e7 c2b3 e5d4 e2d4 c8g4 h1e1 g4f3 d4f3 b6c4 e4d6 e7f6 d6c4 c7c4 f3e5 f6f5 b1a1 c4e4 e5f7 h8h7 e1e4 f5e4 d1h1 e4g6 f7h6 g7h6 b3b4 f8f7 g2g4 g6c6 b4e1 h7g8 h1f1 f7f1 e1f1 h6g7 a2a3 c6c2
Hoogovens,Wijk aan Zee,1976.??.??,2,"Andersson, Ulf","Dvorietzky, Mark I",1/2-1/2,2585,2540,A15,g1f3 g8f6 c2c4 g7g6 b2b3 f8g7 c1b2 e8g8 e2e3 d7d6 d2d3 c7c5 f1e2 b8c6 e1g1 a7a6 b1d2 b7b5 a2a3 c8d7 d1c2 d8b6 f1b1 a8b8 h2h3 f8c8 b2c3 b5c4 b3c4 b6c7 b1b8 c8b8 a1b1 b8b1 d2b1 c7b6 f3d2 f6e8 c3g7 g8g7 b1c3 e8c7 c2b3 b6b3 d2b3 g7f8 g1f1 e7e5 f1e1 f8e7 e1d2 g6g5 g2g4 f7f5 g4f5 d7f5 e2g4 f5g6 d2e2 h7h6 g4f3 g6e8 b3d2 c6d8 d2e4 d8e6 e4g3 e6g7 e2f1 e8d7 f1g2 g7f5 g3f5 d7f5 f3e4 f5e6 e4b7 a6a5 b7c6 c7e8 c6e8 e7e8 g2g3 e6f5 e3e4 f5d7 h3h4 g5h4 g3h4 e8f7 f2f3 f7f6 c3d5 f6g7 h4g3 g7f7 d5e3 f7f6 g3h4 f6g6 e3d1 d7a4 d1e3 a4d7 e3d5 g6g7 h4g3 g7f7 d5c3
Hoogovens,Wijk aan Zee,1976.??.??,2,"Browne, Walter S","Smejkal, Jan",1-0,2585,2615,C95,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 e1g1 f8e7 f1e1 b7b5 a4b3 g8f6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 b1d2 c8b7 b3c2 f8e8 b2b4 e7f8 a2a4 d7b6 a4a5 b6d7 c1b2 a8b8 a1b1 b7a8 b2a1 g7g6 c3c4 b5c4 d4e5 d7e5 f3e5 d6e5 a1c3 a8c6 d1e2 c6b5 d2c4 c7c5 b4c5 f8c5 c2b3 d8c7 e2f3 g8g7 b1c1 b8d8 c4e3 c7e7 e3d5 f6d5 b3d5 f7f6 c3d2 d8c8 f3g4 e7d7 g4d7 b5d7 d5b7 c8b8 b7a6 c5d4 c1c7 e8e7 a6b7 g7f7 d2b4
Hoogovens,Wijk aan Zee,1976.??.??,2,"Olafsson, Fridrik","Tal, Mihail",1/2-1/2,2550,2615,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 e6d5 c1g5 f8e7 e2e3 e8g8 a1c1 b8d7 f1d3 f6e4 g5e7 d8e7 e1g1 c7c5
