Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
4th Zurich CC Classical,Zurich SUI,2015.02.14,1.1,"Anand,V","Kramnik,V",1/2-1/2,2797,2783,D36,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4d5 e6d5 c1g5 c7c6 d1c2 f8e7 e2e3 b8d7 g1f3 f6h5 g5e7 d8e7 e1c1 d7b6 f3e5 h5f6 f1d3 f6g4 e5f3 c8e6 c1b1 e8c8 h2h3 g4f6 f3d2 c8b8 d2b3 f6e8 b3c5 e8d6 f2f3 f7f5 g2g4 e6c8 d1e1 h8f8 c2h2 e7c7 h1f1 d8e8 b2b3 g7g6 d3c2 e8e7 f1f2 f8e8 f2e2 b6d7 c5d3 d6f7 h2c7 b8c7 g4f5 g6f5 d3f4 d7f6 h3h4 f7h8 b1c1 h8g6 f4g2 f6h5 e1g1 a7a5 c1d2 e7g7 g2e1 h7h6 e2g2 e8g8 c3e2 c7d6 a2a3 b7b6 b3b4 a5b4 a3b4 g6e7 g2g7 g8g7 g1g7 h5g7 e2f4 c6c5 b4c5 b6c5 d4c5
4th Zurich CC Classical,Zurich SUI,2015.02.14,1.2,"Aronian,L","Karjakin,Sergey",1/2-1/2,2777,2760,D47,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 c8b7 e3e4 b5b4 c3a4 c6c5 e4e5 f6d5 d4c5 d7c5 a4c5 f8c5 e1g1 c5e7 d1e2 d8b6 f3g5 h7h6 g5e4 a8d8 e2f3 b7a6 f1d1 e8g8 f3g3 g8h8 g3h3 h8g8 c1h6 g7h6 h3h6 f7f5 h6g6 g8h8 g6h6 h8g8 h6g6 g8h8 g6h6
4th Zurich CC Classical,Zurich SUI,2015.02.14,1.3,"Caruana,F","Nakamura,Hi",0-1,2811,2776,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 h2h3 e7e5 d4e2 h7h5 g2g3 b8d7 c1g5 f8e7 a2a4 d7c5 f1g2 c8e6 a4a5 b7b5 a5b6 d8b6 b2b3 e8g8 e1g1 a6a5 d1d2 f8c8 f1d1 a5a4 b3a4 e6c4 a4a5 b6d8 g5f6 e7f6 d2d6 d8d6 d1d6 c5b7 d6d2 a8a5 a1b1 b7c5 c3d5 f6d8 h3h4 a5a3 e2c3 c8a8 d2d1 d8a5 c3b5 a3a2 g2f3 g7g6 d5e7 g8g7 e7c6 c5a4 b5d6 c4e6 b1b7 a2c2 c6e5 a4c5 b7e7 g7f8 e5c6 c5b3 e4e5 a5b6 e7b7 b6f2 g1g2 f2c5 g2h1 a8a2
4th Zurich CC Classical,Zurich SUI,2015.02.15,2.1,"Kramnik,V","Nakamura,Hi",1/2-1/2,2783,2776,A14,g1f3 d7d5 g2g3 g8f6 f1g2 e7e6 e1g1 f8e7 c2c4 e8g8 b2b3 c7c5 c1b2 b8c6 c4d5 f6d5 d2d4 c5d4 f3d4 c6d4 d1d4 e7f6 d4d2 c8d7 g2d5 e6d5 f1d1 a8c8 b1c3 d7c6 c3d5 f6b2 d2b2 c6d5 e2e4 d5e4 d1d8 f8d8 b3b4 a7a6 a2a4 c8c4 a1e1 h7h6 b2e5 e4c6 b4b5 d8e8 e5e8 c6e8 e1e8 g8h7 e8e7 f7f6 a4a5 c4a4 e7b7 a4a5 b5b6 a5b5 g1f1 a6a5 f1g2 a5a4 h2h4 h6h5 b7b8 h7g6 b6b7 a4a3 b8a8 a3a2 g2h3 b5b7 a8a2 b7b3 h3g2 b3b5 a2e2 b5a5
4th Zurich CC Classical,Zurich SUI,2015.02.15,2.2,"Karjakin,Sergey","Caruana,F",1/2-1/2,2760,2811,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 e1g1 c6d4 f3d4 c5d4 c2c3 d4b6 b1a3 c7c6 b5a4 d7d6 a4b3 a7a5 a3c4 b6c7 c1g5 h7h6 g5h4 g7g5 h4g3 h6h5 f2f3 c8e6 c4e3 h5h4 g3f2 d6d5 f1e1 e8f8 h2h3 c7b6 d1c2 f6h5 d3d4 e5d4 c3d4 h5f4 e3g4 a5a4 b3a4 d5e4 e1e4 e6f5 a1d1 f8g7 a4b3 d8c7 g4e3 f5g6 e3c4 h8e8 g1h1 b6a7 c4e5 g6e4 f3e4 e8e5 d4e5 a7f2 c2f2 a8d8 f2e1 d8d1 e1d1 c7e5 d1d7 e5f6 e4e5 f6g6 h1h2 b7b6 e5e6 f4e6 d7c6
4th Zurich CC Classical,Zurich SUI,2015.02.15,2.3,"Anand,V","Aronian,L",1-0,2797,2777,D97,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4 b8a6 f1e2 c7c5 d4d5 e7e6 e1g1 e6d5 e4d5 f8e8 f1d1 c8f5 d5d6 h7h6 c1e3 f6g4 e3f4 g7c3 b2c3 e8e4 c4b5 e4f4 b5b7 f4a4 d6d7 f5e4 b7b3 e4c6 d1d6 c6d7 a1d1 d8b8 d6d7 b8b3 a2b3 a4a2 e2c4 a8f8 d7d6 g8g7 d6a6 a2f2 d1e1
4th Zurich CC Classical,Zurich SUI,2015.02.16,3.1,"Aronian,L","Kramnik,V",1/2-1/2,2777,2783,A14,c2c4 e7e6 g2g3 d7d5 f1g2 g8f6 g1f3 f8e7 e1g1 e8g8 d2d4 d5c4 d1c2 a7a6 a2a4 c8d7 c2c4 d7c6 c1g5 a6a5 b1c3 b8a6 g5f6 e7f6 e2e4 a6b4 f1d1 g7g6 h2h4 f6g7 d1d2 a8c8 a1d1 d8e7 d4d5 c6d7 g2h3 e6d5 c3d5 b4d5 h3d7 d5b6 c4c2 c8d8 c2c7 b6a4 e4e5 a4c5 d2d5 b7b6 c7c6 d8d7 d5d7 c5d7 d1d7 e7e8 c6d5 h7h6 d7b7 e8d8 d5b5 g6g5 h4g5 h6g5 b7b6 g5g4 f3h4 d8d1 g1g2 d1d4 b5c6 d4e5 c6c4 e5d4 c4d4 g7d4 b6b5 f8a8 h4f5 d4g7 f5e3 a5a4 e3g4 a8d8 b5a5 d8d4 g4e3 d4d2 e3f1 d2d4 a5b5 g7f8 f1e3 d4b4 b5g5 g8h7 g5h5 h7g8 h5a5 b4b2 a5a4 f8c5 e3d1 b2d2 a4a1 g8g7 g2f1 g7g6 a1b1 f7f5 f1e1 d2c2 b1b8 g6f6 b8h8 c5b4 e1f1 c2d2 d1e3 b4c5 h8h6 f6g5
4th Zurich CC Classical,Zurich SUI,2015.02.16,3.2,"Caruana,F","Anand,V",1/2-1/2,2811,2797,A07,g1f3 d7d5 g2g3 g7g6 f1g2 f8g7 d2d4 c7c6 c2c4 d5c4 b1a3 b7b5 a3b5 c6b5 f3h4 c8d7 g2a8 b8c6 a8c6 d7c6 e1g1 d8d5 f2f3 d5d4 g1h1 d4d1 f1d1 e7e6 a1b1 g8f6 c1e3 e8g8 h4g2 f6d5 e3d4 e6e5 d4a7 c4c3 g2e1 e5e4 a7d4 e4f3 e2f3 f8e8 d4g7 g8g7 e1c2 d5e3 d1e1 e3c2 e1e8 c6e8 b2c3 c2a3 b1d1 a3c4 h1g1 g7f6 d1d4 h7h5 g1f2 c4e5 h2h3 g6g5 f3f4 g5f4 g3f4 e5g6 c3c4 b5c4 d4c4 e8d7 a2a4 d7h3 a4a5 h3e6 c4d4 g6e7 a5a6 e7c8 f2g3 e6g4 d4c4 f6g6 c4c7 f7f6 a6a7 c8a7 c7a7 g4f5
4th Zurich CC Classical,Zurich SUI,2015.02.16,3.3,"Nakamura,Hi","Karjakin,Sergey",1-0,2776,2760,A33,g1f3 g8f6 c2c4 c7c5 b1c3 b8c6 d2d4 c5d4 f3d4 e7e6 g2g3 d8b6 d4b5 c6e5 c1f4 f6g4 d1a4 g7g5 f4e5 b6f2 e1d1 g4e5 b5c7 e8d8 c7a8 f2d4 d1c2 e5c4 e2e4 c4e3 c2b3 d4d2 a2a3 d2c2 b3a2 c2a4 c3a4 e3f1 h1f1 b7b5 a4b6 a7b6 a8b6 c8b7 f1f7 b7c6 a1d1 f8e7 f7f3 d8c7 b6d7 h8d8 f3c3
4th Zurich CC Blitz,Zurich SUI,2015.02.13,1.1,"Karjakin,Sergey","Anand,V",0-1,2760,2797,C47,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 e5d4 f3d4 f8b4 d4c6 b7c6 f1d3 e8g8 e1g1 d7d5 e4d5 c6d5 h2h3 a8b8 d1f3 c8b7 c1g5 h7h6 g5f6 d8f6 f3f6 g7f6 c3e2 b4d6 e2g3 b7c8 b2b3 f8e8 a1d1 g8f8 f2f4 d6b4 g1h2 b8b6 f1f3 b6d6 g3h5 e8e1 d1e1 b4e1 f3e3 e1d2 e3g3 f6f5 g3f3 d5d4 h5g3 d6f6 a2a4 a7a5 g3f1 d2b4 f3f2 c8b7 f1d2 b4c3 h2g1 b7d5 d2c4 d5c4 b3c4 f6b6 f2e2 b6b4 e2e5 b4a4 e5f5 a4a1 g1f2 a5a4 f5c5 a1e1 c5c7 e1e7 c7c8 e7e8 c8e8 f8e8 c4c5 a4a3 d3c4 e8e7 f2f3 c3b4 c5c6 f7f6 f3e4 e7d6 e4f5 b4c3 h3h4 c3d2 g2g3 d2e1 f5f6 e1g3 f4f5 g3h4 f6g7 d6c6 g7h6 c6c5 c4e6 c5b4 h6h5 h4d8 h5g4 b4c3 g4f3 c3c2
