Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Topalov,V","Abulhul,T",1-0,2737,2076,A17,g1f3 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 g2g3 e8g8 a2a3 b4c3 b3c3 b7b6 f1g2 c8b7 b2b4 d7d6 e1g1 b8d7 d2d3 a8c8 e2e4 d8c7 b4b5 f8e8 f1e1 h7h6 g2h3 c8d8 a1a2 b7c8 a3a4 e6e5 a4a5 d7f8 h3c8 d8c8 c1b2 c7d7 a5b6 a7b6 f3h4 d7h3 f2f3 f8e6 c3d2 f6h5 h4f5 e6g5 d2e3 e8e6 e1f1 g8h7 b2c1 e6g6 e3f2 c8e8 f2g2 h3g2 g1g2 g5e6 g2f2 e6g5 c1g5 h6g5 a2a7 g6f6 f5e3 e8b8 f1a1 h7g6 a7d7 f6e6 a1a7 b8f8 d7b7 h5f6 b7b6 f8h8 f2g2
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Adams,Mi","Asabri,Hu",1-0,2731,2277,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 d7d6 c2c3 c8d7 e1g1 g7g6 f1e1 f8g7 b1d2 e8g8 d2f1 f6h5 c1g5 d8e8 f1e3 h7h6 g5h4 g6g5 h4g3 h5g3 h2g3 c6e7 b5c4 a7a5 a2a4 d7e6 d1b3 e8d7 a1d1 e6c4 d3c4 b7b6 g3g4 f8e8 f3h2 e7g6 h2f1 g6f4 f1g3 g8h7 f2f3 e8h8 g1f2 h7g6 e1h1 d7c6 g3f5 g7f6 g2g3 c6c5 b3c2 f4e6 d1d5 c5c6 d5d2 a8e8 f2e1 e6c5 d2h2 h6h5 h2h5 h8h5 h1h5
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Solomon,K","Grischuk,A",0-1,2352,2719,D18,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 b8d7 f3h4 f5g6 h2h3 g6h5 g2g4 f6d5 h4g2 h5g6 c1d2 d5c3 b2c3 b4d6 d1b3 d8b6 g2f4 d6f4 e3f4 e8g8 c4e6 g6d3 b3b6 d7b6 e6b3 d3f1 g1f1 a8d8 f1e2 f8e8 d2e3 b6d5 e2d3 g7g6 e3d2 d8d7 a1b1 b7b6 c3c4 d5c7 f4f5 e8d8 d2c3 d7d4 c3d4 c6c5 f5g6 h7g6 b1e1 c7e6 d3c3 d8d4 a4a5 d4f4 a5b6 a7b6 b3c2 e6d4 e1e8 g8g7 e8e3 b6b5 c4b5 d4b5 c3d2 f4f2 d2c1 b5d4 c2d1 f2h2 g4g5 d4e6 e3e5 e6f4 d1c2 h2h3 e5c5 f4e6 c5a5 h3g3 c1d2 g3g5 a5a7 g5g2 d2c3 g2e2 c2d3 e2e5 d3c4 g6g5
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Ivanchuk,V","Arab,A",1-0,2716,2374,B63,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 f8e7 e1c1 e8g8 d4b3 a7a6 g5f6 e7f6 d2d6 f6c3 b2c3 d8f6 d6g3 e6e5 f1c4 c8e6 c4d5 f6e7 d1d3 a6a5 h1d1 a5a4 b3d2 b7b5 c1b2 e6d5 e4d5 c6a5 d5d6 e7b7 g3f3 a5c4 b2a1 b7b6 d2c4 b5c4 d1b1 b6b1 a1b1 c4d3 f3d3 a4a3 c3c4 a8a5 b1c1 f8c8 d6d7 c8d8 c4c5 a5c5 d3d6 c5a5 d6e7 a5a8 c2c4
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Kadhi,H","Short,N",0-1,2379,2712,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 d4c6 d8f6 d1d2 d7c6 b1c3 g8e7 d2f4 c8e6 c3a4 f6f4 c1f4 c5d6 f4d6 c7d6 e1c1 e8c8 a4c3 f7f5 e4f5 e6f5 f1d3 h8f8 h1e1 e7g6 f2f3 d6d5 g2g3 c8c7 f3f4 f5d3 d1d3 d8e8 d3d1 g6h8 c3e2 h8f7 e2d4 f8g8 b2b3 g7g6 c2c4 d5c4 d4e6 c7c8 b3c4 e8e7 e6c5 g8e8 e1e7 e8e7 d1d2 b7b6 c5d3 e7e4 c4c5 c8c7 c5b6 a7b6 d2f2 c6c5 d3e5 f7d6 f2d2 g6g5 d2f2 g5f4 g3f4 d6f5 f2d2 f5d4 d2g2 d4e2 c1b2 e2f4 g2g7 c7d6 e5f7 d6d5 g7h7 b6b5 h7h8 e4e2 b2b1 c5c4 h8d8 d5c5 f7g5 c5b4 d8d4 f4d3 g5e4 e2b2 b1a1 b2h2 a1b1 h2b2 b1a1 b2c2
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Malakhov,V","Haznedaroglu,K",1-0,2695,2395,D12,g1f3 d7d5 c2c4 c7c6 e2e3 g8f6 d2d4 c8f5 b1c3 e7e6 f3h4 f5g6 f1e2 b8d7 e1g1 f8d6 h2h3 e8g8 h4g6 h7g6 d1c2 d5c4 e2c4 d8e7 c1d2 c6c5 d4c5 d6c5 f1d1 a8c8 c4e2 f8d8 d2e1 c5b6 a1c1 d7e5 c2b3 d8d1 c1d1 e7c7 c3b5 c7c2 b3c2 c8c2 g1f1 e5c6 d1b1 c2c5 b5c3 c6e7 c3a4 c5c6 e2b5 c6c8 a4b6 a7b6 f2f3 e7f5 e1f2 f5d6 b5d3 f6d5 a2a3 b6b5 g2g3 d6c4 e3e4 d5f6 f1e2 c4e5 d3b5 c8c2 e2e3 g6g5 g3g4 e5g6 b5d3 c2c8 f2g3 f6d7 b1d1 e6e5 d3c4 c8c4 d1d7 c4c2 d7b7 c2g2 g3f2 g6f4 b7d7 g2h2 a3a4 f4g2 e3e2 g2f4 e2f1 h2h1 f2g1 h1h3 a4a5 h3f3 f1e1 f4g2 e1e2 f3b3 a5a6 g2f4 e2d1
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Dableo,R","Nisipeanu,LD",1/2-1/2,2426,2692,A36,g2g3 g7g6 f1g2 f8g7 e2e4 c7c5 g1e2 b8c6 d2d3 g8f6 c2c4 e8g8 e1g1 d7d6 b1c3 a7a6 h2h3 a8b8 f2f4 c8d7 c1e3 b7b5 d1d2 f6e8 a1b1 c6d4 g3g4 b5b4 c3d1 e7e6 e3f2 f7f5 e4f5 e6f5 g4g5 d8a5 b2b3 e8c7 d1e3 d4e2 d2e2 f8e8 e2c2 g7c3 e3d5 c7d5 g2d5 d7e6 d5f3 b8d8 f2e1 c3d4 e1f2 d4c3 f2e1 d6d5 b1c1 c3d4 e1f2 d5c4 d3c4 a5c7 f2d4 d8d4 c2h2 e6f7 c1d1 c7f4 h2f4 d4f4 g1f2 h7h6 g5h6 f4h4 f3g2 h4h6 f1e1 h6h7 e1e8 f7e8 d1d8 h7e7 d8c8 e7e5 g2d5 g8g7 c8c5 g6g5 c5c7 g7f6 c7a7 e5e7 a7a6 f6e5 a2a3 b4a3 b3b4 e8f7 d5f7 e7f7 a6a3 e5d4 a3g3 d4c4
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Sokolov,I","Simutowe,A",1-0,2690,2442,D27,d2d4 d7d5 g1f3 g8f6 c2c4 d5c4 e2e3 e7e6 f1c4 c7c5 e1g1 a7a6 a2a4 b8c6 b1c3 c5d4 e3d4 f8e7 f1e1 e8g8 c1f4 f6d5 f4g3 c6b4 f3e5 b7b6 c3d5 e6d5 c4b3 c8f5 d1f3 f5e6 a1c1 a8c8 c1c3 e7g5 g3f4 d8f6 f4g5 f6g5 f3e2 g5f4 e2d1 f4h6 h2h3 f8e8 c3e3 e8d8 d1e2 h6h4 e2d2 a6a5 e3c3 h4e7 e1c1 e7d6 d2e2 c8c3 b2c3 b4c6 e5g4 d6a3 c1b1 a3d6 g4e3 c6e7 b3c2 d8c8 e2a6 c8c6 a6a8 c6c8 a8a7 c8c6 c3c4 g7g6 c4d5 e7d5 c2e4 c6c7 a7b8 g8g7 e4d5 c7c1 b1c1 d6b8 d5c6 b8d6 d4d5 e6c8 c1b1 d6c5 b1d1 c8a6 d5d6 a6c8 c6b5 f7f5 d6d7 c8d7 d1d7 g7h6 g2g3 c5c1 g1g2 c1b1 d7d4 b1b2 d4d6 b2e5 d6b6 e5e4 g2g1 f5f4 g3f4 e4f4 b6c6 f4g5 g1f1 g5h5 e3g4 h6g7 c6c7 g7f8 c7c3 h5d5 c3e3 d5h1 f1e2 h1a1 g4e5 a1b2 e2f3 f8g7 f3g2 b2d2 e5d3 g7f6 e3e5 d2c3 e5d5 h7h5 d5e5 c3d4 e5e3 d4d5 g2g1 g6g5 e3g3 d5e4 g3e3 e4d5 b5e8 d5d4 e8c6 d4a1 g1g2 a1d4 d3e5 f6g7 e5f3
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Tissir,M","Dreev,A",0-1,2442,2689,B56,e2e4 c7c5 g1f3 d7d6 d2d4 g8f6 b1c3 c5d4 f3d4 b8c6 f2f3 e7e5 d4b3 f8e7 c1e3 e8g8 f1e2 a7a5 e2b5 c6a7 b5e2 c8e6 c3d5 e6d5 e4d5 a5a4 b3c1 d8a5 e3d2 a5d5 e1g1 d5d4 g1h1 d4b2 c1d3 b2b6 c2c4 a7c6 a1c1 f8d8 d1e1 d6d5 c4c5 b6c7 e1g3 d8e8 e2d1 f6d7 f1e1 e7f8 d1c2 g7g6 c2b1 f8g7 a2a3 d7f6 b1a2 c7d7 d3e5 e8e5 e1e5 c6e5 g3e5 f6e4 e5f4 e4f2 h1g1 f2d3
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Akopian,Vl","Gonzalez Garcia,J",1-0,2689,2443,C07,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d6 e1g1 g8f6 d2b3 b8c6 b3d4 c6d4 f3d4 a7a6 c4b3 d6c7 d1f3 f8d6 h2h3 e8g8 c1g5 f6d7 c2c3 b7b5 f1e1 c8b7 f3h5 d7c5 b3c2 g7g6 h5h4 f8e8 e1e3 d6e7 a1e1 a8d8 b2b4 e7g5 h4g5 d8d5 d4f5 c5a4 g5h6 d5f5 c2f5 b7d5 h3h4 c7d6 h4h5 d6f8 h6g5 f8e7 g5g3 e7f6 f5e4 d5e4 e3e4 f6c3 g3d6 c3c8 e4d4 a4c3 d6e5 c8b8 d4d6 f7f6 e5c5 e8c8 d6c6
