Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
World Championship 4th,Havana,1892.??.??,1,"Chigorin, Mikhail","Steinitz, William",1-0,,,C52,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d7d6 d2d4 c8g4 c4b5 e5d4 c3d4 g4d7 c1b2 c6e7 b5d7 d8d7 b1a3 g8h6 a3c4 a5b6 a2a4 c7c6 e4e5 d6d5 c4d6 e8f8 b2a3 f8g8 a1b1 h6f5 d6f7 g8f7 e5e6 f7e6 f3e5 d7c8 f1e1 e6f6 d1h5 g7g6 a3e7 f6e7 e5g6 e7f6 g6h8 b6d4 b1b3 c8d7 b3f3 a8h8 g2g4 h8g8 h5h6 g8g6 f3f5
World Championship 4th,Havana,1892.??.??,2,"Steinitz, William","Chigorin, Mikhail",1/2-1/2,,,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 d7d6 c2c3 g7g6 b1d2 f8g7 d2f1 e8g8 f1e3 d6d5 d1c2 a7a6 b5a4 d5e4 d3e4 f6d7 e1g1 d7c5 a4c6 b7c6 f1d1 d8e7 b2b3 c5e6 e3c4 e6f4 c1f4 e5f4 f3d4 c6c5 d4e2 g6g5 d1e1 c8b7 f2f3 a8e8 a1d1 g5g4 e2f4 e7g5 f4d5 g4f3 e1e3 f7f5 e4e5 f5f4 e3f3 g7e5 f3f2 f4f3 c4e5 e8e5 c3c4 b7d5 c4d5 f8e8 f2f3
World Championship 4th,Havana,1892.??.??,3,"Chigorin, Mikhail","Steinitz, William",1/2-1/2,,,C52,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d7d6 d2d4 c8g4 c4b5 e5d4 c3d4 g4d7 c1b2 g8f6 b1a3 e8g8 d4d5 c6e7 b2f6 g7f6 b5d7 d8d7 a3c4 a5b6 f3h4 g8h8 d1f3 f6f5 c4b6 a7b6 e4f5 a8a4 g2g3 c7c6 d5c6 b7c6 f1e1 e7d5 f3h5 f8g8 g1h1 d5f6 h5f3 d6d5 e1e2 d5d4 a1e1 d7d5 e2e7 h8g7 h1g1 d5f3 h4f3 f6d5 e7d7 d4d3 e1d1 g8e8
World Championship 4th,Havana,1892.??.??,4,"Steinitz, William","Chigorin, Mikhail",1-0,,,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 d7d6 c2c3 g7g6 b1d2 f8g7 d2f1 e8g8 b5a4 f6d7 f1e3 d7c5 a4c2 c5e6 h2h4 c6e7 h4h5 d6d5 h5g6 f7g6 e4d5 e7d5 e3d5 d8d5 c2b3 d5c6 d1e2 c8d7 c1e3 g8h8 e1c1 a8e8 e2f1 a7a5 d3d4 e5d4 f3d4 g7d4 d1d4 e6d4 h1h7 h8h7 f1h1 h7g7 e3h6 g7f6 h1h4 f6e5 h4d4
World Championship 4th,Havana,1892.??.??,5,"Chigorin, Mikhail","Steinitz, William",1/2-1/2,,,C52,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d7d6 d2d4 c8g4 c4b5 e5d4 c3d4 g4d7 c1b2 g8f6 b1a3 e8g8 d4d5 c6b8 a1c1 d7b5 a3b5 b8d7 d1c2 a7a6 b5d4 g7g6 d4e2 f8e8 e2g3 a8c8 c2d3 d8e7 d3a3 a5b6 a3c3 c7c6 f3d4 b6d4 c3d4 c6d5 e4d5 e7e5 d4b4 e5d5 c1d1 d5a2 d1d6 e8e6 b2f6 d7f6 b4b7 c8e8 d6d1 h7h5 d1a1 a2c4 f1c1 c4f4 h2h3 h5h4 g3f1 e6e2 b7f3 f4f3 g2f3 f6d5 c1c4 e2b2 a1d1 d5b6 c4c6 a6a5 f1e3 a5a4 d1d3 e8a8 d3a3 a8d8 f3f4 b2b5 g1g2 d8d4 g2f3 b5b4 f4f5 g6f5 c6f6 d4f4 f3g2 b4b2 e3d1 b2d2 f6b6 d2d1 b6a6 d1d2 a3f3 f4f3 g2f3 d2d3 f3f4 a4a3 f4f5
World Championship 4th,Havana,1892.??.??,6,"Steinitz, William","Chigorin, Mikhail",1-0,,,C59,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 c4b5 c7c6 d5c6 b7c6 b5e2 h7h6 g5h3 f8c5 e1g1 e8g8 d2d3 f6d5 c2c4 d5e7 g1h1 c8h3 g2h3 e7f5 f2f4 e5f4 c1f4 f5e3 f4e3 c5e3 b1c3 a8b8 a1b1 d8d7 b2b4 a5b7 b4b5 b7d8 e2g4 d7d4 b1b3 c6b5 c3b5 d4c5 f1f5 c5e7 b5c3 b8b3 a2b3 e3d4 c3d5 e7d6 b3b4 g7g6 f5f1 d8c6 d1d2 g8g7 g4f3 f8d8 f3g2 d4e5 d2e3 d8d7 f1e1 f7f6 b4b5 c6d4 e3f2 d6b8 g2e4 d4e6 e1f1 d7f7 e4g6 g7g6 f2f5 g6g7 f5e6 b8b7 d3d4 e5b8 f1g1 g7f8 e6f5 b8d6 c4c5 d6e7 c5c6
World Championship 4th,Havana,1892.??.??,7,"Chigorin, Mikhail","Steinitz, William",1-0,,,C52,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d7d6 d2d4 c8d7 d1b3 d8f6 d4e5 d6e5 f1d1 h7h6 c1a3 a8d8 b1d2 a5b6 c4d5 c6a5 b3b4 c7c5 b4b2 g8e7 d2b3 a5b3 b2b3 e8g8 d5b7 e7g6 c3c4 g6f4 b3e3 d7g4 b7d5 f8e8 a3b2 d8d6 d1d2 f4g2 g1g2 g4f3 e3f3 f6g5 g2h1 g5d2 f3f7 g8h7 a1g1
World Championship 4th,Havana,1892.??.??,8,"Steinitz, William","Chigorin, Mikhail",0-1,,,C58,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 c4b5 c7c6 d5c6 b7c6 b5f1 h7h6 g5h3 f8c5 d2d3 d8b6 d1e2 c8g4 f2f3 g4h3 g2h3 e8c8 b1d2 f6d5 d2b3 c5b4 c1d2 d5e3 d2b4 b6b4 c2c3 b4h4 e1d2 a5c4 d2c1 d8d3 f1g2 h8d8 a2a4 d3d1 h1d1 d8d1 e2d1 e3d1
World Championship 4th,Havana,1892.??.??,9,"Chigorin, Mikhail","Steinitz, William",1/2-1/2,,,C52,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d7d6 d2d4 c8d7 d1b3 d8f6 d4e5 d6e5 f1d1 h7h6 c4f7 f6f7 b3f7 e8f7 d1d7 g8e7 g1f1 f7e6 d7d3 a8d8 f3e1 e7c8 f1e2 c8d6 f2f3 b7b5 a2a3 a5b6 b1d2 c6a5 a1b1 a7a6 e1c2 d6b7 d3d8 h8d8 c2b4 b7c5 b4d5 c5a4 e2d1 c7c6 d5b6 a4b6 d1c2 b6c4 d2f1 d8d7 b1a1 c4b6 c1e3 b6a4 a1e1 a5c4 e3c1 c6c5 h2h4
World Championship 4th,Havana,1892.??.??,10,"Steinitz, William","Chigorin, Mikhail",0-1,,,C58,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 c4b5 c7c6 d5c6 b7c6 b5f1 h7h6 g5h3 f8c5 d1e2 e8g8 c2c3 c5b6 d2d3 f6d5 b1a3 f8e8 c1d2 c8f5 e1c1 a8b8 g2g4 f5g6 f1g2 b6c5 a3c2 d8b6 b2b4 b6b5 g2e4 b5a4 c1b2 e8e7 e4g6 f7g6 d1b1 c5d6 h1c1 b8b6 b2a1 e7b7 b1b2 c6c5 e2e4 d5f6 e4g6 c5b4 c3b4 a5c6 g4g5 c6e7
