Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
World Championship 11th,Berlin,1910.??.??,1,"Lasker, Emanuel","Janowsky, Dawid Markelowicz",1-0,,,D32,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 g1f3 g8f6 c4d5 e6d5 c1g5 c8e6 e2e3 b8c6 f1e2 f8e7 d4c5 e7c5 e1g1 e8g8 a1c1 c5e7 f3d4 a8c8 d1d2 f6e4 c3e4 d5e4 g5e7 d8e7 d4c6 b7c6 d2a5 f8d8 f1d1 e6d5 b2b4 d8d6 d1d5 d6d5 a5d5 e7b4 c1c6
World Championship 11th,Berlin,1910.??.??,2,"Janowsky, Dawid Markelowicz","Lasker, Emanuel",1/2-1/2,,,D05,d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 f1d3 c7c5 e1g1 b8c6 b2b3 f8d6 c1b2 e8g8 b1d2 d8e7 f3e5 f8d8 a2a3 c8d7 f2f4 d7e8 d1f3 f6d7 f3h3 d7f8 d2f3 f7f6 e5g4 e8g6 d3g6 f8g6 d4c5 d6c5 f3d4 f6f5 d4c6 b7c6 g4e5 g6e5 b2e5 c5a3 f1f3 a3d6 e5b2 d8f8 a1a6 a8c8 f3g3 f8f7 h3h6 e6e5 f4e5 d6e5 b2e5 e7e5 a6c6 f7c7 h6f6 e5f6 c6f6 c7c2 f6f5 c2d2 h2h4 c8e8 h4h5 d2d3 g1f2 e8f8 g3f3 f8f5 f3f5 d5d4 e3d4 d3d4 f5b5 d4d2 f2f3 g8f7 f3e4 g7g6 g2g4 g6h5 b5h5 f7g6 h5b5 d2d6 b5a5 d6b6
World Championship 11th,Berlin,1910.??.??,3,"Lasker, Emanuel","Janowsky, Dawid Markelowicz",1/2-1/2,,,D55,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3 e8g8 f1d3 b8d7 g1f3 b7b6 c4d5 e6d5 e1g1 c8b7 d1e2 c7c5 a1d1 f6e4 g5e7 d8e7 d3a6 b7c6 a6b5 e4c3 b2c3 c6b7 b5a6 d7f6 a6b7 e7b7 d4c5 b6c5 c3c4 b7a6 e2c2 d5c4 d1c1 c4c3 c2c3 f6e4 c3c2 f8e8 f1d1 a6f6 f3e1 a8c8 e1d3 c5c4 d3f4 c4c3 f4d5 f6e5 f2f3 e4f6 e3e4 f6d5 d1d5 e5f6 d5d3 f6b6 g1h1 b6a5 h2h3 h7h6 d3c3 c8c3 c2c3 a5a2 c1a1 a2e2 c3a5 e8a8 a5d5 a8f8 a1a7 e2e1 h1h2 e1e3 a7d7 e3f4 h2g1 f4e3 g1f1 e3c1 f1f2 c1b2 f2g3 b2f6 d5d6 f6g5 g3h2 f8e8 d6c7 g5f6 d7d6 e8e6 d6e6 f6e6 c7b8 g8h7 b8f4 g7g6 h3h4 h7g7 e4e5 e6e7 f4d4 g7g8 h2g3 e7c7 d4d6 c7a5 g3h2 a5a4 d6d8 g8h7 d8f6 a4c4 h2g3 c4c7 g3g4 c7c4 g4g3 c4c7 f6f4 c7d7 f4c4 h7g7 c4c3 g7g8 g3f2 d7a7 c3e3 a7a2 f2g3 a2e6 e3h6 e6e5 h6f4 e5e1 g3h2 e1e7 f4g5 e7d6 f3f4 g8h7 h4h5 g6h5 g5h5 h7g8 h5e5 d6d3 f4f5 g8h7 e5f4 d3a6 f4h4 h7g7 h4d4 g7h7 h2g3 a6a3 g3f4 a3c1 f4e5 c1g5 d4d5 h7g7 d5f3 g5e7 e5f4 e7d6 f4g4 d6e5 f3g3 e5e4 g4g5 e4d4 g5h5 g7f8 g3a3 f8e8 a3f3 e8e7 h5g5 d4g7 g5f4 g7h6 f4g3 h6g5 g3f2 e7f6 g2g4 g5d2 f2g3 f6g5 f5f6
World Championship 11th,Berlin,1910.??.??,4,"Janowsky, Dawid Markelowicz","Lasker, Emanuel",0-1,,,D27,d2d4 d7d5 g1f3 g8f6 e2e3 c7c5 c2c4 e7e6 f1d3 b8c6 e1g1 d5c4 d3c4 a7a6 a2a4 f8e7 b1c3 e8g8 b2b3 c5d4 e3d4 c6b4 c1b2 b7b6 d1e2 c8b7 a1d1 f6d5 f3e5 d5f4 e2g4 b4d5 c3d5 f4d5 f1e1 e7b4 e1e2 a8c8 f2f4 c8c7 f4f5 h7h5 g4h5 d5f4 h5g4 f4e2 g4e2 e6f5 e2h5 b7d5 d1d3 f7f6 d3h3 f6e5 h5h7 g8f7 h7f5 f7e8 f5h5 d5f7 h5e5 d8e7
World Championship 11th,Berlin,1910.??.??,5,"Lasker, Emanuel","Janowsky, Dawid Markelowicz",1-0,,,D32,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 c8e6 e2e4 d5e4 c3e4 b8c6 c1e3 c5d4 f3d4 d8a5 e4c3 e8c8 a2a3 g8h6 b2b4 a5e5 c3b5 h6f5 a1c1 f5e3 f2e3 e5e3 f1e2 f8e7 c1c3 e7h4 g2g3 e3e4 e1g1 h4f6 f1f6 g7f6 e2f3 e4e5 b5a7 c8c7 a7c6 b7c6 c3c6 c7b8 c6b6 b8c8 d1c1 c8d7 d4e6 f7e6 b6b7 d7e8 f3c6
World Championship 11th,Berlin,1910.??.??,6,"Janowsky, Dawid Markelowicz","Lasker, Emanuel",1/2-1/2,,,D40,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 e2e3 c7c5 f1d3 b8c6 e1g1 d5c4 d3c4 a7a6 b1c3 b7b5 c4d3 c8b7 a2a4 b5b4 c3e4 f6e4 d3e4 c6a5 e4b7 a5b7 b2b3 f8e7 c1b2 e8g8 a1c1 d8d5 d1c2 b7a5 d4c5 d5b3 c2e2 b3a4 f3d4 a5b3 e2d1 b3c5 d1g4 g7g6 f1d1 a8c8 h2h4 e7f6 h4h5 a4e8 h5g6 f7g6 c1c4 c5a4 c4b4 a4b2 b4b2 e8f7 d1b1 f6d4 g4d4 c8c6 f2f3 f8c8 b2b7 c6c7 d4e4 f7f5 b7c7 c8c7 b1b8 g8g7 e4d4 e6e5 d4d2 f5f6 d2b2 c7e7 b2b4 e7f7 b8b6 f6g5 b4e4 f7f6 b6b7 f6f7 b7b6 f7f6 b6b1 f6d6 b1b2 g5g3 e4b1 e5e4 b2f2 d6d3 b1b7 g7h6 b7e4 d3d1 f2f1 d1d7 e4f4 g3f4 e3f4 h6g7 f1a1 d7d6 a1a5 g7f6 g1f2 h7h5 f2e3 d6b6 g2g3 b6b3 e3f2 b3b6 f2g2 b6c6 g2h3 c6b6 h3h4 b6c6 a5d5 c6b6 h4h3 b6b3 d5d6 f6f5 d6a6 b3f3 a6a8
World Championship 11th,Berlin,1910.??.??,7,"Lasker, Emanuel","Janowsky, Dawid Markelowicz",1-0,,,D32,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6 c1g5 f8e7 g5e7 g8e7 e2e3 c8g4 d4c5 d8a5 d1a4 a5a4 c3a4 g4f3 g2f3 e8c8 e1c1 h8e8 h1g1 g7g6 f1b5 c8c7 a4c3 e8f8 c3e2 c6e5 e2d4 e7c6 b5c6 b7c6 f3f4 e5d7 c1b1 d8b8 d1c1 a7a5 c1c2 b8b7 a2a3 f8b8 b1a2 a5a4 g1c1 d7f6 d4f3 f6d7 f3g5 b8f8 g5h7 f8h8 h7g5 h8f8 e3e4 d7f6 f2f3 c7d7 c1d1 b7b5 d1d4 b5a5 c2c4 d7e7 c4a4 a5c5 a4a7 f6d7 b2b4 c5c4 d4d2 f7f6 e4d5 f6g5 d5c6 c4c6 a7d7 e7e6 f4g5 f8f3 d7g7 c6c3 g7g6 e6e5 g6a6
World Championship 11th,Berlin,1910.??.??,8,"Janowsky, Dawid Markelowicz","Lasker, Emanuel",0-1,,,D40,d2d4 d7d5 g1f3 g8f6 e2e3 c7c5 c2c4 e7e6 f1d3 b8c6 e1g1 a7a6 b1c3 d5c4 d3c4 b7b5 c4d3 c8b7 a2a4 b5b4 c3e4 f6e4 d3e4 c6a5 e4b7 a5b7 d1e2 f8d6 f1d1 e8g8 b2b3 d8e7 c1b2 a6a5 f3d2 f8d8 d2c4 d6c7 a1c1 c5d4 e3d4 d8d5 c4e3 d5d7 e2g4 a8d8 d4d5 f7f5 g4f3 b7c5 d5e6 d7d1 c1d1 d8d1 f3d1 e7e6 d1d4 e6e7 d4d5 g8f8 d5f5 f8e8 f5h7 e7f7 g2g3 c5b3 e3f5 g7g6 f5g7 e8d7 h7h3 d7c6 h3c8 f7d5 c8a6 c7b6 a6c8 c6d6 g7e8 d6e7 e8f6 b6f2 g1f1 d5h1 f1f2 h1h2 f2f3 h2b2 c8e8 e7d6 e8d7 d6c5 f6e4 c5b6 d7e6 b6c7 e6d6 c7b7 d6e7 b7c6 e7d6 c6b7 d6e7 b7b6 e7d8 b6b7 d8d7 b7b6 d7e6 b6c7 e6f7 c7b8 f7f4 b8b7 f4f7 b7b8 f7f8 b8c7 f8f4 c7c6 f4d6 c6b7 d6d5 b7b6 d5d8 b6b7 e4d6 b7c6 d6b5 b2e5 d8a8 c6d7 f3g2 e5e2 g2h3 e2e6 h3h2 d7e7 a8b7 e7f6 b7f3 f6g7 f3f2 e6e5 f2a7 g7h6 a7f7 b3d2 f7f8 h6h5 f8f2 e5e3 f2e3 d2f1 h2h3 f1e3 b5d4 h5g5 d4b3 e3c4 g3g4 g5f4 h3h4 f4e3 h4g5 e3d3 g5g6 d3c3 g6f6 c3b3 g4g5 b3c3 g5g6 c4d6 f6e7 d6f5
World Championship 11th,Berlin,1910.??.??,9,"Lasker, Emanuel","Janowsky, Dawid Markelowicz",1-0,,,C79,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 d7d6 f1e1 b7b5 a4b3 c6a5 d2d4 a5b3 a2b3 f6d7 b3b4 f8e7 b2b3 e8g8 c1b2 e7f6 c2c4 a8b8 d1d2 f8e8 b1a3 b5c4 b3c4 e5d4 f3d4 c8b7 f2f3 d7e5 d4f5 b7c8 f5e3 f6g5 b2e5 e8e5 a3c2 g5f4 d2f2 e5h5 g2g3 f4e5 a1a3 c7c6 f3f4 e5f6 e1d1 f6e7 c4c5 d8c7 c5d6 e7d6 e4e5 d6f8 a3d3 c8h3 g3g4 h5h6 e3f5 h6h5 f5g7 h3g4 g7h5 g4h5 d1d2 h7h6 d3d7 c7b6 f2b6 b8b6 d7d8 c6c5 f4f5 c5b4 d2g2 g8h7 d8f8 b4b3 g2g8
World Championship 11th,Berlin,1910.??.??,10,"Janowsky, Dawid Markelowicz","Lasker, Emanuel",0-1,,,B07,d2d4 d7d6 e2e4 e7e5 d4e5 d6e5 d1d8 e8d8 g1f3 f8d6 b1c3 c8e6 c1e3 g8f6 e1c1 f6g4 e3g5 f7f6 g5h4 b8d7 h2h3 g4h6 c3b5 h6f7 b5d6 c7d6 f3d2 a8c8 b2b3 d8e7 c1b2 c8c7 c2c4 h8c8 f1d3 d7c5 d3e2 b7b5 f2f3 b5c4 e2c4 a7a5 h4f2 a5a4 f2c5 c7c5 d1c1 a4b3 a2b3 f7d8 c1a1 d8c6 h1c1 c6d4 a1a7 c8c7 c1a1 e7d7 a7c7 c5c7 a1a6 d7e7 a6b6 f6f5 b2b1 e6c4 d2c4 f5e4 f3e4 d4b3 c4d6 b3d2 b1a2 g7g6 h3h4 c7d7 d6b5 d2e4 a2b3 e4f6 b6c6 d7d3 c6c3 d3c3 b5c3 e7e6 b3c2 e6f5 c2d3 f5g4 d3e3 g4g3 h4h5 g6h5 c3b5 h5h4 b5d6 g3g2 d6f5 h4h3 f5h4 g2g3 h4f5 g3g4
