Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
WCh-FIDE,San Luis ARG,2005.09.28,1,"Svidler,P","Adams,Mi",1/2-1/2,2738,2719,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 b8c6 e1g1 f8e7 c2c4 c6b4 d3e2 e8g8 a2a3 b4c6 c4d5 d8d5 b1c3 e4c3 b2c3 c6a5 a1b1 a7a6 f3e5 c8f5 e2f3 d5e6 b1b2 e7a3 b2e2 a3c1 e5c6 e6f6 c6a5 c1f4 a5b7 a8b8 f1e1 g7g6 e2a2 c7c6 b7c5
WCh-FIDE,San Luis ARG,2005.09.28,1,"Polgar,Ju","Anand,V",0-1,2735,2788,B17,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 f1d3 g8f6 g1f3 f6e4 d3e4 d7f6 e4d3 c8g4 c1e3 e7e6 c2c3 f8d6 h2h3 g4h5 d1e2 d8a5 a2a4 e8g8 e2c2 h5f3 g2f3 a5h5 e1c1 f6d5 c1b1 b7b5 d1g1 f7f6 a4b5 c6b5 e3c1 a8b8 c2e2 f8e8 e2e4 g8h8 h3h4 f6f5 e4e2 h5f7 g1g2 d6f4 h1g1 e8g8 c1e3 f7d7 e2d2 f4d6 d3c2 d7b7 e3g5 b5b4 c3c4 b4b3 c2d3 d6b4 d2e2 b7a6 g5h6 d5c3 b2c3 b4c3 b1c1 a6a3 c1d1 a3a1 h6c1 b3b2 e2e3 c3d4 e3d2 b2c1q d2c1 a1a2
WCh-FIDE,San Luis ARG,2005.09.28,1,"Leko,P","Topalov,V",0-1,2763,2788,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f3 e7e6 c1e3 b7b5 d1d2 b5b4 c3a4 b8d7 e1c1 d6d5 e4d5 f6d5 f1c4 d7f6 e3g5 d8c7 c4d5 f6d5 h1e1 c8b7 d2e2 c7d6 c1b1 h7h6 g5h4 d5f4 e2f2 d6c7 d4f5 g7g5 h4g3 a8c8 f2d4 h8g8 c2c3 c8d8 d4d8 c7d8 d1d8 e8d8 f5e3 b7c6 a4b6 b4c3 b2c3 f8g7 g3f4 g5f4 e3d1 c6b5 a2a4 b5d3 b1c1 d8c7 a4a5 g7h8 c1d2 d3b5 e1g1 b5c6 d2e2 h8e5 c3c4 e5d4 d1f2 d4c3 f2e4 c3a5 c4c5 f7f5
WCh-FIDE,San Luis ARG,2005.09.28,1,"Morozevich,A","Kasimdzhanov,R",1/2-1/2,2707,2670,B92,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e5 d4b3 f8e7 e1g1 e8g8 g1h1 b8c6 f2f3 b7b5 c1e3 c6a5 b3a5 d8a5 d1d2 a5c7 a2a4 b5b4 c3d5 f6d5 e4d5 c8f5 f1c1 c7a5 c2c4 b4c3 c1c3 a8b8 e2c4 e7f6 b2b3 e5e4 e3d4 f6d4 d2d4 e4f3 c3f3 f5g6 f3e3 f8e8 h2h3 h7h6 a1a2 e8e3 d4e3 b8a8 h1h2 g8h7 a2a1 h7g8 e3f4 a8d8 f4d4 d8e8 a1f1 a5b4 f1f4 e8e5 d4f2 a6a5 c4d3 b4b3 d3g6 f7g6 f4f8 g8h7 f8d8 e5f5 f2d4 b3d5 d8d6 d5d4 d6d4 g6g5 h2g3 h6h5 d4c4 h7h6 c4c6 g7g6 c6a6 f5c5 g3h2 h6g7 g2g3 g5g4 h3g4 h5g4 h2g2 c5e5 g2f2 g7f7 a6a7 f7f6 a7a6 f6f5 a6c6 e5e4
WCh-FIDE,San Luis ARG,2005.09.29,2,"Adams,Mi","Polgar,Ju",1/2-1/2,2719,2735,B48,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 c1e3 a7a6 f1d3 b7b5 d4c6 c7c6 e4e5 f8b4 e1g1 f7f5 d3e2 c8b7 e2h5 g7g6 h5f3 c6c8 e3d2 b4c3 d2c3 g8e7 c3b4 b7f3 d1f3 e7d5 c2c3 c8c4 f1d1 c4g4 f3d3 e8f7 h2h3 g4f4 d3e2 f4c4 e2f3 a6a5 b4d6 a5a4 d1d4 c4c6 a1d1 h7h6 d1d3 f7g7 g1h2 a8c8 f3g3 g7h7 g3h4 h8g8 d3g3 g6g5 h4h5 g8g7 h5d1 d5f4 h3h4 c8h8 h2g1 h7g8 b2b3 a4b3 a2b3 h8h7 h4h5 h7h8 d6a3 g8h7 a3c1 f4d5 c3c4 b5c4 b3c4 d5b6 d4d6 c6a4 d1a4 b6a4 g3a3 a4c5 a3a7 h8c8 c1e3 f5f4 e3c5
WCh-FIDE,San Luis ARG,2005.09.29,2,"Kasimdzhanov,R","Svidler,P",1/2-1/2,2670,2738,B06,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 f2f4 g8f6 g1f3 e8g8 c1e3 b7b6 d1d2 c8b7 e4e5 f6g4 e1c1 c7c5 d4c5 b6c5 e3c5 d8a5 c5a3 d6e5 c3d5 a5d2 d1d2 b7d5 d2d5 g4e3 d5d2 b8c6 f1b5 f8c8 b5c6 c8c6 f3e5 g7e5 f4e5 e3c4 a3e7 c4d2 c1d2 a8b8 d2c1 c6c4 e7d6
WCh-FIDE,San Luis ARG,2005.09.29,2,"Topalov,V","Anand,V",1/2-1/2,2788,2788,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4 c1d2 b4e7 f1g2 c7c6 d2c3 d7d5 f3e5 f6d7 e5d7 b8d7 b1d2 e8g8 e1g1 a8c8 e2e4 c6c5 e4d5 e6d5 d4c5 d5c4 c5c6 c4b3 f1e1 b3b2 c3b2 d7c5 d2c4 a6c4 d1g4 e7g5 g4c4 c5d3 b2a3 d3e1 a1e1 f8e8 e1e8 d8e8 g2d5 h7h5 g1g2 g5e7 a3b2 e7f6 b2c1 e8e7 c1e3 c8c7 h2h4 f6e5 c4d3 e5d6 e3g5 e7e8 d3f3 b6b5 g5e3 e8e5 f3d1 e5e8 d1h5 c7c6 e3a7 c6a6 a7d4 d6f8 d4e5 b5b4 h5f5 g7g6 f5f4 e8e7 e5d4 a6a5 f4f3 f8g7 d4b6 a5b5 b6e3 g7c3 e3g5 e7a7 f3d3 b5b6 g5e3 a7a6 d5f7 g8f7 d3d7 f7f8 d7d8 f8f7 d8c7 f7g8 c7b6 a6a2 b6g6 g8h8 g6c6 a2f7 g3g4 c3g7 h4h5 b4b3 c6e4 b3b2 h5h6 g7f6 e3d4 h8g8 d4f6 f7f6 g2g3 f6b6 e4c4 g8h7 g4g5 b6g6 c4c7 h7g8 c7b8 g8f7 b8b7 f7f8 b7b8 f8f7 b8b3 f7f8 b3f3 f8e7 f3e3 e7d7 e3d4 d7e6 d4b2 g6g5 g3f3 g5h5 f3e4 h5f5 e4e3 f5g5 f2f4 g5g3 e3e4 g3e1 e4f3 e1f1 f3g3 f1g1 b2g2 g1b1 g2c6 e6f7 c6d7 f7f6 d7g7 f6e6 g7e5 e6f7 e5h5 f7f6 h5g5 f6f7 g5h5 f7f6 h5h4 f6f7 h6h7 b1e1 g3g4 e1d1 g4g5 d1d8 g5h5 d8d5 h4g5 d5h1 g5h4 h1d5 h5g4 d5d1 g4g3 d1e1
WCh-FIDE,San Luis ARG,2005.09.29,2,"Leko,P","Morozevich,A",1/2-1/2,2763,2707,B80,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f3 e7e6 c1e3 f8e7 d1d2 e8g8 g2g4 b8c6 e1c1 f6d7 h2h4 d7e5 d2f2 c8d7 c1b1 c6a5 g4g5 e5c4 e3c1 b7b5 f3f4 b5b4 c3e2 d8b6 h1h2 d6d5 e4d5 e7c5 f2f3 a8d8 d4b3 a5b3 a2b3 c4e3 c1e3 c5e3 d1d3 e3c5 d5e6 d7e6 e2c1 g7g6 f1h3 f7f5 g5f6 e6f7 f4f5 c5d4 f5g6 h7g6 f3g4 d4f6 h2e2 a6a5 e2e4 g8g7 g4g3 f8h8 h3f5 h8h5 d3d8 b6d8 f5e6 f6h4 g3g2 f7e8 e4g4 h5e5 e6c4 e5e1 c4d3 d8f6 g2d2 f6f2 d3e2 h4f6 g4c4 f2g3 c4c7 g3c7 d2e1 g6g5 c1d3 e8g6 e1g1 c7e7 e2g4 e7e4 g1g3 g6f7 g3h3 f7d5 g4f5 e4h4 h3e3 h4d4 e3g3 d5f7 g3g2 d4d5 f5e4 d5e6 d3c5 e6d6 c5d3 f7e6 g2h1 d6d4 h1h7 g7f8 e4f5 e6f7 h7h6 f8e7 h6h2 d4d6 h2h7 d6b8 f5g4 e7f8 h7h6 f8e7 h6h7 e7f8 h7h6 f8e7
WCh-FIDE,San Luis ARG,2005.09.30,3,"Anand,V","Adams,Mi",1-0,2788,2719,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8b7 d2d4 f8e8 b1d2 e7f8 a2a4 h7h6 b3c2 e5d4 c3d4 c6b4 c2b1 c7c5 d4d5 f6d7 a1a3 c5c4 a4b5 a6b5 f3d4 d8b6 d4f5 d7e5 a3g3 g7g6 d2f3 e5d3 d1d2 b7d5 f5h6 f8h6 d2h6 b6f2 g1h2 d3e1 f3h4 e1d3 h4g6 f2g3 h2g3 f7g6 h6g6 g8f8 g6f6 f8g8 c1h6
WCh-FIDE,San Luis ARG,2005.09.30,3,"Svidler,P","Leko,P",1-0,2738,2763,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 h2h3 c8b7 d2d3 f8e8 a2a4 h7h6 b1c3 b5b4 c3d5 c6a5 b3a2 e7c5 c1d2 b7d5 a2d5 f6d5 e4d5 d8f6 c2c3 b4c3 d2c3 f6b6 e1e5 c5f2 g1h1 d7d6 e5e8 a8e8 b2b4 a5b7 a1a2 f2g3 a2e2 e8d8 f3d4 a6a5 d4c6 d8f8 c3d4 b6a6 b4b5 a6a8 e2e7 g3e5 c6e5 d6e5 d4e5
