Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
World Championship 10th,GER/AUT,1910.??.??,1,"Schlechter, Carl","Lasker, Emanuel",1/2-1/2,,,C66,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6 d2d4 c8d7 f1e1 e5d4 f3d4 f8e7 b1c3 e8g8 b5c6 b7c6 c1g5 f8e8 d1f3 h7h6 g5h4 f6h7 h4e7 d8e7 a1d1 h7f8 h2h3 f8g6 f3g3 e7g5 g3g5 h6g5 f2f3 f7f6 g1f2 g8f7 d4e2 a7a5 b2b3 e8b8 e2c1 d7e6 c1d3 c6c5 d3b2 g6e5 c3d5 b8b7 e1e3 e5c6 e3c3 g7g6 a2a4 f6f5 d5e3 a8e8 e3c4 b7a7 d1e1 e6c4 b2c4 f7f6 c4e3 c6e5 e4f5 g6f5 g2g3 e8h8 f3f4 g5f4 e3d5 f6f7 d5f4 a7b7 f2g2 c5c4 b3c4 b7b4 c4c5 b4a4 c5d6 c7d6 c3c7 f7f6 f4d5 f6g5 h3h4 g5h6 d5e7 h8f8 e1d1 f8f7 d1d6 h6h7 d6e6 e5g6 e6g6 f7e7 g6c6 e7c7 c6c7 h7g6 c7c6 g6f7 g2f3 a4e4 c6c5 f7f6 c5a5 e4c4 a5a6 f6e5 a6a5 e5f6 a5a6 f6e5 a6a5 e5f6 a5a2 f6e5 a2b2 c4c3 f3g2 e5f6 g2h3 c3c6 b2b8 c6c2 b8b6 f6g7 h4h5 c2c4 b6g6 g7h7 g6f6 c4a4
World Championship 10th,GER/AUT,1910.??.??,2,"Lasker, Emanuel","Schlechter, Carl",1/2-1/2,,,C80,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 a2a4 c6d4 f3d4 e5d4 d1d4 c8e6 c2c3 c7c5 d4e5 d8b8 e5b8 a8b8 a4b5 a6b5 b1a3 f8e7 c1f4 b8b7 f2f3 e4f6 a3b5 e8g8 b3a4 c5c4 a1a2 e7c5 g1h1 e6d7 f4d6 c5d6 b5d6 b7b6 a4d7 f6d7 d6f5 f8e8 a2a7 d7f6 a7a2 g7g6 f5d4 e8b8 f1f2 f6d7 h2h3 d7c5 f2d2 c5d3 b2b4 c4b3 d4b3 b6b3 d2d3 b8c8 d3d5 b3c3
World Championship 10th,GER/AUT,1910.??.??,3,"Schlechter, Carl","Lasker, Emanuel",1/2-1/2,,,C66,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6 f1e1 f8e7 d2d4 e5d4 f3d4 c8d7 b1c3 e8g8 b5c6 b7c6 c1g5 f8e8 d1d3 f6g4 g5e7 d8e7 d4f3 a8b8 b2b3 g4e5 f3e5 e7e5 d3e3 e5a5 e3d3 e8e7 e1e3 b8e8 a1e1 f7f6 h2h3 d7e6 c3a4 e6f7 c2c4 h7h6 a4c3 g8h8 d3d2 f7g6 e1e2 g6f7 d2d4 a5b6 d4d2 b6a5 d2d4 a5b6 d4d2 b6a5 d2d4 a5b6 d4d2 b6a5
World Championship 10th,GER/AUT,1910.??.??,4,"Lasker, Emanuel","Schlechter, Carl",1/2-1/2,,,C80,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 a2a4 a8b8 a4b5 a6b5 d4e5 c8e6 c2c3 f8e7 b1d2 e8g8 f3d4 c6d4 c3d4 e4d2 c1d2 c7c5 b3c2 c5d4 f2f4 f7f5 e5f6 f8f6 f4f5 e6f7 d2f4 b8c8 c2d3 d8d7 f4e5 f6h6 d1g4 e7f6 e5f6 h6f6 g4d4 h7h6 f1c1 f6c6 c1f1 d7d8 a1a7 b5b4 f1e1 c6c1 e1c1 c8c1 g1f2 c1c7 a7c7 d8c7 d4b4 c7e5 g2g3 h6h5 b4b6 h5h4 b2b4 h4g3 h2g3 e5b2 f2f3 b2c3 b6d8 g8h7 d8h4 h7g8 h4d8 g8h7 d8h4 h7g8 f3e2 c3b2 e2e3 b2c1 e3e2 c1b2 e2e3 b2c1 e3f2 c1b2 f2g1 b2c3 d3f1 d5d4 h4d8 g8h7 d8d6 c3e3 g1h2 e3d2 h2h3 d2e1 f1a6 e1h1 h3g4 h1d1 g4g5 d1c1
World Championship 10th,GER/AUT,1910.??.??,5,"Schlechter, Carl","Lasker, Emanuel",1-0,,,C66,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6 d2d4 c8d7 b1c3 f8e7 c1g5 e8g8 d4e5 c6e5 b5d7 f6d7 g5e7 e5f3 d1f3 d8e7 c3d5 e7d8 a1d1 f8e8 f1e1 d7b6 f3c3 b6d5 d1d5 e8e6 d5d3 d8e7 d3g3 e6g6 e1e3 a8e8 h2h3 g8f8 g3g6 h7g6 c3b4 c7c6 b4a3 a7a6 a3b3 e8d8 c2c4 d8d7 b3d1 e7e5 d1g4 f8e8 g4e2 e8d8 e2d2 d8c7 a2a3 d7e7 b2b4 b7b5 c4b5 a6b5 g2g3 g6g5 g1g2 e7e8 d2d1 f7f6 d1b3 e5e6 b3d1 e8h8 g3g4 e6c4 a3a4 c4b4 a4b5 b4b5 e3b3 b5a6 d1d4 h8e8 b3b1 e8e5 d4b4 a6b5 b4e1 b5d3 b1b4 c6c5 b4a4 c5c4 e1a1 d3e4 g2h2 e5b5 a1a2 e4e5 h2g1 e5e1 g1h2 d6d5 a4a8 e1b4 h2g2 b4c5 a2a6 b5b8 a8a7 c7d8 a7g7 c5b6 a6a3 d8c8
World Championship 10th,GER/AUT,1910.??.??,6,"Lasker, Emanuel","Schlechter, Carl",1/2-1/2,,,C80,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 a2a4 a8b8 a4b5 a6b5 d4e5 c8e6 c2c3 f8c5 b1d2 e8g8 b3c2 e4d2 d1d2 d8d7 b2b4 c5e7 f1e1 f7f6 d2d3 g7g6 c1h6 f8e8 e5f6 e7f6 c2b3 e6f7 a1d1 c6e5 f3e5 f6e5 h2h3 d7d6 b3d5 f7d5 d3d5 d6d5 d1d5 e5c3 e1e8 b8e8 d5b5 e8e4 b5b8 g8f7 b4b5 e4e1 g1h2 c3e5 f2f4 e5d4 h2g3 e1e3 g3g4 e3b3 f4f5 b3b4 f5g6 f7g6 h6f4 d4e5 g2g3 c7c6 b8b6 h7h5 g4f3 e5f4 g3f4 g6f5 b6c6 b4b3 f3g2 f5f4 c6c4 f4g5 c4c5 g5h4 c5e5 b3g3 g2f2 g3h3
World Championship 10th,GER/AUT,1910.??.??,7,"Schlechter, Carl","Lasker, Emanuel",1/2-1/2,,,B57,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f1c4 d7d6 d4c6 b7c6 e4e5 f6g4 e5e6 f7f5 e1g1 f8g7 c1f4 d8b6 c4b3 c8a6 c3a4 b6d4 d1d4 g7d4 c2c4 e8g8 a1d1 d4f6 f1e1 g6g5 f4d6 e7d6 d1d6 f6e5 c4c5 f8e8 g2g3 e5f6 d6c6 a6b7 c6c7 b7e4 a4c3 f6c3 b2c3 g4e5 e1d1 e5f3 g1f1 f3h2 f1e1 h2f3 e1e2 f3e5 d1d7 f5f4 d7g7 g8h8 g7g5 e4d3 e2d1 f4g3 f2g3 e5g6 g5d5 d3e4 d5d6 e4f5 b3d5 a8b8 c5c6 g6f8 c7b7 b8c8 e6e7 f8g6 d5f7 e8e7 f7g6 f5g4 d1c1 e7e1 c1b2 h7g6 d6g6 g4f5 g6f6 f5e4 b7a7 e1b1 b2a3 e4c6
World Championship 10th,GER/AUT,1910.??.??,8,"Lasker, Emanuel","Schlechter, Carl",1/2-1/2,,,C80,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 a2a4 c6d4 f3d4 e5d4 a4b5 f8c5 c2c3 e8g8 c3d4 c5b6 b1c3 c8b7 b5a6 a8a6 a1a6 b7a6 f1e1 a6b7 c3a4 d8f6 c1e3 b6a7 f2f3 e4g5 a4c5 a7c5 d4c5 g5e6 d1d3 f8d8 b3c2 g7g6 b2b4 d5d4 e3c1 h7h5 c2b3 b7d5 b3d5 d8d5 h2h3 d5e5 e1e5 f6e5 g1f2 e5d5 h3h4 d5a2 d3e2 a2b1 e2b2 b1d3 b2e2 d3b3 c1d2 g8h7 f2e1 b3b1 e2d1 b1f5 d1e2 f5c2 e2d1 c2f5 d1e2 f5b1 e2d1 b1f5 d1e2 f5b1 e2d1 b1f5
World Championship 10th,GER/AUT,1910.??.??,9,"Schlechter, Carl","Lasker, Emanuel",1/2-1/2,,,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b3 f8b4 f1d3 d7d5 e4d5 f6d5 c1d2 d5c3 b2c3 b4d6 d1h5 d8c7 e1g1 c8e6 d2g5 h7h6 f2f4 e5f4 a1e1 e8d7 d3f5 a8f8 g5f4 d6f4 b3c5 d7c8 f5e6 f7e6 c5e6 f4h2 h5h2 f8f1 e1f1 c7d7 e6c5 d7e7 h2h3 c8b8 c5e6 b8a8 e6d4 e7c7 h3f5 h8c8 f5c5 c6b8 c5c7 c8c7 f1f3 a7a6 g1f2 b8c6 d4e6 c7e7 f3e3 a8b8 e6d4 e7f7 e3f3 f7c7 d4e6 c7e7 f3e3 b8c8 f2e2 c6d8 e6d4 e7f7 e3f3 c8d7 f3d3 d7e7 d3e3 e7d6 e3d3 d8e6 d4f3 d6c5 g2g3 e6c7 f3d2 c5c6 d2f3 c6b5 d3d4 b5c5 f3d2 c7b5 d2b3 c5b6 d4d3 f7c7 e2d2 c7c4 d3d7 c4g4 c3c4 b6c6 d7d3 b5d6 b3d4 c6c7 d4e6 c7c6 e6d8 c6c7 d8e6 c7d7 e6g7 d7e7 g7h5 g4c4 d3e3 e7f7 e3f3 f7g6 f3f6 g6h5 f6d6
World Championship 10th,GER/AUT,1910.??.??,10,"Lasker, Emanuel","Schlechter, Carl",1-0,,,D94,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 g7g6 b1c3 f8g7 f1d3 e8g8 d1c2 b8a6 a2a3 d5c4 d3c4 b7b5 c4d3 b5b4 c3a4 b4a3 b2a3 c8b7 a1b1 d8c7 f3e5 f6h5 g2g4 g7e5 g4h5 e5g7 h5g6 h7g6 c2c4 b7c8 h1g1 c7a5 c1d2 a5d5 b1c1 c8b7 c4c2 d5h5 d3g6 h5h2 g1f1 f7g6 c2b3 f8f7 b3b7 a8f8 b7b3 g8h8 f2f4 g6g5 b3d3 g5f4 e3f4 h2h4 e1e2 h4h2 f1f2 h2h5 f2f3 a6c7 c1c6 c7b5 c6c4 f7f4 d2f4 f8f4 c4c8 g7f8 e2f2 h5h2 f2e1 h2h1 f3f1 h1h4 e1d2 f4f1 d3f1 h4d4 f1d3 d4f2 d2d1 b5d6 c8c5 f8h6 c5d5 h8g8 a4c5 f2g1 d1c2 g1f2 c2b3 h6g7 c5e6 f2b2 b3a4 g8f7 e6g7 b2g7 d3b3 f7e8 b3b8 e8f7 b8a7 g7g4 a7d4 g4d7 a4b3 d7b7 b3a2 b7c6 d4d3 f7e6 d5g5 e6d7 g5e5 c6g2 e5e2 g2g4 e2d2 g4a4 d3f5 d7c7 f5c2 a4c2 d2c2 c7b7 c2e2 d6c8 a2b3 b7c6 e2c2 c6b7 b3b4 c8a7 b4c5
