Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
World Championship 32th-KK2,Moscow,1985.??.??,1,"Kasparov, Gary","Karpov, Anatoly",1-0,2700,2720,E20,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 g2g3 f6e4 d1d3 d8a5 d3e4 b4c3 c1d2 c3d2 f3d2 a5b6 d4c5 b6b2 a1b1 b2c3 e4d3 c3d3 e2d3 b8a6 d3d4 a8b8 f1g2 e8e7 e1e2 h8d8 d2e4 b7b6 e4d6 a6c7 b1b4 c7e8 d6e8 e7e8 h1b1 c8a6 e2e3 d7d5 c5d6 b8c8 e3d3 d8d6 b4a4 b6b5 c4b5 c8b8 a4b4 a6b7 g2b7 b8b7 a2a4 e8e7 h2h4 h7h6 f2f3 d6d5 b1c1 b7d7 a4a5 g7g5 h4g5 d5g5 g3g4 h6h5 b5b6 a7b6 a5b6 d7b7 c1c5 f7f5 g4h5 g5h5 d3c4 h5h8 c4b5 h8a8 b4c4
World Championship 32th-KK2,Moscow,1985.??.??,2,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,2720,2700,B85,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e6 e1g1 f8e7 f2f4 e8g8 g1h1 d8c7 a2a4 b8c6 c1e3 f8e8 e2f3 a8b8 d1d2 c8d7 d2f2 c6d4 e3d4 e6e5 d4e3 d7e6 f4f5 e6c4 e3b6 c7c8 f1c1 d6d5 b2b3 e7b4 c3a2 b4a3 b3c4 a3c1 a2c1 c8c4 e4d5 e5e4 f3e2 c4c2 f2d4 b8c8 h2h3 e4e3 d5d6 c2d2 c1d3 d2e2 d6d7 f6d7 d4d7 e2d2 a1e1 e3e2 h1g1 a6a5 g2g3 d2h6 b6f2 h6c6 d7c6 c8c6 e1b1 c6c4 b1b7 c4a4 f2e1 a4a3 b7d7 a5a4 g1f2 a3b3 d3c1 b3b1 c1a2 e8a8 d7e7 b1b2 e7e2 b2e2 f2e2 a8e8 e2f2 h7h5 e1c3 e8b8 c3b4 b8d8 f2e2 a4a3 b4c3 f7f6 c3b4 g8f7 a2c3 d8b8 c3a2 b8b5 g3g4 b5b8 e2d3 b8d8 d3c4 d8d1 b4a3 d1a1 c4b3 a1h1 g4h5 h1h3 a2c3 h3f3 a3c1 f3f5 h5h6 g7g6 c3e4 f5h5 c1b2
World Championship 32th-KK2,Moscow,1985.??.??,3,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,2700,2720,D55,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 h7h6 g5f6 e7f6 d1b3 c7c6 e2e3 b8d7 a1d1 e8g8 f1d3 b7b6 c4d5 c6d5 e3e4 d5e4 d3e4 a8b8 e1g1 b6b5 f1e1 d8b6 e4b1 c8b7 b3c2 g7g6 d4d5 e6d5 c3d5 b7d5 d1d5 f8d8
World Championship 32th-KK2,Moscow,1985.??.??,4,"Karpov, Anatoly","Kasparov, Gary",1-0,2720,2700,D55,d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 g1f3 g8f6 c1g5 h7h6 g5f6 e7f6 e2e3 e8g8 d1c2 b8a6 a1d1 c7c5 d4c5 d8a5 c4d5 a6c5 c2d2 f8d8 f3d4 e6d5 f1e2 a5b6 e1g1 c5e4 d2c2 e4c3 c2c3 c8e6 c3c2 a8c8 c2b1 c8c7 d1d2 d8c8 d4e6 f7e6 e2g4 c7c4 h2h3 b6c6 b1d3 g8h8 f1d1 a7a5 b2b3 c4c3 d3e2 c8f8 g4h5 b7b5 h5g6 f6d8 g6d3 b5b4 e2g4 c6e8 e3e4 d8g5 d2c2 c3c2 d3c2 e8c6 g4e2 c6c5 d1f1 c5c3 e4d5 e6d5 c2b1 c3d2 e2e5 f8d8 e5f5 h8g8 f5e6 g8h8 e6g6 h8g8 g6e6 g8h8 b1f5 d2c3 e6g6 h8g8 f5e6 g8h8 e6f5 h8g8 g2g3 g8f8 g1g2 c3f6 g6h7 f6f7 h3h4 g5d2 f1d1 d2c3 d1d3 d8d6 d3f3 f8e7 h7h8 d5d4 h8c8 d6f6 c8c5 e7e8 f3f4 f7b7 f4e4 e8f7 c5c4 f7f8 f5h7 f6f7 c4e6 b7d7 e6e5
World Championship 32th-KK2,Moscow,1985.??.??,5,"Kasparov, Gary","Karpov, Anatoly",0-1,2700,2720,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8b7 d2d4 f8e8 b1d2 e7f8 a2a4 d8d7 a4b5 a6b5 a1a8 b7a8 d4d5 c6a5 b3a2 c7c6 b2b4 a5b7 c3c4 e8c8 d5c6 d7c6 c4c5 b7d8 c1b2 d6c5 b4c5 c6c5 b2e5 f6d7 e5b2 c5b4 d2b3 d7c5 b2a1 a8e4 f3d4 d8b7 d1e2 b7d6 b3c5 b4c5 e2g4 c8e8 e1d1 e4g6 g4f4 c5b4 f4c1 g6e4 d1e1 b4a5 a2b3 a5a8 c1b2 b5b4 e1e3 e4g6 e3e8 a8e8 b2c1 d6e4 b3d5 e4c5 d4b3 c5d3
World Championship 32th-KK2,Moscow,1985.??.??,6,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,2720,2700,D55,d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 g1f3 g8f6 c1g5 h7h6 g5f6 e7f6 e2e3 e8g8 d1d2 d5c4 f1c4 b8d7 e1g1 c7c5 f1d1 c5d4 f3d4 d7b6 c4e2 c8d7 e2f3 a8b8 c3e4 f6d4 d2d4 d7a4 d4d8 f8d8 d1d8 b8d8 e4c5 d8d2 b2b3 a4c6 c5b7 c6f3 g2f3 b6d7 g1g2 g7g5 b3b4 d7b6 g2f1 b6d7 f1g2 d7b6 g2f1 b6d7
World Championship 32th-KK2,Moscow,1985.??.??,7,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,2700,2720,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 e8g8 c1g5 d7d6 e2e3 b8d7 d1c2 b7b6 f1d3 b4c3 b2c3 h7h6 g5h4 c8b7 f3d2 g7g5 h4g3 f6h5 c2d1 h5g7 h2h4 f7f5 h4g5 h6g5 f2f3 d8e7 d1b3 g8f7 e1c1 f8h8 c4c5 d6c5 d2c4 c5d4 c3d4 f5f4 g3f2 g7h5 d3c2 f4e3 f2e3 b7d5 b3d3 a8g8 c4e5 d7e5 d4e5 h5f4 e3f4 g5f4 h1h8 g8h8 d3g6 f7f8 d1d5 e6d5
World Championship 32th-KK2,Moscow,1985.??.??,8,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,2720,2700,D58,d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 g1f3 g8f6 c1g5 h7h6 g5h4 e8g8 e2e3 b7b6 f1e2 c8b7 h4f6 e7f6 c4d5 e6d5 b2b4 c7c5 b4c5 b6c5 a1b1 b7c6 e1g1 b8d7 e2b5 d8c7 d1d3 f8d8 f1d1 a8b8 b5c6 c7c6 b1b8 d8b8 d4c5 f6c3 d3c3 c6c5 c3c5 d7c5 h2h3 c5e4 d1d5 b8b1 g1h2 e4f2 d5d8 g8h7 d8d7 a7a5 d7f7 b1b2 a2a4 f2d1 f7e7 b2b4 f3d4 d1e3 d4c6 b4c4 e7e3 c4c6 e3e5 c6c3 e5a5 c3a3 h3h4 h7g6 g2g4 g6f6 a5f5 f6e6 f5f4 g7g5 h4g5 h6g5 f4b4 e6e5 h2g2 a3a2 g2f3 a2a3 f3e2 a3g3 e2d2 g3g2 d2e3 g2g3 e3e2 g3a3 e2d2 a3g3 b4c4 e5d5
World Championship 32th-KK2,Moscow,1985.??.??,9,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,2700,2720,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8b7 d2d4 f8e8 b1d2 e7f8 a2a4 h7h6 b3c2 c6b8 c2d3 c7c6 d2f1 b8d7 f1g3 d8c7 c1d2 g7g6 d1c1 g8h7 b2b3 f8g7 c1c2 d7f8 d2e3 f8e6 a1d1 a8c8 d3f1 g7f8 d1d2 c7b8 c2b1 b7a8 b3b4 a8b7 a4b5 a6b5 e1d1 b8c7 d1c1 f8g7 c1d1 c8d8 d4e5 d6e5 d2d8 e8d8 d1d8 e6d8 c3c4 b5c4 f1c4 f6e8 b1a2 e8d6 c4b3 d6b5 h3h4 b5d4 e3d4 e5d4 h4h5 c7e7 a2d2 c6c5 d2c2 c5b4 h5g6 f7g6 c2c4 h6h5 e4e5 b7f3 g2f3 g7e5 f3f4 e5f4 c4g8 h7h6 b3c2 e7g7 g8d8 f4g3 f2g3 g7e5 d8f8 h6g5 g1g2
World Championship 32th-KK2,Moscow,1985.??.??,10,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,2720,2700,B85,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e6 e1g1 f8e7 f2f4 e8g8 g1h1 d8c7 a2a4 b8c6 c1e3 f8e8 e3g1 a8b8 d1d2 e6e5 d4b3 c6a5 b3a5 c7a5 g1a7 b8a8 a7e3 a5b4 d2d3 c8e6 f4f5 e6d7 a1a3 b4a5 a3b3 b7b5 a4b5 a6b5 c3b5 d7c6 e2f3 a8b8 c2c4 a5a8 e3g5 c6e4 f3e4 f6e4 g5e7 e8e7 b3a3 a8c6 b2b4 h7h5 b5a7 e7a7 a3a7 b8b4 d3f3 b4c4 f3h5 e4f2 h1g1 f2h3 g1h1 h3f2 h1g1
World Championship 32th-KK2,Moscow,1985.??.??,11,"Kasparov, Gary","Karpov, Anatoly",1-0,2700,2720,E21,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 e8g8 c1g5 c7c5 e2e3 c5d4 e3d4 h7h6 g5h4 d7d5 a1c1 d5c4 f1c4 b8c6 e1g1 b4e7 f1e1 b7b6 a2a3 c8b7 h4g3 a8c8 c4a2 e7d6 d4d5 f6d5 c3d5 d6g3 h2g3 e6d5 a2d5 d8f6 d1a4 f8d8 c1d1 d8d7 a4g4 c8d8 g4d7 d8d7 e1e8 g8h7 d5e4
